,opera,total_words,correct_lemmas,correct_pos,lemma_accuracy,pos_accuracy
70,josephus-bj-1-16-20-bu1.xml,4829,3446,3300,0.714,0.683
71,josephus-bj-1-21-25-bu1.xml,5709,3904,3817,0.684,0.669
72,josephus-bj-1-3-5-bu2.xml,2332,1675,1637,0.718,0.702
73,josephus-bj-1-6-10-bu1.xml,4668,3340,3312,0.716,0.71
74,lysias-1-bu1.xml,2834,1924,1858,0.679,0.656
75,lysias-12-bu1.xml,5638,3831,3760,0.679,0.667
76,lysias-13-bu1.xml,5641,3953,3858,0.701,0.684
77,lysias-14-bu1.xml,2801,1927,1845,0.688,0.659
78,lysias-15.xml,688,488,478,0.709,0.695
79,lysias-19-bu1.xml,3624,2464,2415,0.68,0.666
80,lysias-23-bu1.xml,896,610,590,0.681,0.658
81,plato-apology.xml,10457,7088,6539,0.678,0.625
82,plut-alcib-1-17-bu1.xml,4445,3074,3187,0.692,0.717
83,plut-alcib-18-39-bu1.xml,6994,4960,5140,0.709,0.735
84,plut-fortuna-romanorum-bu1.xml,5232,3530,3671,0.675,0.702
85,plutarch-alex-fort-aut-virt-bu2.xml,9823,6406,6833,0.652,0.696
86,plutarch-lycurgus-1-15-bu4.xml,5336,3680,3781,0.69,0.709
87,plutarch-lycurgus-16-31-bu2.xml,5373,3695,3794,0.688,0.706
88,polybius-10-1-10-bu1.xml,2911,2151,2068,0.739,0.71
89,polybius-10-11-20-bu1.xml,3400,2543,2460,0.748,0.724
90,polybius-10-21-35-bu2.xml,4248,3047,3027,0.717,0.713
91,polybius-10-36-49-bu1.xml,4488,3243,3146,0.723,0.701
92,polybius-2-1-10-bu1.xml,2837,2069,2089,0.729,0.736
93,polybius-2-11-20-bu1.xml,3330,2489,2428,0.747,0.729
94,polybius-2-21-30-bu2.xml,3089,2263,2202,0.733,0.713
95,polybius-2-31-40-bu2.xml,3080,2274,2225,0.738,0.722
96,polybius-2-41-50-bu1.xml,2721,1980,1934,0.728,0.711
97,polybius-2-51-60-bu1.xml,2963,2125,2097,0.717,0.708
98,polybius-2-61-71-bu2.xml,3132,2274,2258,0.726,0.721
99,polybius-21-1-10-bu1.xml,1835,1321,1330,0.72,0.725
100,polybius-21-11-20-bu1.xml,2715,2016,1926,0.743,0.709
101,polybius-21-21-30-bu1.xml,3696,2664,2617,0.721,0.708
102,polybius-21-31-47-bu1.xml,4006,2859,2892,0.714,0.722
103,polybius-6-16-30-bu1.xml,3905,2789,2606,0.714,0.667
104,polybius-6-2-15-bu1.xml,5101,3626,3452,0.711,0.677
105,polybius-6-31-45-bu1.xml,4585,3313,3115,0.723,0.679
106,polybius-6-46-58-bu1.xml,3715,2685,2562,0.723,0.69
107,polybius-9-1-20-bu1.xml,5502,4025,3918,0.732,0.712
108,polybius-9-21-33-bu1.xml,3587,2568,2485,0.716,0.693
109,polybius-9-34-45-bu1.xml,2542,1783,1764,0.701,0.694
110,polybius1-1-9-2017.xml,2592,1907,1865,0.736,0.72
111,polybius1-10-19-2017.xml,3381,2484,2490,0.735,0.736
112,polybius1-20-29-2017.xml,3765,2747,2702,0.73,0.718
113,polybius1-30-39-2017.xml,3213,2342,2290,0.729,0.713
114,polybius1-40-49-2017.xml,3450,2545,2500,0.738,0.725
115,polybius1-50-59-2017.xml,3033,2203,2215,0.726,0.73
116,polybius1-60-69-2017.xml,3130,2239,2218,0.715,0.709
117,polybius1-70-79-2017.xml,3026,2213,2205,0.731,0.729
118,polybius1-80-88-2017.xml,2715,1956,1958,0.72,0.721
119,ps-xen-ath-pol-bu2.xml,3723,2647,2483,0.711,0.667
120,thuc-1-1-20-bu5.xml,3416,2504,2395,0.733,0.701
121,thuc-1-101-120-bu2.xml,3090,2260,2249,0.731,0.728
122,thuc-1-121-146-bu3.xml,5392,3809,3661,0.706,0.679
123,thuc-1-21-40-bu4.xml,3754,2636,2497,0.702,0.665
124,thuc-1-41-60-bu3.xml,2751,1997,1995,0.726,0.725
125,thuc-1-61-80-bu3.xml,3817,2661,2614,0.697,0.685
126,thuc-1-81-100-bu2.xml,3170,2295,2242,0.724,0.707
127,thuc-3-1-20-bu1.xml,3000,2118,2067,0.706,0.689
128,thuc-3-21-40-bu1.xml,3954,2737,2712,0.692,0.686
129,xen-cyr-1-1-2-bu1.xml,2539,1734,1619,0.683,0.638
130,xen-cyr-1-3-4-bu1.xml,5532,3791,3765,0.685,0.681
131,xen-cyr-1-5-bu1.xml,1221,881,789,0.722,0.646
132,xen-cyr-1-6-bu1.xml,4963,3290,3215,0.663,0.648
133,xen-cyr-7-1-3-tree.xml,5410,4511,3743,0.834,0.692
134,xen-cyr-7-4-5-tree.xml,5409,4446,3637,0.822,0.672
135,xen-cyr-8-1-8-4-bu1.xml,9802,6732,6343,0.687,0.647
136,xen-cyr-8-5-7-bu1.xml,4891,3508,3209,0.717,0.656
137,xen-cyr-8-8-bu1.xml,1557,1121,991,0.72,0.636
138,xen-hell-1-1-4-bu2.xml,4132,2976,2971,0.72,0.719
139,xen-hell-1-5-7-bu1.xml,4420,3130,3125,0.708,0.707
140,xen-hell-2-bu1.xml,9033,6302,6205,0.698,0.687
141,xen-hell-3-bu1.xml,9816,6855,6867,0.698,0.7
