,@form,gorman_lemma_1,gorman_lemma_2,gorman_lemma_3,gpt_lemma_1,gpt_lemma_2,postag_1,postag_2,postag_3,postag_4,lemma_pedalion_1,lemma_pedalion_2,lemma_pedalion_3,lemma_pedalion_4,lemma_pedalion_5,lemma_pedalion_6,lemma_pedalion_7,lemma_pedalion_8,lemma_pedalion_9,lemma_pedalion_10,lemma_pedalion_11,lemma_pedalion_12,lemma_pedalion_13,lemma_pedalion_14,lemma_pedalion_15,lemma_pedalion_16,lemma_pedalion_17
596,βασιλείας,βασίλεια,,,,,n-p---fa-,n-s---fg-,,,,,,,,,,,,,,,,,,,
597,ὀλυμπιάδων,ὀλυμπιάς,,,,,n-p---fg-,,,,,,,,,,,,,,,,,,,,
600,ἐβδομήκοντα,ἐβδομήκοντα,,,,,m--------,,,,,,,,,,,,,,,,,,,,
612,Μιθριδατείων,,,,Μιθριδάτειος,,a-p---ng-,,,,,,,,,,,,,,,,,,,,
616,ἀναπνεῦσαι,,,,ἀναπνέω,,v--ana---,,,,,,,,,,,,,,,,,,,,
644,ἐξέλυε,ἐκλύω,,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
647,στρατηγεῖν,στρατηγέω,,,,,v--pna---,,,,,,,,,,,,,,,,,,,,
651,ὑπατεύειν,ὑπατεύω,,,,,v--pna---,,,,,,,,,,,,,,,,,,,,
676,σαφῶς,σαφής,,,,,d--------,,,,,,,,,,,,,,,,,,,,
691,ὀλιγανδρούσῃ,ὀλιγανδρέω,,,,,v-sppafd-,,,,,,,,,,,,,,,,,,,,
703,νεωτάτους,νέος,,,,,a-p---mas,,,,,,,,,,,,,,,,,,,,
705,μυρίων,μυρίος,,,,,a-p---mg-,,,,,,,,,,,,,,,,,,,,
714,προσεῖπεν,προσλέγω,,,,,v3saia---,,,,,,,,,,,,,,,,,,,,
719,μυρίοις,μυρίος,,,,,a-p---md-,,,,,,,,,,,,,,,,,,,,
726,εἴκοσιν,εἴκοσιν,,,,,m--------,,,,,,,,,,,,,,,,,,,,
729,προείρηται,,,,,,v3srie---,,,,προλέγω,,,,,,,,,,,,,,,,
738,Κόιντον,,,,Κόιντος,,n-s---ma-,,,,,,,,,,,,,,,,,,,,
767,κατέκανον,,,,κατακαίνω,,v1saia---,,,,,,,,,,,,,,,,,,,,
774,ὑπέδακνον,,,,ὑποδάκνω,,v3piia---,,,,,,,,,,,,,,,,,,,,
786,κ-,καί,,,,,d--------,,,,,,,,,,,,,,,,,,,,
787,ἀγὼ,ἐγώ,,,,,p-s---mn-,,,,,,,,,,,,,,,,,,,,
788,ἡττημένοις,ἡσσάομαι,,,,,v-pppemd-,,,,,,,,,,,,,,,,,,,,
792,δεηθῆναι,,,,,,v--anp---,,,,δέω,,,,,,,,,,,,,,,,
793,τοῖσδε,ὅδε,,,,,p-p---nd-,p-p---md-,,,,,,,,,,,,,,,,,,,
798,Μιθριδατείῳ,,,,Μιθριδάτειος,,a-s---md-,,,,,,,,,,,,,,,,,,,,
808,τ-,,,,,,l-s---na-,,,,ὁ,τε,,,,,,,,,,,,,,,
809,οὐναντίον,ἐναντίος,,,,,a-s---na-,,,,,,,,,,,,,,,,,,,,
813,ἔλεγον,,,,λέγω,,v3piia---,,,,,,,,,,,,,,,,,,,,
815,Ἰταλοῖς,,,,Ἰταλός,,n-p---md-,,,,,,,,,,,,,,,,,,,,
821,λῃστῶν,,,,λῃστής,,n-p---mg-,,,,,,,,,,,,,,,,,,,,
824,ἀποροῦντος,,,,ἀπορέω,,v-sppang-,,,,,,,,,,,,,,,,,,,,
826,ἐκτετρυχωμένοις,,,,ἐκτρύχω,,v-prpemd-,,,,,,,,,,,,,,,,,,,,
837,ἤ,,,,ἤ,,c--------,,,,,,,,,,,,,,,,,,,,
847,ἔνιαι,ἔνιοι,,,,,a-p---fn-,,,,,,,,,,,,,,,,,,,,
850,σφίσι,σφεῖς,,,,,p3p---fd-,p3p---md-,,,,,,,,,,,,,,,,,,,
860,Κῴων,Κῷος,,,,,n-p---mg-,,,,,,,,,,,,,,,,,,,,
866,ἐψηφίσατο,,,,ψηφίζω,,v3saie---,,,,,,,,,,,,,,,,,,,,
867,Ἀλεξανδρέων,Ἀλεξανδρεύς,,,,,n-p---fg-,,,,,,,,,,,,,,,,,,,,
868,ἐρήμου,ἐρῆμος,,,,,a-s---fg-,,,,,,,,,,,,,,,,,,,,
872,βασιλείου,βασίλειος,,,,,a-s---ng-,,,,,,,,,,,,,,,,,,,,
881,ἀτοπώτερον,ἄτοπος,,,,,a-s---mac,,,,,,,,,,,,,,,,,,,,
888,ἔκτειναν,,,,κτείνω,,v3paia---,,,,,,,,,,,,,,,,,,,,
895,ἀφόβως,ἄφοβος,,,,,d--------,,,,,,,,,,,,,,,,,,,,
897,ἐπιόντος,ἔπειμι,,,,,v-sppang-,v-sppamg-,,,,,,,,,,,,,,,,,,,
900, ὤν,εἰμί,,,,,v-sppamn-,,,,,,,,,,,,,,,,,,,,
907,Εὐσεβεῖ,εὐσεβής,,,,,a-s---md-,,,,,,,,,,,,,,,,,,,,
915,ἀποδεικνύουσιν,ἀποδείκνυμι,,,,,v3ppia---,,,,,,,,,,,,,,,,,,,,
918,μεγίστης,μέγας,,,,,a-s---fgs,,,,,,,,,,,,,,,,,,,,
919,ὑπατεῦσαι,ὑπατεύω,,,,,v--ana---,,,,,,,,,,,,,,,,,,,,
946,τυραννουμένοις,τυραννεύω,,,,,v-pppemd-,,,,,,,,,,,,,,,,,,,,
948,βιασάμενον,βιάω,,,βιάζω,,v-sapmma-,,,,,,,,,,,,,,,,,,,,
949,ῥιψοκινδύνως,ῥιψοκίνδυνος,,,,,d--------,,,,,,,,,,,,,,,,,,,,
950,ἐπείτε,ἐπεί,,,,,c--------,,,,,,,,,,,,,,,,,,,,
959,πλέον,,,,,,a-s---nac,,,,πολύς,,,,,,,,,,,,,,,,
972,-τε,τε,,,,,d--------,c--------,,,,,,,,,,,,,,,,,,,
973,οἴκοι,οἴκοι,,,,,d--------,,,,,,,,,,,,,,,,,,,,
982,ἀνδρὶ,,,,ἀνήρ,,n-s---fv-,,,,,,,,,,,,,,,,,,,,
983,τόλμης,τόλμα,,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,
985,ὅν,ὅς,,,,,p-s---ma-,,,,,,,,,,,,,,,,,,,,
986,γέ,γε,,,,,d--------,,,,,,,,,,,,,,,,,,,,
988,ἐπειπεῖν,,,,ἐπιλέγω,,v--ana---,,,,,,,,,,,,,,,,,,,,
992,ὑφέξει,ὑπέχω,,,,,v3sfia---,,,,,,,,,,,,,,,,,,,,
1011,ἐθάρρησε,θαρσέω,,,,,v3saia---,,,,,,,,,,,,,,,,,,,,
1015,μεγίστων,μέγας,,,,,a-p---mgs,,,,,,,,,,,,,,,,,,,,
1019,εὐσταθῶς,εὐσταθής,,,,,d--------,,,,,,,,,,,,,,,,,,,,
1021,ἐσιὼν,εἴσειμι,,,,,v-sppamn-,,,,,,,,,,,,,,,,,,,,
1026,ἀπεκρίνατο,ἀποκρίνω,,,,,v3saim---,,,,,,,,,,,,,,,,,,,,
1030,συνηνέχθη,συμφέρω,,,,,v3saip---,,,,,,,,,,,,,,,,,,,,
1032,Γαΐου,Γάιος,,,,,n-s---mg-,,,,,,,,,,,,,,,,,,,,
1045,ἀγροίκου,ἄγροικος,,,,,a-s---fg-,,,,,,,,,,,,,,,,,,,,
1054,φυλασσόμενος,,,,φυλάσσω,,v-sfpmmn-,,,,,,,,,,,,,,,,,,,,
1057,ὅ,ὅς,ὁ,,,,p-s---na-,l-s---mn-,,,,,,,,,,,,,,,,,,,
1063,δυώδεκα,δυώδεκα,,,,,m--------,,,,,,,,,,,,,,,,,,,,
1066,ὑπεστρατευμένων,ὑποστρατεύομαι,,,,,v-prpemg-,,,,,,,,,,,,,,,,,,,,
1070,ἕτοιμοι,ἑτοῖμος,,,,,a-p---mn-,,,,,,,,,,,,,,,,,,,,
1071,μύριοι,μυρίος,,,,,a-p---mn-,,,,,,,,,,,,,,,,,,,,
1075,λεώς,λαός,,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,,
1076,σφέτερον,σφέτερος,,,,,a-s---na-,,,,,,,,,,,,,,,,,,,,
1079,περιεῖναι,περίειμι,,,,,v--pna---,,,,,,,,,,,,,,,,,,,,
1080,ἀλλά,ἀλλά,,,,,d--------,,,,,,,,,,,,,,,,,,,,
1081,κόρον,κόρος,,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,
1086,ἐρασθῆναι,ἔραμαι,,,ἐράω,,v--anp---,,,,,,,,,,,,,,,,,,,,
1087,ἀποστάντος,,,,ἀφίστημι,,v-sapamg-,,,,,,,,,,,,,,,,,,,,
1093,ὑπερριπίζοντο,ὑπορριπίζω,,,,,v3piie---,,,,,,,,,,,,,,,,,,,,
1097,Κόιντός,Κόιντος,,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,,
1099,Συλλείων,,,,Σύλλειος,,a-p---mg-,a-p---ng-,,,,,,,,,,,,,,,,,,,
1103,ἐχθίστω,ἔχθιστος,,,,,a-d---mn-,,,,,,,,,,,,,,,,,,,,
1105,εὐθὺς,,,,εὐθύς,,d--------,,,,,,,,,,,,,,,,,,,,
1106,ἀρξαμένω,ἄρχω,,,,,v-dapmmn-,,,,,,,,,,,,,,,,,,,,
1108,ὄντε,εἰμί,,,,,v-dppamn-,,,,,,,,,,,,,,,,,,,,
1109,δῆλόν,δῆλος,,,,,a-s---nn-,,,,,,,,,,,,,,,,,,,,
1115,ἰδεῖν,,,,ὁράω,,v--pna---,,,,,,,,,,,,,,,,,,,,
1129,ἐμπίπτει,,,,ἐμπίπτω,,v3spia---,,,,,,,,,,,,,,,,,,,,
1134,ἆλλα,ἄλλος,,,,,p-p---na-,,,,,,,,,,,,,,,,,,,,
1148,πομπῇ,,,,πομπή,,n-s---md-,,,,,,,,,,,,,,,,,,,,
1161,χρυσηλάτου,χρυσήλατος,,,,,a-s---fg-,,,,,,,,,,,,,,,,,,,,
1171,οἵ,ὁ,,,ὅς,,l-p---mn-,,,,,,ἕ,,,,,,,,,,,,,,
1172,ὑποστρατευσάμενοι,ὑποστρατεύομαι,,,,,v-papemn-,,,,,,,,,,,,,,,,,,,,
1176,συνέθεον,συνθέω,,,,,v3piia---,,,,,,,,,,,,,,,,,,,,
1184,ἡγεῖτο,,,,ἡγέομαι,,v3siie---,,,,,,,,,,,,,,,,,,,,
1187,περιὼν,περίειμι,,,,,v-sppamn-,,,,,,,,,,,,,,,,,,,,
1188,ἄρχων,ἄρχω,,,ἄρχων,,v-sppamn-,,,,,,,,,,,,,,,,,,,,
1193,ὑπερόγκου,ὑπέρογκος,,,,,a-s---fg-,,,,,,,,,,,,,,,,,,,,
1214,σφᾶς,σφεῖς,,,,,p3p---ma-,,,,,,,,,,,,,,,,,,,,
1228,ὑπεστράτευτο,ὑποστρατεύομαι,,,,,v3slie---,,,,,,,,,,,,,,,,,,,,
1244,ἄπειρον,,,,ἄπειρος,,a-s---nn-,,,,,,,,,,,,,,,,,,,,
1252,ἥ,ὁ,,,ὅς,,l-s---fn-,,,,,,,,,,,,,,,,,,,,
1253,πρώτη,,,,πρῶτος,,a-s---fns,,,,,,,,,,,,,,,,,,,,
1254,εἶθʼ,,εἶτα,,,,d--------,c--------,,,,,,,,,,,,,,,,,,,
1260,νέκυν,νέκυς,,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,
1261,ἧττον,κακός,,,,,a-s---nac,,,,,,,,,,,,,,,,,,,,
1262,περιόντος,περίειμι,,,,,v-sppamg-,,,,,,,,,,,,,,,,,,,,
1263,δειμαίνουσι,δειμαίνω,,,,,v3ppia---,,,,,,,,,,,,,,,,,,,,
1273,τεθνεῶτα,θνῄσκω,,,,,v-srpama-,,,,,,,,,,,,,,,,,,,,
1284,ὑποδύντες,,,,ὑποδύω,,v-papamn-,,,,,,,,,,,,,,,,,,,,
1293,στρατιὰ,,,,στρατιά,,n-s---fn-,,,,,,,,,,,,,,,,,,,,
1296,πυρᾶς,,,,πυρά,,n-s---fg-,,,,,,,,,,,,,,,,,,,,
1306,ἔλεγεν,,,,λέγω,,v3siia---,,,,,,,,,,,,,,,,,,,,
1311,ὥρκωσε,ὁρκόω,,,,,v3saia---,,,,,,,,,,,,,,,,,,,,
1315,Γαλατίαν,,,,Γαλατία,,n-s---fa-,,,,,,,,,,,,,,,,,,,,
1316,κατῄει,κάτειμι,,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
1323,ὡρκῶσθαι,ὁρκόω,,,,,v--rne---,,,,,,,,,,,,,,,,,,,,
1329,παντὸς,πᾶς,,,,,a-s---mg-,,,,,,,,,,,,,,,,,,,,
1337,πεδίου,,,,πεδίον,,n-s---ng-,,,,,,,,,,,,,,,,,,,,
1340,ἡττώμενος,ἡσσάομαι,,,,,v-sppemn-,,,,,,,,,,,,,,,,,,,,
1341,ἀντισχὼν,ἀντέχω,,,ἀντίσχω,,v-sapamn-,,,,,,,,,,,,,,,,,,,,
1342,Σαρδὼ,Σαρδὼ,,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,,
1347,ἀπέθανε,,,,ἀποθνῄσκω,,v3saia---,,,,,,,,,,,,,,,,,,,,
1357,ὀκτάετες,ὀκταέτης,,,,,a-s---nn-,,,,,,,,,,,,,,,,,,,,
1359,οὐδαμὰ,οὐδαμός,,,,,a-p---nn-,,,,,,,,,,,,,,,,,,,,
1365,Ἰβηρίας,,,,Ἰβηρία,,n-s---fg-,,,,,,,,,,,,,,,,,,,,
1377,Κελτιβήρων,Κελτίβηρες,,,,,n-p---mg-,,,,,,,,,,,,,,,,,,,,
1379,τούς,ὁ,,,,,l-p---ma-,,,,,,,,,,,,,,,,,,,,
1386,γενναίως,γενναῖος,,,,,d--------,,,,,,,,,,,,,,,,,,,,
1388,τόλμῃ,τόλμα,,,,,n-s---fd-,,,,,,,,,,,,,,,,,,,,
1390,συνόντων,,,,σύνειμι,,v-pppamg-,,,,,,,,,,,,,,,,,,,,
1396,ἀποθανόντος,,,,ἀποθνῄσκω,,v-sapamg-,,,,,,,,,,,,,,,,,,,,
1411,Ἄλπεια,Ἄλπειος,,,,,a-p---na-,n-p---na-,,,,,,,,,,,,,,,,,,,
1414,ἀνῄει,ἄνειμι,,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
1416,μεγαλουργίαν,μεγαλοεργία,,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,,
1418,ἐχάρασσεν,χαράσσω,,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
1422,ἀνίσχουσι,ἀνίσχω,,,,,v3ppia---,,,,,,,,,,,,,,,,,,,,
1423,Ἀλπείων,,,,Ἄλπειος,,a-p---ng-,n-p---fg-,n-p---ng-,,,,,,,,,,,,,,,,,,
1427,Κελτῶν,,,,Κελτός,,n-p---mg-,,,,,,,,,,,,,,,,,,,,
1439,ἐξιόν,ἔξειμι,,,,,v-sppana-,,,,,,,,,,,,,,,,,,,,
1456,πυθόμενος,,,,πυνθάνομαι,,v-spppmn-,,,,,,,,,,,,,,,,,,,,
1459,τοιαῦτʼ,τοιοῦτος,,,,,a-p---na-,,,,,,,,,,,,,,,,,,,,
1461,Ῥωμαϊκὴν,Ῥωμαικός,,,,,a-s---fa-,,,,,,,,,,,,,,,,,,,,
1466,ἐπῄεσαν,ἔπειμι,,,,,v3piia---,,,,,,,,,,,,,,,,,,,,
1469,Πυρηναίων,Πυρηναῖος,,,,,a-p---ng-,,,,,,,,,,,,,,,,,,,,
1482,ἀκαταπλήκτως,ἀκατάπληκτος,,,,,d--------,,,,,,,,,,,,,,,,,,,,
1485,ἐξειργάζοντο,ἐξεργάζομαι,,,,,v3piie---,,,,,,,,,,,,,,,,,,,,
1494,ἐπικινδύνως,ἐπικίνδυνος,,,,,d--------,,,,,,,,,,,,,,,,,,,,
1514,εὐθύς,,,,εὐθύς,,d--------,,,,,,,,,,,,,,,,,,,,
1515,προκαταρχόμενος,προκατάρχομαι,,,,,v-sppemn-,,,,,,,,,,,,,,,,,,,,
1518,ὕστερον,ὕστερος,,,,,a-s---nac,,,,,,,,,,,,,,,,,,,,
1527,ἔκτεινεν,,,,κτείνω,,v3saia---,,,,,,,,,,,,,,,,,,,,
1530,ἡμίσεας,ἥμισυς,,,,,a-p---ma-,,,,,,,,,,,,,,,,,,,,
1535,ἐπιούσης,ἔπειμι,,,,,v-sppafg-,,,,,,,,,,,,,,,,,,,,
1545,ἐπαύσατο,,,,παύω,,v3saim---,,,,,,,,,,,,,,,,,,,,
1554,ὀλυμπιάδος,ὀλυμπιάς,,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,
1557,προσεγίγνετο,προσγίγνομαι,,,,,v3siie---,,,,,,,,,,,,,,,,,,,,
1558,Βιθυνία,,,,Βιθυνία,,n-s---fn-,,,,,,,,,,,,,,,,,,,,
1560,ἀπολιπόντος,,,,ἀπολείπω,,v-sapamg-,,,,,,,,,,,,,,,,,,,,
1563,Λαγίδου,,,,Λαγίδης,,n-s---mg-,,,,,,,,,,,,,,,,,,,,
1571,Κρήτην,,,,Κρήτη,,n-s---fa-,,,,,,,,,,,,,,,,,,,,
1573,μονομάχων,,,,μονομάχος,,a-p---mg-,n-p---mg-,,,,,,,,,,,,,,,,,,,
1575,ἄκμαζε,ἀκμάζω,,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
1587,ἀγρίως,ἄγριος,,,,,d--------,,,,,,,,,,,,,,,,,,,,
1588,βαρβαρικῶς,βαρβαρικός,,,,,d--------,,,,,,,,,,,,,,,,,,,,
1596,ἀντʼ,,,,ἀντί,,r--------,,,,,,,,,,,,,,,,,,,,
1599,Κελτίβηρας,Κελτίβηρες,,,,,n-p---ma-,,,,,,,,,,,,,,,,,,,,
1608,ὑπέδακνεν,,,,ὑποδάκνω,,v3siia---,,,,,,,,,,,,,,,,,,,,
1622,τελέως,τέλειος,,,,,d--------,,,,,,,,,,,,,,,,,,,,
1623,ἀπεστρέφοντο,ἀποστρέφω,,,,,v3piie---,,,,,,,,,,,,,,,,,,,,
1637,ὑπήκοα,,,,ὑπήκοος,,n-p---na-,,,,,,,,,,,,,,,,,,,,
1640,περικαθημένου,περικάθημαι,,,,,v-sppmmg-,,,,,,,,,,,,,,,,,,,,
1643,ὑποκρεμάσαντος,,,,ὑποκρεμάννυμι,,v-sapamg-,,,,,,,,,,,,,,,,,,,,
1644,ἐπιφανεὶς,ἐπιφαίνω,,,,,v-sappmn-,,,,,,,,,,,,,,,,,,,,
1651,ἤγειρε,ἀγείρω,,,ἐγείρω,,v3saia---,,,,,,,,,,,,,,,,,,,,
1653,Καλάγυρον,,,,Καλάγυρος,,n-s---ma-,,,,,,,,,,,,,,,,,,,,
1656,ἔκτεινε,,,,κτείνω,,v3saia---,,,,,,,,,,,,,,,,,,,,
1658,Ἰβηρίᾳ,,,,Ἰβηρία,,n-s---fd-,,,,,,,,,,,,,,,,,,,,
1662,περιέσπων,περισπάω,,,,,v3piia---,,,,,,,,,,,,,,,,,,,,
1667,γε,γε,,,,,d--------,,,,,,,,,,,,,,,,,,,,
1669,συνηνέχθησαν,συμφέρω,,,,,v3paip---,,,,,,,,,,,,,,,,,,,,
1682,ἡττᾶτο,ἡσσάομαι,,,,,v3siie---,,,,,,,,,,,,,,,,,,,,
1683,συνεχῶς,συνεχής,,,,,d--------,,,,,,,,,,,,,,,,,,,,
1698,τῶνδέ,ὅδε,,,,,a-p---mg-,,,,,,,,,,,,,,,,,,,,
1707,ἑστίασιν,ἑστίασις,,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,,
1708,μεθύσας,μεθύσκω,,,,,v-sapamn-,,,,,,,,,,,,,,,,,,,,
1718,ἀποθανοῦσι,,,,ἀποθνῄσκω,,v-papamd-,,,,,,,,,,,,,,,,,,,,
1724,ἐπανίασι,ἐπάνειμι,,,,,v3ppia---,,,,,,,,,,,,,,,,,,,,
1725,παρόντα,πάρειμι,,,,,v-pppana-,,,,,,,,,,,,,,,,,,,,
1730,χαλεπῶς,χαλεπός,,,,,d--------,,,,,,,,,,,,,,,,,,,,
1744,ἐσῄει,εἴσειμι,,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
1752,περιθέων,περιθέω,,,,,v-sppamn-,,,,,,,,,,,,,,,,,,,,
