,@form,gorman_lemma_1,gorman_lemma_2,gpt_lemma_1,gpt_lemma_2,postag_1,postag_2,postag_3,postag_4,lemma_pedalion_1,lemma_pedalion_2,lemma_pedalion_3,lemma_pedalion_4,lemma_pedalion_5,lemma_pedalion_6,lemma_pedalion_7,lemma_pedalion_8,lemma_pedalion_9,lemma_pedalion_10,lemma_pedalion_11,lemma_pedalion_12,lemma_pedalion_13,lemma_pedalion_14,lemma_pedalion_15,lemma_pedalion_16,lemma_pedalion_17
116,ἐπειδὴ,,,ἐπειδή,,c--------,,,,,,,,,,,,,,,,,,,,
123,παρωσάμενος,παρωθέω,,,,v-sapmmn-,,,,,,,,,,,,,,,,,,,,
127,θεῖον,,,θεῖος,,n-s---ma-,,,,,,,,,,,,,,,,,,,,
134,περιεῖδεν,,,,,v3saia---,,,,περιοράω,,,,,,,,,,,,,,,,
141,ἀπολειφθέντος,,,ἀπολείπω,,v-sappmg-,,,,,,,,,,,,,,,,,,,,
147,βουλὴν,βουλή,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,,
157,ἀπολέσαντα,ἀπόλλυμι,,,,v-sapama-,,,,,,,,,,,,,,,,,,,,
161,ὅτι,,,ὅτι,,c--------,d--------,,,,ὅστις,,,,,,,,,,,,,,,
163,λέγω,,,λέγω,,v1spia---,,,,,,,,,,,,,,,,,,,,
169,ἀναγίγνωσκε,ἀναγιγνώσκω,,,,v2spma---,,,,,,,,,,,,,,,,,,,,
172,ἄν,,,ἄν,,d--------,,,,ἐάν,,,,,,,,,,,,,,,,
175,ἀποδόμενος,ἀποδίδωμι,,,,v-sapmmn-,,,,,,,,,,,,,,,,,,,,
176,πατρῴαν,πατρῷος,,,,a-s---fa-,,,,,,,,,,,,,,,,,,,,
186,Ἀλωπεκῆσι,Ἀλωπεκῆσι,,,,d--------,,,,,,,,,,,,,,,,,,,,
189,τ-,ὁ,,,,l-p---na-,l-s---na-,l-p---nn-,,,τε,,,,,,,,,,,,,,,
190,ἀργύρειά,ἀργύρειος,,,,a-p---na-,,,,,,,,,,,,,,,,,,,,
208,πατρῴων,πατρῷος,,,,a-p---ng-,,,,,,,,,,,,,,,,,,,,
209,περίεστι,,,περίειμι,,v3spia---,,,,,,,,,,,,,,,,,,,,
216,ἐπίστασθαι,,,ἐπίσταμαι,,v--pne---,,,,,,,,,,,,,,,,,,,,
217,ἐρυθριᾶν,,,ἐρυθριάω,,v--pna---,,,,,,,,,,,,,,,,,,,,
220,ἂν,,ἐάν,ἄν,,d--------,c--------,,,,,,,,,,,,,,,,,,,
226,πατρῷα,πατρῷος,,,,a-p---na-,,,,,,,,,,,,,,,,,,,,
227,κατεδήδοκεν,κατεσθίω,,,,v3sria---,,,,,,,,,,,,,,,,,,,,
241,ἧρξεν,,,ἄρχω,,v3saia---,,,,,,,,,,,,,,,,,,,,
244,λαχὼν,λαγχάνω,,,,v-sapamn-,,,,,,,,,,,,,,,,,,,,
245,-δὲ,δέ,,,,c--------,d--------,,,,,,,,,,,,,,,,,,,
249,πριάμενος,πρίαμαι,,,,v-sppmmn-,,,,,,,,,,,,,,,,,,,,
250,πλείστας,πολύς,,,,a-p---fas,,,,,,,,,,,,,,,,,,,,
253,ἢ,,,ἤ,,c--------,d--------,,,,,,,,,,,,,,,,,,,
255,μνησθήσομαι,,,,,v1sfip---,,,,μιμνῄσκω,,,,,,,,,,,,,,,,
258,πλεῖστα,πολύς,,,,a-p---nas,,,,,,,,,,,,,,,,,,,,
274,δανεισάμενος,δανείζω,,,,v-sapmmn-,,,,,,,,,,,,,,,,,,,,
298,αὑτοῦ,ἑαυτοῦ,,,,p-s---mg-,,,,,,,,,,,,,,,,,,,,
305,καταλείπω,,,καταλείπω,,v1spia---,,,,,,,,,,,,,,,,,,,,
307,τί,τις,,,,p-s---na-,,,,,,,,,,,,,,,,,,,,
309,Ἀθήνησιν,Ἀθήνησιν,,,,d--------,,,,,,,,,,,,,,,,,,,,
324,τίς,τις,,,,p-s---mn-,a-s---mn-,a-s---fn-,,,,,,,,,,,,,,,,,,
326,ἀπολελοιπέναι,,,ἀπολείπω,,v--rna---,,,,,,,,,,,,,,,,,,,,
327,ἀσελγεστάτων,ἀσελγής,,,,a-p---ngs,,,,,,,,,,,,,,,,,,,,
345,Ἀνδρίων,Ἄνδριος,,,,n-p---mg-,,,,,,,,,,,,,,,,,,,,
348,αὑτὸν,ἑαυτοῦ,,,,p-s---ma-,,,,,,,,,,,,,,,,,,,,
349,ἄρχων,ἄρχω,ἄρχων,,,v-sppamn-,,,,,,,,,,,,,,,,,,,,
359,ἄρχοντος,ἄρχω,ἄρχων,,,v-sppamg-,,,,,,,,,,,,,,,,,,,,
375,παροῦσα,,,,,v-sppafn-,,,,πάρειμι,,,,,,,,,,,,,,,,
378,βραχέων,,,βραχύς,,a-p---ng-,,,,,,,,,,,,,,,,,,,,
379,ὅθ᾽,,ὅτε,,,d--------,c--------,,,,,,,,,,,,,,,,,,,
381,ταμίας,,,ταμίας,,n-s---mn-,,,,,ταμία,,,,,,,,,,,,,,,
387,κοινῇ,,,κοινός,,d--------,,,,,,,,,,,,,,,,,,,,
390,χιλίας,,χίλιοι,,,a-p---fa-,,,,,,,,,,,,,,,,,,,,
398,παροξυνθείς,παροξύνω,,,,v-sappmn-,,,,,,,,,,,,,,,,,,,,
405,πῶς,,,πῶς,,d--------,,,,,,,,,,,,,,,,,,,,
411,ὅ,ὅς,ὁ,,,p-s---na-,l-s---mn-,,,,,,,,,,,,,,,,,,,
416,Λεωδάμαντος,Λεωδάμας,,,,n-s---mg-,,,,,,,,,,,,,,,,,,,,
423,διεξῄει,διέξειμι,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
425,εἰδότως,,,οἶδα,,d--------,,,,,,,,,,,,,,,,,,,,
432,ἐκφυλλοφορήσασα,,,ἐκφυλλοφορέω,,v-sapafn-,,,,,,,,,,,,,,,,,,,,
443,ἐξεφυλλοφόρησε,,,ἐκφυλλοφορέω,,v3saia---,,,,,,,,,,,,,,,,,,,,
448,-δ᾽,δέ,,,,c--------,,,,,,,,,,,,,,,,,,,,
452,λέγων,,,λέγω,,v-sppamn-,,,,,,,,,,,,,,,,,,,,
468,συνενεγκόντα,συμφέρω,,,,v-sapama-,,,,,,,,,,,,,,,,,,,,
486,Ἐρετρίᾳ,Ἐρέτρια,,,,n-s---fd-,,,,,,,,,,,,,,,,,,,,
487,ξένων,,,ξένος,,n-p---mg-,,,,,,,,,,,,,,,,,,,,
493,εὐθὺς,,,εὐθύς,,d--------,,,,,,,,,,,,,,,,,,,,
498,ἐξάρνοις,ἔξαρνος,,,,a-p---md-,,,,,,,,,,,,,,,,,,,,
502,οἱ,ὁ,ἕ,,,l-p---mn-,p3s---md-,,,,,,,,,,,,,,,,,,,
511,τοιγάρτοι,,,τοιγάρτοι,,d--------,,,,,,,,,,,,,,,,,,,,
521,Φιλωτάδην,Φιλωτάδης,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,
534,ἱερά,ἱερόν,,ἱερός,,n-p---na-,,,,,,,,,,,,,,,,,,,,
536,μη,μή,,,,d--------,,,,,,,,,,,,,,,,,,,,
539,ὁρκίους,ὅρκιος,,,,a-p---ma-,,,,,,,,,,,,,,,,,,,,
546,Λευκωνίδου,Λευκωνίδης,,,,n-s---mg-,,,,,,,,,,,,,,,,,,,,
547,Φιλωτάδου,Φιλωτάδης,,,,n-s---mg-,,,,,,,,,,,,,,,,,,,,
565,Λευκωνίδην,Λευκωνίδης,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,
569,ἀντίγραφα,ἀντίγραφος,,,,a-p---na-,,,,,,,,,,,,,,,,,,,,
581,συνῇστε,σύνοιδα,,,,v2plia---,,,,,,,,,,,,,,,,,,,,
584,λέγειν,,,λέγω,,v--pna---,,,,,,,,,,,,,,,,,,,,
585,ἱκανῶς,ἱκανός,,,,d--------,,,,,,,,,,,,,,,,,,,,
596,ἐμαυτόν,ἐμαυτοῦ,,,,p-s---ma-,,,,,,,,,,,,,,,,,,,,
631,νεωτέρων,νέος,,,,a-p---mgc,,,,,,,,,,,,,,,,,,,,
632,προσεστηκότας,προσίστημι,,,,v-prpama-,,,,,,,,,,,,,,,,,,,,
633,πρεσβυτέρων,,,πρέσβυς,,a-p---mgc,,,,,,,,,,,,,,,,,,,,
637,συνειλεγμένους,συλλέγω,,,,v-prpema-,,,,,,,,,,,,,,,,,,,,
640,νομίζετ᾽,νομίζω,,,,v2ppma---,,,,,,,,,,,,,,,,,,,,
645,εἰσομένους,οἶδα,,,,v-pfpmma-,,,,,,,,,,,,,,,,,,,,
651,καλὰ,καλός,,,,a-p---na-,,,,,,,,,,,,,,,,,,,,
655,θέλετε,,,θέλω,,v2ppma---,,,,,,,,,,,,,,,,,,,,
662,λέξω,,,λέγω,,v1sfia---,,,,,,,,,,,,,,,,,,,,
663,πρῶτον,πρῶτος,,,,a-s---nas,,,,,,,,,,,,,,,,,,,,
664,περιττὸς,περισσός,,,,a-s---mn-,,,,,,,,,,,,,,,,,,,,
671,προσεκτέον,προσεκτέος,,,,a-s---na-,,,,,,,,,,,,,,,,,,,,
675,μέμνησθ᾽,μιμνῄσκω,,,,v2prie---,,,,,,,,,,,,,,,,,,,,
681,πριαμένους,πρίαμαι,,,,v-pppmma-,,,,,,,,,,,,,,,,,,,,
686,χρωμένους,,,,,v-pppema-,,,,χράω,,,,,,,,,,,,,,,,
703,ἐκλέξαντος,,,ἐκλέγω,,v-sapamg-,,,,,,,,,,,,,,,,,,,,
704,σκέψασθ᾽,σκέπτομαι,,,,v2pame---,,,,,,,,,,,,,,,,,,,,
705,ἁπλοῦν,ἁπλόος,,,,a-s---ma-,,,,,,,,,,,,,,,,,,,,
709,αἰσχύνομαι,αἰσχύνω,,,,v1spie---,,,,,,,,,,,,,,,,,,,,
722,ἐκαθέζετο,,,καθέζομαι,,v3siim---,,,,,,,,,,,,,,,,,,,,
729,σοι,,,σύ,,p2s---md-,,,,,,,,,,,,,,,,,,,,
734,χρήσῃ,,,,,v2sfim---,,,,χράω,,,,,,,,,,,,,,,,
735,αἰσχρὸν,αἰσχρός,,,,a-s---na-,,,,,,,,,,,,,,,,,,,,
736,σαυτῷ,,,σεαυτοῦ,,p-s---md-,,,,,,,,,,,,,,,,,,,,
739,δικαστὰς,δικαστής,,,,n-p---ma-,,,,,,,,,,,,,,,,,,,,
742,ἀνδρὶ,ἀνήρ,,,,n-s---md-,,,,,,,,,,,,,,,,,,,,
754,τινὰς,τις,,,,p-p---ma-,,,,,,,,,,,,,,,,,,,,
761,πέπρακταί,πράσσω,,,,v3srie---,,,,,,,,,,,,,,,,,,,,
763,παραπλησίως,παραπλήσιος,,,,d--------,,,,,,,,,,,,,,,,,,,,
765,λεγομέναις,,,λέγω,,v-pppefd-,,,,,,,,,,,,,,,,,,,,
778,καταχρήσασθέ,καταχράω,,,,v2pamm---,,,,,,,,,,,,,,,,,,,,
780,μέν,μέν,,,,d--------,,,,,,,,,,,,,,,,,,,,
805,ἐκαθέζου,,,καθέζομαι,,v2siim---,,,,,,,,,,,,,,,,,,,,
814,ἐνοικήσασι,ἐνοικέω,,,,v-papamd-,,,,,,,,,,,,,,,,,,,,
816,ἐνοικήσαντες,ἐνοικέω,,,,v-papamn-,,,,,,,,,,,,,,,,,,,,
832,ὁδοῖς,,,ὁδός,,n-p---fd-,,,,,,,,,,,,,,,,,,,,
834,ἰατρὸς,ἰατρός,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,,
839,αὐτὸ,αὐτός,,,,a-s---na-,,,,,,,,,,,,,,,,,,,,
841,χαλκεὺς,χαλκεύς,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,,
848,πορνοβοσκὸς,πορνοβοσκός,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,,
860,ποτὲ,ποτέ,,,,d--------,,,,,,,,,,,,,,,,,,,,
867,συγκείμενος,σύγκειμαι,,,,v-srpemn-,,,,,,,,,,,,,,,,,,,,
868,λέγει,,,λέγω,,v3spia---,,,,,,,,,,,,,,,,,,,,
870,ἀδικώτερον,ἄδικος,,,,a-s---nnc,,,,,,,,,,,,,,,,,,,,
887,Αἰγῇδος,Αἰγηίς,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,
893,ἡδὺς,ἡδύς,,,,a-s---mn-,,,,,,,,,,,,,,,,,,,,
895,γελοῖος,,,γελοῖος,,a-s---mn-,,,,,,,,,,,,,,,,,,,,
902,ὑποκορίσματος,ὑποκόρισμα,,,,n-s---ng-,,,,,,,,,,,,,,,,,,,,
909,τοῦτ᾽,οὗτος,,,,p-s---na-,,,,,,,,,,,,,,,,,,,,
917,ὅλως,ὅλος,,,,d--------,,,,,,,,,,,,,,,,,,,,
922,λεγομένους,,,λέγω,,v-pppema-,,,,,,,,,,,,,,,,,,,,
924,οὔ,οὐ,οὔτε,,,d--------,,,,,,,,,,,,,,,,,,,,
925,-τε,τε,,,,d--------,c--------,,,,,,,,,,,,,,,,,,,
926,καλαὶ,καλός,,,,a-s---fv-,,,,,,,,,,,,,,,,,,,,
927,αἰσχραὶ,αἰσχρός,,,,a-p---fn-,,,,,,,,,,,,,,,,,,,,
929,προσαψάμενος,προσάπτω,,,,v-sapmmn-,,,,,,,,,,,,,,,,,,,,
939,πλανᾶται,πλανάω,,,,v3spie---,,,,,,,,,,,,,,,,,,,,
948,ὥσθ᾽,ὥστε,,,,c--------,,,,,,,,,,,,,,,,,,,,
952,μεγίστης,μέγας,,,,a-s---fgs,,,,,,,,,,,,,,,,,,,,
955,Ὅμηρον,,,Ὅμηρος,,n-s---ma-,,,,,,,,,,,,,,,,,,,,
957,λέγοντα,,,λέγω,,v-sppama-,,,,,,,,,,,,,,,,,,,,
975,λέγῃ,,,λέγω,,v3spsa---,,,,,,,,,,,,,,,,,,,,
978,ἀν,ἐάν,,ἀν,,c--------,,,,,,,,,,,,,,,,,,,,
984,ἀποδείκνυσι,ἀποδείκνυμι,,,,v3spia---,,,,,,,,,,,,,,,,,,,,
988,συνιέναι,σύνειμι,,συνίημι,,v--pna---,,,,,,,,,,,,,,,,,,,,
995,νύ,νῦν,,,,d--------,,,,,,,,,,,,,,,,,,,,
1002,δημοσίᾳ,,δημόσιος,,,d--------,a-s---fd-,,,,,,,,,,,,,,,,,,,
1013,ἀναμνήσθητε,,,ἀναμιμνῄσκω,,v2paip---,,,,,,,,,,,,,,,,,,,,
1014,τίνι,τις,,,,a-s---fd-,,,,,,,,,,,,,,,,,,,,
1015,κέχρησθε,χράω,,,,v2prie---,,,,,,,,,,,,,,,,,,,,
1018,οὔνομα,ὄνομα,,,,n-s---nn-,n-s---na-,,,,,,,,,,,,,,,,,,,
1019,λέγεται,,,λέγω,,v3spie---,,,,,,,,,,,,,,,,,,,,
1033,ψευδομαρτυρίων,ψευδομαρτυρίου,,,,a-p---fg-,,,,,,,,,,,,,,,,,,,,
1037,κακῶς,κακός,,,,d--------,,,,,,,,,,,,,,,,,,,,
1041,κιναιδίας,κιναιδία,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,
1043,σου,σύ,,,,p2s---mg-,,,,,,,,,,,,,,,,,,,,
1049,φίλων,φίλων,φίλος,,,n-s---mn-,a-p---mg-,,,,,,,,,,,,,,,,,,,
1057,προειπὼν,,,προλέγω,,v-sapamn-,,,,,,,,,,,,,,,,,,,,
1060,γυναικὸς,γυνή,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,
1067,ἑαυτόν,ἑαυτοῦ,,,,p-s---ma-,,,,,,,,,,,,,,,,,,,,
1072,ὅλην,,,ὅλος,,a-s---fa-,,,,,,,,,,,,,,,,,,,,
1077,φάσκων,φάσκω,,,,v-sppamn-,,,,,,,,,,,,,,,,,,,,
1086,συνήνεγκε,συμφέρω,,,,v3saia---,,,,,,,,,,,,,,,,,,,,
1094,λεγομένην,,,λέγω,,v-sppefa-,,,,,,,,,,,,,,,,,,,,
1112,αὐτὰ,αὐτός,,,,p-p---na-,,,,,,,,,,,,,,,,,,,,
1130,σεμνύνεσθαι,σεμνύνω,,,,v--pne---,,,,,,,,,,,,,,,,,,,,
1143,ἀτιμώσετε,ἀτιμόω,,,,v2pfia---,,,,,,,,,,,,,,,,,,,,
1144,ἀνταῦθα,ἐνταῦθα,,,,d--------,,,,,,,,,,,,,,,,,,,,
1153,πλείστων,,,πολύς,,a-p---mgs,,,,,,,,,,,,,,,,,,,,
1173,αἳ,ὁ,,ὅς,,l-p---fn-,,,,,,,,,,,,,,,,,,,,
1180,φημι,φημί,,,,v1spia---,,,,,,,,,,,,,,,,,,,,
1182,-τ᾽,οὔτε,τε,,,d--------,c--------,,,,,,,,,,,,,,,,,,,
1192,οὐχὶ,οὐ,,,,d--------,,,,,,,,,,,,,,,,,,,,
1200,ἐρᾶν,,,ἐράω,,v--pna---,,,,,,,,,,,,,,,,,,,,
1210,μισθούμενον,μισθόω,,,,v-sppema-,,,,,,,,,,,,,,,,,,,,
1211,ὑβριστοῦ,ὑβριστός,,,,a-s---mg-,,,,,,,,,,,,,,,,,,,,
1214,ἀδιαφθόρως,ἀδιάφθορος,,,,d--------,,,,,,,,,,,,,,,,,,,,
1215,ἐρᾶσθαί, ἐράω,,,,v--pne---,,,,,,,,,,,,,,,,,,,,
1226,πειράσομαι,πειράω,,,,v1sfim---,,,,,,,,,,,,,,,,,,,,
1247,κατιδόντες,,,καθοράω,,v-papamn-,,,,,,,,,,,,,,,,,,,,
1264,ἡγήσατο,ἡγέομαι,,,,v3saim---,v3saie---,,,,,,,,,,,,,,,,,,,
1272,ἐρῶντα,,,ἐράω,,v-sppama-,,,,,,,,,,,,,,,,,,,,
1276,πρεσβυτέραν,πρέσβυς,,,,a-s---fac,,,,,,,,,,,,,,,,,,,,
1281,μεγίστην,μέγας,,,,a-s---fas,,,,,,,,,,,,,,,,,,,,
1288,προσειπεῖν,προσλέγω,,,,v--ana---,,,,,,,,,,,,,,,,,,,,
1295,ἐγκωμίοις,ἐγκώμιος,,,,a-p---nd-,,,,,,,,,,,,,,,,,,,,
1312,λέξομέν,,,λέγω,,v1pfia---,,,,,,,,,,,,,,,,,,,,
1318,εἰρημένους,,,λέγω,,v-prpema-,,,,,,,,,,,,,,,,,,,,
1329,ἐρῶντας,,,ἐράω,,v-pppama-,,,,,,,,,,,,,,,,,,,,
1332,πρεσβυτάτοις,πρέσβυς,,,,a-p---mds,,,,,,,,,,,,,,,,,,,,
1343,που,πού,,,,d--------,,,,,,,,,,,,,,,,,,,,
1353,ἄκων,ἀέκων,,,,a-s---mn-,,,,,,,,,,,,,,,,,,,,
1354,ἐψεύσατο,ψεύδω,,,,v3saim---,,,,,,,,,,,,,,,,,,,,
1356,Ὀποῦντα,Ὀπόεις,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,,
1357,σῶν,σῶς,σός,,,a-s---ma-,a-p---ng-,,,,,,,,,,,,,,,,,,,
1361,παρακαταθεῖτο,,,παρακατατίθημι,,v3saom---,,,,,,,,,,,,,,,,,,,,
1362,αὑτῷ,ἑαυτοῦ,,,,p-s---md-,,,,,,,,,,,,,,,,,,,,
1371,ἅλιον,,,ἅλιος,,a-s---na-,,,,,,,,,,,,,,,,,,,,
1375,κείνῳ,,,ἐκεῖνος,,a-s---nd-,,,,,,,,,,,,,,,,,,,,
1383,Ἴλιον,,,Ἴλιος,,n-s---na-,,,,,,,,,,,,,,,,,,,,
1386,ληίδος,ληίς,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,
1387,αἶσαν,,,αἶσα,,n-s---fa-,,,,,,,,,,,,,,,,,,,,
1399,σχετλιάζων,,,σχετλιάζω,,v-sppamn-,,,,,,,,,,,,,,,,,,,,
1401,ἰσχυρῶς,ἰσχυρός,,,,d--------,,,,,,,,,,,,,,,,,,,,
1412,γηραιὸς,γηραιός,,,,a-s---mn-,,,,,,,,,,,,,,,,,,,,
1414,ἀποθανεῖται,,,ἀποθνῄσκω,,v3sfim---,,,,,,,,,,,,,,,,,,,,
1416,ταχέων,τάχος,,ταχύς,,n-p---ng-,,,,,,,,,,,,,,,,,,,,
1419,τεθνεῶτος,θνῄσκω,,,,v-srpamg-,,,,,,,,,,,,,,,,,,,,
1421,οὕτω,οὕτως,,,,d--------,,,,,,,,,,,,,,,,,,,,
1422,μεγαλοψύχως,μεγαλόψυχος,,,,d--------,,,,,,,,,,,,,,,,,,,,
1423,ἠπείγετο,ἐπείγω,,,,v3siie---,,,,,,,,,,,,,,,,,,,,
1436,τάφον,,,τάφος,,n-s---ma-,,,,,,,,,,,,,,,,,,,,
1439,πυρᾷ,,,πυρά,,n-s---fd-,,,,,,,,,,,,,,,,,,,,
1442,ἐφίσταται,ἐφίστημι,,,,v3spie---,,,,,,,,,,,,,,,,,,,,
1459,προδιοικήσασθαι,προδιοικέω,,,,v--anm---,,,,,,,,,,,,,,,,,,,,
1468,διεξιὼν,διέξειμι,,,,v-sppamn-,,,,,,,,,,,,,,,,,,,,
1472,μεγίστων,μέγας,,,,a-p---ngs,,,,,,,,,,,,,,,,,,,,
1473,καθεζόμενοι,,,καθέζομαι,,v-pppemn-,,,,,,,,,,,,,,,,,,,,
1483,ἀναγνώσεται,ἀναγιγνώσκω,,,,v3sfim---,,,,,,,,,,,,,,,,,,,,
1487,λέγε,,,λέγω,,v2spma---,,,,,,,,,,,,,,,,,,,,
1499,τεύχεα,τεῦχος,,,,n-p---na-,,,,,,,,,,,,,,,,,,,,
1501,μεγαθύμου,μεγάθυμος,,,,a-s---mg-,,,,,,,,,,,,,,,,,,,,
1512,ἀπάνευθεν,ἀπάνευθε,,,,d--------,,,,,,,,,,,,,,,,,,,,
1518,ἀμφέχανε,ἀμφιχάσκω,,,,v3saia---,,,,,,,,,,,,,,,,,,,,
1521,λάχε,λαγχάνω,,,,v3saia---,,,,,,,,,,,,,,,,,,,,
1522,γεινόμενόν,γείνομαι,,,,v-sppema-,,,,,,,,,,,,,,,,,,,,
1523,περ,,,περ,,d--------,,,,,,,,,,,,,,,,,,,,
1530,Τρώων,,,Τρῶες,,n-p---mg-,,,,,,,,,,,,,,,,,,,,
1534,δηίοις,δάιος,,,,a-p---md-,,,,,,,,,,,,,,,,,,,,
1537,ἠυκόμοιο,εὔκομος,,,,a-s---fg-,,,,,,,,,,,,,,,,,,,,
1540,ἐρέω,λέγω,,,,v1sfia---,,,,,,,,,,,,,,,,,,,,
1546,ἀπάνευθε,ἀπάνευθε,,,,d--------,,,,,,,,,,,,,,,,,,,,
1549,πέρ,,,περ,,d--------,,,,,,,,,,,,,,,,,,,,
1552,κεκεύθῃ,κεύθω,,,,v3srsa---,,,,,,,,,,,,,,,,,,,,
1555,τόν,ὁς,,ὁ,,p-s---ma-,,,,,,,,,,,,,,,,,,,,
1569,ὑμέτερόνδ᾽,ὑμέτερος,,,,d--------,,,,,,,,,,,,,,,,,,,,
1579,χολωθείς,,,χολόω,,v-sapemn-,,,,,,,,,,,,,,,,,,,,
1582,δώμασιν,δῶμα,,,,n-p---nd-,,,,,,,,,,,,,,,,,,,,
1589,ὀνόμηνεν,ὀνομαίνω,,,,v3saia---,,,,,,,,,,,,,,,,,,,,
1590,ὣς,ὡς,,,,d--------,,,,,,,,,,,,,,,,,,,,
1592,νῶιν,ἐγώ,,,,p1d---mg-,,,,,,,,,,,,,,,,,,,,
1597,σωθῆναι,,,σῴζω,,v--anp---,,,,,,,,,,,,,,,,,,,,
1603,οἷ,ὅς,,,,p-p---na-,,,,,,,,,,,,,,,,,,,,
1611,ποδάρκης,ποδαρκής,,,,a-s---mn-,,,,,,,,,,,,,,,,,,,,
1614,τεθναίην,,,θνῄσκω,,v1sroa---,,,,,,,,,,,,,,,,,,,,
1620,φίλτατος,,,φίλος,,a-s---mns,,,,,,,,,,,,,,,,,,,,
1622,λειτουργίας,,,λειτουργία,,,,,,,,,,,,,,,,,,,,,,
1623,βουλήν,,,βουλή,,,,,,,,,,,,,,,,,,,,,,
1624,οὐδ᾽,,,οὐδέ,,,,,,,,,,,,,,,,,,,,,,
1625,μηδὲ,,,μηδέ,,,,,,,,,,,,,,,,,,,,,,
1626,νομίζετε,,,νομίζω,,,,,,,,,,,,,,,,,,,,,,
1627,ἐμέ,,,ἐγώ,,,,,,,,,,,,,,,,,,,,,,
1628,καλά,,,καλός,,,,,,,,,,,,,,,,,,,,,,
1629,σκέψασθε,,,σκέπτομαι,,,,,,,,,,,,,,,,,,,,,,
1630,δικαστάς,,,δικαστής,,,,,,,,,,,,,,,,,,,,,,
1631,ἀνδρί,,,ἀνήρ,,,,,,,,,,,,,,,,,,,,,,
1632,παιδός,,,παῖς,,,,,,,,,,,,,,,,,,,,,,
1633,διατριβάς,,,διατριβή,,,,,,,,,,,,,,,,,,,,,,
1634,τινάς,,,τις,,,,,,,,,,,,,,,,,,,,,,
1635,πολλοί,,,πολύς,,,,,,,,,,,,,,,,,,,,,,
1636,ἰατρός,,,ἰατρός,,,,,,,,,,,,,,,,,,,,,,
1637,αὐτό,,,αὐτός,,,,,,,,,,,,,,,,,,,,,,
1638,χαλκεύς,,,χαλκεύς,,,,,,,,,,,,,,,,,,,,,,
1639,πορνοβοσκός,,,πορνοβοσκός,,,,,,,,,,,,,,,,,,,,,,
1640,ἀπό,,,ἀπό,,,,,,,,,,,,,,,,,,,,,,
1641,σύ,,,σύ,,,,,,,,,,,,,,,,,,,,,,
1642,ποτε,,,ποτε,,,,,,,,,,,,,,,,,,,,,,
1643,ἡδύς,,,ἡδύς,,,,,,,,,,,,,,,,,,,,,,
1644,οὔτε,,,οὔτε,,,,,,,,,,,,,,,,,,,,,,
