,@form,gorman_lemma_1,gorman_lemma_2,gpt_lemma_1,gpt_lemma_2,postag_1,postag_2,postag_3,postag_4,lemma_pedalion_1,lemma_pedalion_2,lemma_pedalion_3,lemma_pedalion_4,lemma_pedalion_5,lemma_pedalion_6,lemma_pedalion_7,lemma_pedalion_8,lemma_pedalion_9,lemma_pedalion_10,lemma_pedalion_11,lemma_pedalion_12,lemma_pedalion_13,lemma_pedalion_14,lemma_pedalion_15,lemma_pedalion_16,lemma_pedalion_17
493,ἥνπερ,,,ὅσπερ,,p-s---fa-,,,,,,,,,,,,,,,,,,,,
495,Κρωβύλος,Κρώβυλος,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,,
499,ὅλως,ὅλος,,,,d--------,,,,,,,,,,,,,,,,,,,,
512,τ-,ὁ,,,,l-s---na-,l-p---na-,,,,τε,,,,,,,,,,,,,,,
530,λέγω,,,λέγω,,v1spia---,,,,,,,,,,,,,,,,,,,,
532,τίς,τις,,,,p-s---mn-,a-s---mn-,,,,,,,,,,,,,,,,,,,
533,οὖψον,ὄψον,,,,n-s---na-,,,,,,,,,,,,,,,,,,,,
545,ἐπειδήπερ,,,ἐπειδήπερ,,c--------,,,,,,,,,,,,,,,,,,,,
562,ἐμὲ,ἐγώ,,,,p1s---ma-,,,,,,,,,,,,,,,,,,,,
568,ἄρασθαι,αἴρω,,,,v--anm---,,,,,,,,,,,,,,,,,,,,
574,δουλείας,δούλειος,,δουλεία,,a-s---fg-,,,,,,,,,,,,,,,,,,,,
583,κοσμιωτέραν,κόσμιος,,,,a-s---fac,,,,,,,,,,,,,,,,,,,,
589,ἀπομεῖται,ἀπόμνυμι,,,,v3sfim---,,,,,,,,,,,,,,,,,,,,
592,τί,τις,,,,p-s---na-,p-s---nn-,,,,,,,,,,,,,,,,,,,
601,ὀλιγώρως,ὀλίγωρος,,,,d--------,,,,,,,,,,,,,,,,,,,,
614,ἐχρησάμην,,,,,v1saim---,,,,χράω,,,,,,,,,,,,,,,,
624,προεῖπον,,,προλέγω,,v1saia---,,,,,,,,,,,,,,,,,,,,
625,κἀκεῖνό,,,καὶ ἐκεῖνος,,p-s---nn-,,,,,,,,,,,,,,,,,,,,
630,πάρεισιν,,,πάρειμι,,v3ppia---,,,,,,,,,,,,,,,,,,,,
659,τίνας,τις,,,,a-p---fa-,,,,,,,,,,,,,,,,,,,,
681,ἐπιστρεφῶς,ἐπιστρεφής,,,,d--------,,,,,,,,,,,,,,,,,,,,
682,ῥητορικῶς,ῥητορικός,,,,d--------,,,,,,,,,,,,,,,,,,,,
696,εἶδεν,,,ὁράω,,v3saia---,,,,,,,,,,,,,,,,,,,,
710,Ἀθηναίων,,,Ἀθηναῖος,,n-p---mg-,,,,,,,,,,,,,,,,,,,,
713,μεγίστοις,μέγας,,,,a-p---nds,,,,,,,,,,,,,,,,,,,,
735,νὴ,νή,,,,r--------,,,,,,,,,,,,,,,,,,,,
737,καλῶς,καλός,,,,d--------,,,,,,,,,,,,,,,,,,,,
744,ἀναισχύντως,ἀναίσχυντος,,,,d--------,,,,,,,,,,,,,,,,,,,,
769,ἔροιτο,ἔρομαι,,,,v3saom---,,,,,,,,,,,,,,,,,,,,
770,ὁδῷ,,,ὁδός,,n-s---fd-,,,,,,,,,,,,,,,,,,,,
771,πορευομένους,πορεύω,,,,v-pppema-,,,,,,,,,,,,,,,,,,,,
777,-δ᾽,δέ,,,,c--------,d--------,,,,,,,,,,,,,,,,,,,
798,καταλιπὸν,,,καταλείπω,,v-sapann-,,,,,,,,,,,,,,,,,,,,
799,πατρῴαν,πατρῷος,,,,a-s---fa-,,,,,,,,,,,,,,,,,,,,
822,ἐπιτάγματά,ἐπίταγμα,,,,n-p---na-,,,,,,,,,,,,,,,,,,,,
826,ἡδονάς,,,ἡδονή,,n-p---fa-,,,,,,,,,,,,,,,,,,,,
830,τίνα,τις,,,,a-s---ma-,,,,,,,,,,,,,,,,,,,,
831,εὐφημότερον,εὔφημος,,,,a-s---mac,,,,,,,,,,,,,,,,,,,,
834,καταγελάστως,καταγέλαστος,,,,d--------,,,,,,,,,,,,,,,,,,,,
855,προσστῶ,προσίστημι,,,,v1sasa---,,,,,,,,,,,,,,,,,,,,
866,κατεψηφίσαντο,καταψηφίζομαι,,,,v3paim---,,,,,,,,,,,,,,,,,,,,
871,οὔ,οὐ,οὔτε,,,d--------,,,,,,,,,,,,,,,,,,,,
872,-τε,τε,,,,d--------,c--------,,,,,,,,,,,,,,,,,,,
876,μετὸν,μέτειμι,,,,v-sppana-,,,,,,,,,,,,,,,,,,,,
888,-τ᾽,τε,,,,d--------,,,,,,,,,,,,,,,,,,,,
904,τετρυπημένη,τρυπάω,,,,v-srpefn-,,,,,,,,,,,,,,,,,,,,
907,ἐψηφίσασθε,ψηφίζομαι,,,,v2paie---,,,,,,,,,,,,,,,,,,,,
908,ἀκριβῶς,ἀκριβής,,,,d--------,,,,,,,,,,,,,,,,,,,,
913,κατεψηφισάμεθα,καταψηφίζομαι,,,,v1paim---,,,,,,,,,,,,,,,,,,,,
915,ἄν,,,ἄν,,d--------,,,,ἐάν,,,,,,,,,,,,,,,,
917,διείλεχθε,,,διαλέγω,,v2prme---,,,,,,,,,,,,,,,,,,,,
919,ὑπομνήσω,,,ὑπομιμνῄσκω,,v1sfia---,,,,,,,,,,,,,,,,,,,,
929,ποι,ποι,,,,d--------,,,,,,,,,,,,,,,,,,,,
931,ἐγελᾶτε,γελάω,,,,v2piia---,,,,,,,,,,,,,,,,,,,,
932,ἐλέγετε,,,λέγω,,v2piia---,,,,,,,,,,,,,,,,,,,,
949,εἰρήκει,,,,,v3slia---,,,,λέγω,,,,,,,,,,,,,,,,
951,Πυκνί,πνύξ,,,,n-s---fd-,,,,,,,,,,,,,,,,,,,,
955,σεμνῶς,σεμνός,,,,d--------,,,,,,,,,,,,,,,,,,,,
956,ἀξίως,ἄξιος,,,,d--------,,,,,,,,,,,,,,,,,,,,
966,Πυκνὶ,πνύξ,,,,n-s---fd-,,,,,,,,,,,,,,,,,,,,
968,ἐμπειροτέρως,ἔμπειρος,,,,d-------c,,,,,,,,,,,,,,,,,,,,
980,Ἀρεοπαγῖται,,,Ἀρεοπαγίτης,,n-s---mn-,,,,,,,,,,,,,,,,,,,,
1000,αὑτοὺς,ἑαυτοῦ,,,,p-p---ma-,,,,,,,,,,,,,,,,,,,,
1005,ἐπιτιμήσων,,,ἐπιτιμάω,,v-sfpamn-,,,,,,,,,,,,,,,,,,,,
1007,αἰσχύνοιντο,αἰσχύνω,,,,v3ppoe---,,,,,,,,,,,,,,,,,,,,
1009,παρούσης,,,πάρειμι,,v-sppafg-,,,,,,,,,,,,,,,,,,,,
1023,ψευδομαρτυρίων,ψευδομαρτυρίου,,,,a-p---fg-,,,,,,,,,,,,,,,,,,,,
1026,λέγοντος,,,λέγω,,v-sppamg-,,,,,,,,,,,,,,,,,,,,
1028,λὲγοντος,λέγω,,,,v-sppamg-,,,,,,,,,,,,,,,,,,,,
1035,ἐλέγχου,,,ἔλεγχος,,n-s---mg-,,,,,,,,,,,,,,,,,,,,
1039,Δημοφίλου,Δημόφιλος,,,,n-s---mg-,,,,,,,,,,,,,,,,,,,,
1050,ἐνεχείρουν,ἐγχειρέω,,,,v3piia---,,,,,,,,,,,,,,,,,,,,
1070,προκειμένης,πρόκειμαι,,,,v-srpefg-,,,,,,,,,,,,,,,,,,,,
1081,ἐνεχείρησ᾽,ἐγχειρέω,,,,v1saia---,,,,,,,,,,,,,,,,,,,,
1086,Ἡρακλέα,Ἡρακλέης,,,,n-d---fn-,,,,,,,,,,,,,,,,,,,,
1090,ἔλαττον,,,,,a-s---nac,,,,,ἐλαχύς,,,,,,,,,,,,,,,
1103,ἐχρήσαντο,,,,,v3paim---,,,,,,,,,,,,,,,,,,,,
1110,ἐκκλήτῳ,ἔκκλητος,,,,a-s---fd-,,,,,,,,,,,,,,,,,,,,
1114,ἄριστα,,,,,a-p---na-,,,,ἀγαθός,,,,,,,,,,,,,,,,
1117,Ἀθήνησιν,Ἀθήνησιν,,,,d--------,,,,,,,,,,,,,,,,,,,,
1128,λάθρᾳ,λάθρῃ,,,,d--------,,,,,,,,,,,,,,,,,,,,
1144,δέδεικται,δείκνυμι,,,,v3srie---,,,,,,,,,,,,,,,,,,,,
1146,ὁδός,,,ὁδός,,n-s---fn-,,,,,,,,,,,,,,,,,,,,
1168,εἰκότων,ἔοικα,,,,v-prpang-,,,,,,,,,,,,,,,,,,,,
1169,χρήσασθε,,,,,v2pamm---,,,,χράω,,,,,,,,,,,,,,,,
1177,εἰπόντας,,,λέγω,,v-papama-,,,,,,,,,,,,,,,,,,,,
1180,κακῶς,κακός,,,,d--------,,,,,,,,,,,,,,,,,,,,
1181,διαλεχθέντας,διαλέγω,,,,v-pappma-,,,,,,,,,,,,,,,,,,,,
1187,τοιγάρτοι,,,τοιγάρτοι,,d--------,,,,,,,,,,,,,,,,,,,,
1194,πιστότερον,,,πιστός,,a-s---nnc,,,,,,,,,,,,,,,,,,,,
1199,παρόντος,,,,,v-sppamg-,,,,πάρειμι,,,,,,,,,,,,,,,,
1203,λεγόμενοι,,,λέγω,,v-pppemn-,,,,,,,,,,,,,,,,,,,,
1206,ἐλέγοντο,,,λέγω,,v3piie---,,,,,,,,,,,,,,,,,,,,
1207,τῇδε,ὅδε,,,,a-s---fd-,,,,,,,,,,,,,,,,,,,,
1209,ῥηθησόμενοι,,,λέγω,,v-pfpemn-,,,,,,,,,,,,,,,,,,,,
1218,γέ,γε,,,,d--------,,,,,,,,,,,,,,,,,,,,
1225,πατρῷα,πατρῷος,,,,a-p---na-,,,,,,,,,,,,,,,,,,,,
1226,κατεδηδοκέναι,κατεσθίω,,,,v--rna---,,,,,,,,,,,,,,,,,,,,
1234,πράττεσθαι,πράσσω,,,,v--pne---,,,,,,,,,,,,,,,,,,,,
1239,κατεδήδοκεν,κατεσθίω,,,,v3sria---,,,,,,,,,,,,,,,,,,,,
1241,πειράσομαι,πειράω,,,,v1sfim---,,,,,,,,,,,,,,,,,,,,
1244,ἀντήρκει,ἀνταρκέω,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
1256,κατωψοφάγητο,κατοψοφαγέω,,,,v3slie---,,,,,,,,,,,,,,,,,,,,
1273,καταφαγεῖν,κατεσθίω,,,,v--ana---,,,,,,,,,,,,,,,,,,,,
1275,κατέφαγεν,κατεσθίω,,,,v3saia---,,,,,,,,,,,,,,,,,,,,
1278,ἐστὶν,εἰμί,,,,v3spia---,,,,,,,,,,,,,,,,,,,,
1286,πλέον,πλείων,,,,a-s---na-,,,,,,,,,,,,,,,,,,,,
1290,ἠπείγετο,ἐπείγω,,,,v3siie---,,,,,,,,,,,,,,,,,,,,
1292,κατέλιπεν,,,καταλείπω,,v3saia---,,,,,,,,,,,,,,,,,,,,
1295,κἂν,,,καί,ἄν,d--------,,,,,,,,,,,,,,,,,,,,
1296,ἐλῃτούργει,λειτουργέω,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
1302,Σφηττοῖ,Σφηττοῖ,,,,d--------,,,,,,,,,,,,,,,,,,,,
1303,Ἀλωπεκῆσι,Ἀλωπεκῆσι,,,,d--------,,,,,,,,,,,,,,,,,,,,
1322,ἐπισταμένην,ἐφίστημι,,ἐπίσταμαι,,v-sppefa-,,,,,,,,,,,,,,,,,,,,
1331,ἔπιπλα,ἔπιπλα,,,,n-p---na-,,,,,,,,,,,,,,,,,,,,
1335,πρόσεστιν,,,,,v3spia---,,,,πρόσειμι,,,,,,,,,,,,,,,,
1343,ἐπρίατο,πρίαμαι,,,,v3siim---,,,,,,,,,,,,,,,,,,,,
1353,δεινῶς,δεινός,,,,d--------,,,,,,,,,,,,,,,,,,,,
1354,ἐξηγριωμένον,ἐξαγριόω,,,,v-srpema-,,,,,,,,,,,,,,,,,,,,
1379,ψεύδομαι,ψεύδω,,,,v1spie---,,,,,,,,,,,,,,,,,,,,
1399,ἑπτὰ,ἑπτὰ,,,,m--------,,,,,,,,,,,,,,,,,,,,
1402,πρώτην,,,πρῶτος,,a-s---fa-,,,,,,,,,,,,,,,,,,,,
1404,πριαμένου,πρίαμαι,,,,v-sppmmg-,,,,,,,,,,,,,,,,,,,,
1408,οὐδὲ,,,οὐδέ,,,,,,,,,,,,,,,,,,,,,,
1409,δεῖ,δέω,,,,,,,,,,,,,,,,,,,,,,,,
1410,ἐμέ,,,ἐγώ,,,,,,,,,,,,,,,,,,,,,,
1411,.,,,.,,,,,,,,,,,,,,,,,,,,,,
1412,:,,,:,,,,,,,,,,,,,,,,,,,,,,
1413,;,,,;,,,,,,,,,,,,,,,,,,,,,,
1414,τισίν,,,τις,,,,,,,,,,,,,,,,,,,,,,
1415,οὔτε,,,οὔτε,,,,,,,,,,,,,,,,,,,,,,
1416,εἴτ᾽,,,εἴτε,,,,,,,,,,,,,,,,,,,,,,
1417,εἴτε,,,εἴτε,,,,,,,,,,,,,,,,,,,,,,
1418,μήτε,,,μήτε,,,,,,,,,,,,,,,,,,,,,,
1419,ἐστίν,,,εἰμί,,,,,,,,,,,,,,,,,,,,,,
1420,ἐλειτούργει,,,λειτουργέω,,,,,,,,,,,,,,,,,,,,,,
