,@form,gorman_lemma_1,gorman_lemma_2,gpt_lemma_1,gpt_lemma_2,postag_1,postag_2,postag_3,postag_4,postag_5,lemma_pedalion_1,lemma_pedalion_2,lemma_pedalion_3,lemma_pedalion_4,lemma_pedalion_5,lemma_pedalion_6,lemma_pedalion_7,lemma_pedalion_8,lemma_pedalion_9,lemma_pedalion_10,lemma_pedalion_11,lemma_pedalion_12,lemma_pedalion_13,lemma_pedalion_14,lemma_pedalion_15,lemma_pedalion_16,lemma_pedalion_17
200,ἀντέσπευδε,ἀντισπεύδω,,,,v3siia---,,,,,,,,,,,,,,,,,,,,,
201,ἀπήλλακτο,,,ἀπαλλάσσω,,v3slie---,,,,,,,,,,,,,,,,,,,,,
205,ἔλεγχον,,,ἔλεγχος,,n-s---ma-,,,,,,,,,,,,,,,,,,,,,
208,πῶς,,,πῶς,,d--------,,,,,,,,,,,,,,,,,,,,,
219,τί,τις,,,,p-s---na-,,,,,,,,,,,,,,,,,,,,,
226,σωθῆναι,,,σῴζω,,v--anp---,,,,,,,,,,,,,,,,,,,,,
236,ἀντομωμοκὼς,ἀντόμνυμι,,,,v-srpamn-,,,,,,,,,,,,,,,,,,,,,
238,φάσκων,φάσκω,,,,v-sppamn-,,,,,,,,,,,,,,,,,,,,,
245,χρήσασθαι,χράω,,,,v--anm---,,,,,,,,,,,,,,,,,,,,,
251,συνῄδει,σύνοιδα,,,,v3slia---,,,,,,,,,,,,,,,,,,,,,
260,πλὴν,πλήν,,,,d--------,,,,,,,,,,,,,,,,,,,,,
263,φάσκουσαν,φάσκω,,,,v-sppafa-,,,,,,,,,,,,,,,,,,,,,
265,ἀλλʼ,ἀλλά,,,,c--------,d--------,,,,,,,,,,,,,,,,,,,,
278,παρόντος,πάρειμι,,,,v-sppamg-,,,,,,,,,,,,,,,,,,,,,
282,λέγοιεν,,,λέγω,,v3ppoa---,,,,,,,,,,,,,,,,,,,,,
284,χρῆσθαι,χράω,,,,v--pne---,,,,,,,,,,,,,,,,,,,,,
287,ὀρθῶς,ὀρθός,,,,d--------,,,,,,,,,,,,,,,,,,,,,
288,δικαίως,δίκαιος,,,,d--------,,,,,,,,,,,,,,,,,,,,,
301,λέγειν,,,λέγω,,v--pna---,,,,,,,,,,,,,,,,,,,,,
307,ἐπειδὴ,,,ἐπειδή,,c--------,,,,,,,,,,,,,,,,,,,,,
308,τάχιστα,,,,,a-p---nas,,,,,ταχύς,,,,,,,,,,,,,,,,
311,ἐπεξίοιμι,ἐπέξειμι,,,,v1spoa---,,,,,,,,,,,,,,,,,,,,,
324,θέλων,,,θέλω,,v-sppamn-,,,,,,,,,,,,,,,,,,,,,
328,ἀντʼ,,,,,r--------,,,,,ἀντί,,,,,,,,,,,,,,,,
338,θέλοντος,,,θέλω,,v-sppamg-,,,,,,,,,,,,,,,,,,,,,
346,καταψηφίσησθε,καταψηφίζομαι,,,,v2pasm---,,,,,,,,,,,,,,,,,,,,,
347,σφίσιν,σφεῖς,,,,p3p---md-,,,,,,,,,,,,,,,,,,,,,
357,οἰκεῖον,,,οἰκεῖος,,a-s---ma-,,,,,,,,,,,,,,,,,,,,,
358,σφίσι,σφεῖς,,,,p3p---md-,,,,,,,,,,,,,,,,,,,,,
366,ἔγωγʼ,ἔγω,,,,p1s---mn-,,,,,,,,,,,,,,,,,,,,,
372,πειράσομαι,πειράω,,,,v1sfim---,,,,,,,,,,,,,,,,,,,,,
383,ὁπότʼ,ὁπότε,,,,c--------,,,,,,,,,,,,,,,,,,,,,
388,κἀγαθὸς,,,καὶ ἀγαθός,,a-s---mn-,,,,,,,,,,,,,,,,,,,,,
406,ἔλεξεν,,,λέγω,,v3saia---,,,,,,,,,,,,,,,,,,,,,
410,πείθεσθαι,πείθω,,,,v--pne---,,,,,,,,,,,,,,,,,,,,,
428,οἱ,ἕ,ὁ,,,p3s---fd-,l-p---mn-,,,,,,,,,,,,,,,,,,,,
429,ἣ,ὁ,,ὅς,,l-s---fn-,,,,,,,,,,,,,,,,,,,,,
437,ἱερὰ,ἱερόν,,ἱερός,,n-p---na-,,,,,,ἱερός,,,,,,,,,,,,,,,
444,κάλλιστον,καλός,,,,a-s---nns,,,,,,,,,,,,,,,,,,,,,
447,ὁδοῦ,,,ὁδός,,n-s---fg-,,,,,,,,,,,,,,,,,,,,,
451,θύσαντα,,,θύω,,v-sapama-,,,,,,,,,,,,,,,,,,,,,
460,εἰκός,,ἔοικα,,,v-srpann-,,,,,,,,,,,,,,,,,,,,,
461,ἔθυεν,,,θύω,,v3siia---,,,,,,,,,,,,,,,,,,,,,
462,ἐτέθυτο,,,θύω,,v3slie---,,,,,,,,,,,,,,,,,,,,,
463,ἱερά,ἱερόν,,ἱερός,,n-p---nn-,,,,,,,,,,,,,,,,,,,,,
470,πρὸ,πρό,,,,r--------,,,,,,,,,,,,,,,,,,,,,
475,βέλτιον,,,,,a-s---nnc,,,,,,ἀγαθός,,,,,,,,,,,,,,,
480,ὑποθήκαις,ὑποθήκη,,,,n-p---fd-,,,,,,,,,,,,,,,,,,,,,
493,θύων,,,θύω,,v-sppamn-,,,,,,,,,,,,,,,,,,,,,
499,παρʼ,παρά,,,,r--------,,,,,,,,,,,,,,,,,,,,,
509,ἐγχέουσα,,,ἐγχέω,,v-sppafn-,,,,,,,,,,,,,,,,,,,,,
512,ἐνέχει,,,ἐνέχω,,v3siia---,,,,,,,,,,,,,,,,,,,,,
516,πλέον,,,,,a-s---nac,a-s---nac,,,,πολύς,,,,,,,,,,,,,,,,
519,μᾶλλον,,,μάλα,,d-------c,,,,,,,,,,,,,,,,,,,,,
534,πόσιν,,,πόσις,,n-s---fa-,,,,,,,,,,,,,,,,,,,,,
535,εὐθέως,,,εὐθέως,,d--------,,,,,,,,,,,,,,,,,,,,,
537,ἀποθνῄσκει,,,ἀποθνῄσκω,,v3spia---,,,,,,,,,,,,,,,,,,,,,
540,ἐμπίπτει,,,ἐμπίπτω,,v3spia---,,,,,,,,,,,,,,,,,,,,,
543,εἰκοσταῖος,εἰκοσταῖος,,,,a-s---mn-,,,,,,,,,,,,,,,,,,,,,
544,ἀνθʼ,ἀντί,,,,r--------,,,,,,,,,,,,,,,,,,,,,
547,ἐπίχειρα,,,ἐπίχειρον,,n-p---na-,,,,,,,,,,,,,,,,,,,,,
548,ἀξία,ἄξιος,,,,a-s---fn-,,,,,,,,,,,,,,,,,,,,,
550,αἰτία,αἴτιος,,αἰτία,,a-s---fn-,,,,,,,,,,,,,,,,,,,,,
553,δημοκοίνῳ,δημόκοινος,,,,a-s---md-,,,,,,,,,,,,,,,,,,,,,
559,θέλωσιν,,,θέλω,,v3ppsa---,,,,,,,,,,,,,,,,,,,,,
563,δεήσομαι,,,,,v1sfim---,,,,,δέω,,,,,,,,,,,,,,,,
565,δεήσεται,,,,,v3sfim---,,,,,δέω,,,,,,,,,,,,,,,,
569,ἀΐδιον,ἀίδιος,,,,a-s---ma-,,,,,,,,,,,,,,,,,,,,,
579,ἀθέως,ἄθεος,,,,d--------,,,,,,,,,,,,,,,,,,,,,
581,εἱμαρμένης,μείρομαι,,εἱμαρμένη,,v-srpefg-,,,,,,,,,,,,,,,,,,,,,
582,ὑφʼ,ὑπό,,,,r--------,,,,,,,,,,,,,,,,,,,,,
585,ἀθέμιτα,ἀθέμιστος,,,,a-p---na-,,,,,ἄθεμις,,,,,,,,,,,,,,,,
597,ἀποθνῃσκόντων,,,ἀποθνῄσκω,,v-pppamg-,,,,,,,,,,,,,,,,,,,,,
598,ἀποθνῄσκειν,,,ἀποθνῄσκω,,v--pna---,,,,,,,,,,,,,,,,,,,,,
604,ἀβούλως,ἄβουλος,,,,d--------,,,,,,,,,,,,,,,,,,,,,
620,λέγων,,,λέγω,,v-sppamn-,,,,,,,,,,,,,,,,,,,,,
626,λέγω,,,λέγω,,v1spia---,,,,,,,,,,,,,,,,,,,,,
628,παριδοῦσα,παροράω,,,,v-sapafn-,,,,,,,,,,,,,,,,,,,,,
636,τεθνεῶτα,θνῄσκω,,,,v-srpama-,,,,,,,,,,,,,,,,,,,,,
644,ἀνελεημόνως,ἀνελεήμων,,,,d--------,,,,,,,,,,,,,,,,,,,,,
645,ἀνοικτίστως,ἀνοίκτιστος,,,,d--------,,,,,,,,,,,,,,,,,,,,,
653,βιαίως,βίαιος,,,,d--------,,,,,,,,,,,,,,,,,,,,,
654,ἀπέθανε,,,ἀποθνῄσκω,,v3saia---,,,,,,,,,,,,,,,,,,,,,
655,ἀπέθανεν,,,ἀποθνῄσκω,,v3saia---,,,,,,,,,,,,,,,,,,,,,
658,τῆσδε,ὅδε,,,,a-s---fg-,,,,,,,,,,,,,,,,,,,,,
666,ἐλεεῖν,,,ἐλεέω,,v--pna---,,,,,,,,,,,,,,,,,,,,,
667,αἰδοῦς,,αἰδώς,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,,
673,ἐλεῆσαι,,,ἐλεέω,,v--ana---,,,,,,,,,,,,,,,,,,,,,
685,οὔ,οὐ,,,,d--------,,,,,,,,,,,,,,,,,,,,,
686,-τε,τε,,,,d--------,,,,,,,,,,,,,,,,,,,,,
688,-θʼ,τε,,,,d--------,,,,,,,,,,,,,,,,,,,,,
690,-τʼ,τε,,,,c--------,d--------,,,,,,,,,,,,,,,,,,,,
692,αἰσχυνθεῖσα,αἰσχύνω,,,,v-sappfn-,,,,,,,,,,,,,,,,,,,,,
693,-δὲ,δέ,,,,c--------,,,,,,,,,,,,,,,,,,,,,
694,δείσασʼ,δείδω,,,,v-sapafn-,,,,,,,,,,,,,,,,,,,,,
701,τόλμης,τόλμα,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,,
703,διομόσασθαι,διόμνυμι,,,,v--anm---,,,,,,,,,,,,,,,,,,,,,
705,ἄν,,,ἄν,,d--------,,,,,ἐάν,,,,,,,,,,,,,,,,
710,ἐναντίον,,,ἐναντίος,,d--------,,,,,,,,,,,,,,,,,,,,,
714,μηχανῶνταί,μηχανάομαι,,,,v3ppie---,,,,,,,,,,,,,,,,,,,,,
716,μάλιστα,,,μάλα,,d-------s,,,,,,,,,,,,,,,,,,,,,
718,λαθραιότατα,λαθραῖος,,,,a-p---nas,,,,,,,,,,,,,,,,,,,,,
731,ἀποθανεῖν,,,ἀποθνῄσκω,,v--ana---,,,,,,,,,,,,,,,,,,,,,
734,σφετέρους,σφέτερος,,,,a-p---ma-,,,,,,,,,,,,,,,,,,,,,
737,λέγουσιν,,,λέγω,,v3ppia---,,,,,,,,,,,,,,,,,,,,,
741,κἀμοὶ,,,καί,ἐγώ,p1s---md-,,,,,,,,,,,,,,,,,,,,,
773,.,,,.,,,,,,,,,,,,,,,,,,,,,,,
774,δ᾽,,,δέ,,,,,,,,,,,,,,,,,,,,,,,
775,·,,,·,,,,,,,,,,,,,,,,,,,,,,,
776,ἐπ᾽,,,ἐπί,,,,,,,,,,,,,,,,,,,,,,,
777,;,,,;,,,,,,,,,,,,,,,,,,,,,,,
778,γ᾽,,,γε,,,,,,,,,,,,,,,,,,,,,,,
779,τοῦτ᾽,,,οὗτος,,,,,,,,,,,,,,,,,,,,,,,
780,τ᾽,,,τε,,,,,,,,,,,,,,,,,,,,,,,
781,[,,,,[,,,,,,,,,,,,,,,,,,,,,,
782,],,,],,,,,,,,,,,,,,,,,,,,,,,
783,ἀλλ᾽,,,ἀλλά,,,,,,,,,,,,,,,,,,,,,,,
784,ἀντ᾽,,,ἀντί,,,,,,,,,,,,,,,,,,,,,,,
785,ἔγωγ᾽,,,ἐγώ,,,,,,,,,,,,,,,,,,,,,,,
786,ὁπότ᾽,,,ὁπότε,,,,,,,,,,,,,,,,,,,,,,,
787,παρ᾽,,,παρά,,,,,,,,,,,,,,,,,,,,,,,
788,ἀνθ᾽,,,ἀντί,,,,,,,,,,,,,,,,,,,,,,,
789,ὑφ᾽,,,ὑπό,,,,,,,,,,,,,,,,,,,,,,,
790,οὔ-τε,,,οὔτε,,,,,,,,,,,,,,,,,,,,,,,
791,οὔ-θ᾽,,,οὔτε,,,,,,,,,,,,,,,,,,,,,,,
792,οὔ-τ᾽,,,οὔτε,,,,,,,,,,,,,,,,,,,,,,,
793,οὐ-δὲ,,,οὐδέ,,,,,,,,,,,,,,,,,,,,,,,
794,δείσασ᾽,,,δείδω,,,,,,,,,,,,,,,,,,,,,,,
795,μή-τ᾽,,,μήτε,,,,,,,,,,,,,,,,,,,,,,,
796,μηχανῶνται,,,μηχανάομαι,,,,,,,,,,,,,,,,,,,,,,,
