,@form,gorman_lemma_1,gorman_lemma_2,gpt_lemma_1,gpt_lemma_2,postag_1,postag_2,postag_3,postag_4,lemma_pedalion_1,lemma_pedalion_2,lemma_pedalion_3,lemma_pedalion_4,lemma_pedalion_5,lemma_pedalion_6,lemma_pedalion_7,lemma_pedalion_8,lemma_pedalion_9,lemma_pedalion_10,lemma_pedalion_11,lemma_pedalion_12,lemma_pedalion_13,lemma_pedalion_14,lemma_pedalion_15,lemma_pedalion_16,lemma_pedalion_17
325,ἀπιέναι,ἄπειμι,,,,v--pna---,,,,,,,,,,,,,,,,,,,,
330,ἀνοίγειν,,,ἀνοίγω,,v--pna---,,,,,,,,,,,,,,,,,,,,
333,ἂν,,ἐάν,ἄν,,d--------,c--------,,,,,,,,,,,,,,,,,,,
335,ἀνίσχῃ,ἀνίσχω,,,,v3spsa---,,,,,,,,,,,,,,,,,,,,
336,κλῄειν,,,κλείω,,v--pna---,,,,,,,,,,,,,,,,,,,,
340,δεδυκότος,,,δύω,,v-srpamg-,,,,,,,,,,,,,,,,,,,,
360,Ἑρμαίων,Ἑρμαίων,,,,n-p---ng-,,,,,,,,,,,,,,,,,,,,
366,κυκλίων,κύκλιος,,,,a-p---mg-,,,,,,,,,,,,,,,,,,,,
374,τετταράκοντα,,,τεσσαράκοντα,,m--------,,,,,,,,,,,,,,,,,,,,
377,πράττειν,πράσσω,,,,v--pna---,,,,,,,,,,,,,,,,,,,,
380,σωφρονεστάτῃ,σώφρων,,,,a-s---fds,,,,,,,,,,,,,,,,,,,,
390,ἡγήσατο,,ἡγέομαι,,,v3saie---,v3saim---,,,,,,,,,,,,,,,,,,,
398,εὐθὺς,,,εὐθύς,,d--------,,,,,,,,,,,,,,,,,,,,
402,κακῶς,κακός,,,,d--------,,,,,,,,,,,,,,,,,,,,
408,λέγε,,,λέγω,,v2spma---,,,,,,,,,,,,,,,,,,,,
411,ἀνοιγέτωσαν,,,ἀνοίγω,,v3ppma---,,,,,,,,,,,,,,,,,,,,
412,ἀνιόντος,ἄνειμι,,,,v-sppamg-,,,,,,,,,,,,,,,,,,,,
413,κλειέτωσαν,,,κλείω,,v3ppma---,,,,,,,,,,,,,,,,,,,,
414,δύνοντος,,,δύω,,v-sppamg-,,,,,,,,,,,,,,,,,,,,
415,ἐξέστω,ἔξεστι,,,,v3spma---,,,,,,,,,,,,,,,,,,,,
428,εἰσίῃ,εἴσειμι,,,,v3spsa---,,,,,,,,,,,,,,,,,,,,
431,γυμνασιάρχαι,γυμνασιάρχης,,,,n-p---mn-,,,,,,,,,,,,,,,,,,,,
432,Ἑρμαίοις,,,Ἑρμαῖος,,n-p---nd-,,,,,,,,,,,,,,,,,,,,
439,ἐξείργῃ,ἐξέργω,,,,v3spsa---,,,,,,,,,,,,,,,,,,,,
443,γυμνασιάρχης,γυμνασιάρχης,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,,
466,λέγει,,,λέγω,,v3spia---,,,,,,,,,,,,,,,,,,,,
473,θεῖος,,,θεῖος,,n-s---mn-,,,,,,,,,,,,,,,,,,,,
475,ὅλως,ὅλος,,,,d--------,,,,,,,,,,,,,,,,,,,,
488,ἐπιτίμια,ἐπιτίμιον,,,,n-p---na-,,,,,,,,,,,,,,,,,,,,
491,ἐπάναγκες,ἐπανάγκης,,,,a-s---nn-,a-s---na-,,,,,,,,,,,,,,,,,,,
496,μη,μη,μηδέ,μή,,d--------,,,,,,,,,,,,,,,,,,,,
497,-δὲ,δέ,,,,c--------,d--------,,,,,,,,,,,,,,,,,,,
502,ἀποθανόντα,,,ἀποθνῄσκω,,v-sapama-,,,,,,,,,,,,,,,,,,,,
504,τ-,ὁ,,,,l-s---na-,l-s---nn-,l-s---nd-,,,,,,,,,,,,,,,,,,
505,ἆλλα,ἄλλος,,,,p-p---na-,,,,,,,,,,,,,,,,,,,,
523,θεῖον,,,θεῖος,,a-s---nn-,,,,,,,,,,,,,,,,,,,,
526,τίνα,τις,,,,a-s---ma-,,,,,,,,,,,,,,,,,,,,
532,μέγιστα,μέγας,,,,a-p---nas,,,,,,,,,,,,,,,,,,,,
540,κεφαλαίῳ,κεφάλαιος,,,,a-s---nd-,,,,,,,,,,,,,,,,,,,,
560,ὅ,ὅς,ὁ,,,p-s---na-,l-s---mn-,,,,,,,,,,,,,,,,,,,
562,ἀποτεῖσαι,ἀποτίνω,,,,v--ana---,,,,,,,,,,,,,,,,,,,,
563,Ἀθηναίων,,,Ἀθηναῖος,,n-p---mg-,,,,,,,,,,,,,,,,,,,,
569,οὗ,ὅς,,,,p-s---mg-,p-s---ng-,,,,,,,,,,,,,,,,,,,
574,τεθνάτω,,,θνῄσκω,,v3srma---,,,,,,,,,,,,,,,,,,,,
575,αὐθημερόν,αὐθήμερος,,,,d--------,,,,,,,,,,,,,,,,,,,,
585,εἱρχθήτω,ἔργω,,,,v3samp---,,,,,,,,,,,,,,,,,,,,
596,τί,τις,,,,p-s---na-,,,,,,,,,,,,,,,,,,,,
597,ποτ᾽,ποτέ,,,,d--------,,,,,,,,,,,,,,,,,,,,
600,σκοπῆτε,,,σκοπέω,,v2ppsa---,,,,,,,,,,,,,,,,,,,,
610,-δ᾽,δέ,,,,d--------,c--------,,,,,,,,,,,,,,,,,,,
614,ὁντινοῦν,ὅστις,,,,p-s---ma-,,,,,,,,,,,,,,,,,,,,
618,συμπολιτεύεσθαι,συμπολιτεύω,,,,v--pne---,,,,,,,,,,,,,,,,,,,,
619,κ-,καί,,,,d--------,c--------,,,,,,,,,,,,,,,,,,,
620,ἀκεῖνο,ἐκεῖνος,,,,a-s---na-,,,,,,,,,,,,,,,,,,,,
622,ἐνταῦθ᾽,ἐνταῦθα,,,,d--------,,,,,,,,,,,,,,,,,,,,
624,διαλέγεται,διαλέγω,,,,v3spie---,,,,,,,,,,,,,,,,,,,,
632,ληξιαρχικὸν,ληξιαρχικός,,,,a-s---na-,,,,,,,,,,,,,,,,,,,,
633,γραμματεῖον,γραμματεῖον,,,,n-s---na-,,,,,,,,,,,,,,,,,,,,
641,πῶς,πως,,πῶς,,d--------,,,,,,,,,,,,,,,,,,,,
658,κληρωτὴν,κληρωτής,κληρωτός,,,n-s---ma-,a-s---fa-,,,,,,,,,,,,,,,,,,,
659,χειροτονητήν,χειροτονητής,χειροτονητός,,,n-s---ma-,a-s---fa-,,,,,,,,,,,,,,,,,,,
667,εἰπάτω,,,λέγω,,v3sama---,,,,,,,,,,,,,,,,,,,,
673,ἑταιρήσεως,ἑταίρησις,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,
689,λεγέτω,,,λέγω,,v3spma---,,,,,,,,,,,,,,,,,,,,
692,εἰσίτω,εἴσειμι,,,,v3spma---,,,,,,,,,,,,,,,,,,,,
699,πορευέσθω,πορεύω,,,,v3spme---,,,,,,,,,,,,,,,,,,,,
725,καθάρσιον,καθάρσιος,,,,a-s---nn-,,,,,,,,,,,,,,,,,,,,
731,προχειροτονεῖν,προχειροτονέω,,,,v--pna---,,,,,,,,,,,,,,,,,,,,
735,πρεσβείαις,,,πρεσβεία,,n-p---fd-,,,,,,,,,,,,,,,,,,,,
738,τίς,τις,,,,p-s---mn-,,,,,,,,,,,,,,,,,,,,
745,εἴπωσι,,,λέγω,,v3pasa---,,,,,,,,,,,,,,,,,,,,
750,πρεσβύτεροι,,,πρεσβύτερος,,a-p---mnc,,,,,,,,,,,,,,,,,,,,
760,ἐπειδὴ,,,ἐπειδή,,c--------,,,,,,,,,,,,,,,,,,,,
765,προσειπεῖν,προσλέγω,,,,v--ana---,,,,,,,,,,,,,,,,,,,,
772,νεωτέρους,νέος,,,,a-p---mac,,,,,,,,,,,,,,,,,,,,
774,αἰσχύνεσθαι,αἰσχύνω,,,,v--pne---,,,,,,,,,,,,,,,,,,,,
775,πρεσβυτέρους,,,πρεσβύτερος,,a-p---mac,,,,,,,,,,,,,,,,,,,,
789,Περικλῆς,Περικλέης,,,,n-s---mv-,,,,,,,,,,,,,,,,,,,,
797,πράττομεν,πράσσω,,,,v1ppia---,,,,,,,,,,,,,,,,,,,,
825,διελέγετο,διαλέγω,,,,v3siie---,,,,,,,,,,,,,,,,,,,,
829,ᾐσχύνοντο,αἰσχύνω,,,,v3piie---,,,,,,,,,,,,,,,,,,,,
830,οὑτοσὶ,οὗτος,,,,p-s---mn-,a-s---mn-,,,,,,,,,,,,,,,,,,,
833,ποτὲ,ποτέ,,,,d--------,,,,,,,,,,,,,,,,,,,,
835,θ-,ὁ,,,,l-s---na-,,,,,,,,,,,,,,,,,,,,
836,οἰμάτιον,ἰμάτιον,,,,n-s---na-,,,,,,,,,,,,,,,,,,,,
838,ἐπαγκρατίαζεν,παγκρατιάζω,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
845,αἰσχυνθέντας,αἰσχύνω,,,,v-pappma-,,,,,,,,,,,,,,,,,,,,
849,συνιδὼν,,,,,v-sapamn-,,,,συνοράω,,,,,,,,,,,,,,,,
856,ἐστρατηγηκότων,στρατηγέω,,,,v-prpamg-,,,,,,,,,,,,,,,,,,,,
857,-δέ,δέ,,,,c--------,,,,,,,,,,,,,,,,,,,,
860,ἐπικουρῶν,,,ἐπικουρέω,,v-sppamn-,,,,,,,,,,,,,,,,,,,,
865,τίνας,τις,,,,p-p---ma-,,,,,,,,,,,,,,,,,,,,
868,ποῦ,,,ποῦ,,d--------,,,,,,,,,,,,,,,,,,,,
871,λέγῃ,,,λέγω,,v3spsa---,,,,,,,,,,,,,,,,,,,,
875,παρέχων,,,παρέχω,,v3piia---,,,,,,,,,,,,,,,,,,,,
876,νὴ,νή,,,,r--------,,,,,,,,,,,,,,,,,,,,
884,ποτε,ποτέ,,,,d--------,,,,,,,,,,,,,,,,,,,,
886,πείσονται,πάσχω,,πείθω,,v3pfim---,,,,,,,,,,,,,,,,,,,,
889,τίσι,τις,,,,p-p---md-,,,,,,,,,,,,,,,,,,,,
898,λέγων,,,λέγω,,v-sppamn-,,,,,,,,,,,,,,,,,,,,
907,μηδὲ,μηδέ,,,,d--------,,,,,,,,,,,,,,,,,,,,
934,δημοσίᾳ,,,δημόσιος,,d--------,,,,,,,,,,,,,,,,,,,,
945,ῥηθῇ,,,λέγω,,v3sasp---,,,,,,,,,,,,,,,,,,,,
947,λεγόμενα,,,λέγω,,v-pppena-,,,,,,,,,,,,,,,,,,,,
950,καταγελάστως,καταγέλαστος,,,,d--------,,,,,,,,,,,,,,,,,,,,
951,κεχρημένου,χράω,,,,v-srpemg-,,,,,,,,,,,,,,,,,,,,
952,πατρῴαν,πατρῷος,,,,a-s---fa-,,,,,,,,,,,,,,,,,,,,
954,λεχθῇ,,,λέγω,,v3sasp---,,,,,,,,,,,,,,,,,,,,
955,συνοίσειν,συμφέρω,,,,v--fna---,,,,,,,,,,,,,,,,,,,,
956,ἐξείργει,ἐξέργω,,,,v3spia---,,,,,,,,,,,,,,,,,,,,
958,ἀσελγαίνῃ,ἀσελγαίνω,,,,v3spsa---,,,,,,,,,,,,,,,,,,,,
971,ἐπαγκρατίασεν,παγκρατιάζω,,,,v3saia---,,,,,,,,,,,,,,,,,,,,
997,αἰσχύνονται,αἰσχύνω,,,,v3ppie---,,,,,,,,,,,,,,,,,,,,
1035,δραχμῶν,δραχμή,,,,n-p---fg-,n-p---mg-,,,,,,,,,,,,,,,,,,,
1039,πλέονος,πλείων,,,,a-s---fgc,,,,,,,,,,,,,,,,,,,,
1045,πρώτην,,,πρῶτος,,a-s---fa-,,,,,,,,,,,,,,,,,,,,
1046,ἐξίωσιν,ἔξειμι,,,,v3ppsa---,,,,,,,,,,,,,,,,,,,,
1051,ψηφιζομένων,,,ψηφίζω,,v-pppemg-,,,,,,,,,,,,,,,,,,,,
1063,ἀφιῆτε,,,ἀφίημι,,v2pfia---,,,,,,,,,,,,,,,,,,,,
1065,εἴρηκα,,,λέγω,,v1sria---,,,,,,,,,,,,,,,,,,,,
1076,εἰπεῖν,,,λέγω,,v--ana---,,,,,,,,,,,,,,,,,,,,
1079,δικαίως,δίκαιος,,,,d--------,,,,,,,,,,,,,,,,,,,,
1082,σαφῶς,σαφής,,,,d--------,,,,,,,,,,,,,,,,,,,,
1083,εἴποιμι,,,λέγω,,v1saoa---,,,,,,,,,,,,,,,,,,,,
1089,διεξιόντα,διέξειμι,,,,v-sppama-,,,,,,,,,,,,,,,,,,,,
1110,ἐπιστάμενος,ἐφίστημι,,ἐπίσταμαι,,v-sppemn-,,,,,,,,,,,,,,,,,,,,
1117,ἀπηλλάγη,,,ἀπαλλάσσω,,v3saip---,,,,,,,,,,,,,,,,,,,,
1118,ἐκάθητο,,,κάθημαι,,v3siim---,,,,,,,,,,,,,,,,,,,,
1127,αὑτὸν,ἑαυτοῦ,,,,p-s---ma-,,,,,,,,,,,,,,,,,,,,
1133,ξένων,,,ξένος,,n-p---mg-,,,,,,,,,,,,,,,,,,,,
1134,ἐχρήσαντο,,,,,v3paim---,,,,χράω,,,,,,,,,,,,,,,,
1152,οὐδαμῇ,οὐδαμός,,,,d--------,,,,,,,,,,,,,,,,,,,,
1155,δαιμονίως,δαιμόνιος,,,,d--------,,,,,,,,,,,,,,,,,,,,
1158,εἰωθὼς,ἔθω,,,,v-srpamn-,,,,,,,,,,,,,,,,,,,,
1162,λέγω,,,λέγω,,v1spia---,,,,,,,,,,,,,,,,,,,,
1182,οὑτοσί,οὗτος,,,,a-s---mn-,,,,,,,,,,,,,,,,,,,,
1187,κατέλιπεν,,,καταλείπω,,v3saia---,,,,,,,,,,,,,,,,,,,,
1192,ἡδοναῖς,,,ἡδονή,,n-p---fd-,,,,,,,,,,,,,,,,,,,,
1203,ᾐσχύνθη,αἰσχύνω,,,,v3saip---,,,,,,,,,,,,,,,,,,,,
1206,διαιτώμενος,διαιτάω,,,,v-sppemn-,,,,,,,,,,,,,,,,,,,,
1213,πρεσβυτέρῳ,,,πρεσβύτερος,,a-s---md-,,,,,,,,,,,,,,,,,,,,
1224,ἐπόμπευον,πομπεύω,,,,v3piia---,,,,,,,,,,,,,,,,,,,,
1227,Καλλίου,,,Καλλίας,,n-s---mg-,,,,,,,,,,,,,,,,,,,,
1235,ἐπανῆκε,ἐπανήκω,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
1238,Φαίδρου,,,Φαῖδρος,,n-s---mg-,,,,,,,,,,,,,,,,,,,,
1246,ξένοις,,,ξένος,,n-p---md-,,,,,,,,,,,,,,,,,,,,
1251,φοβηθέντες,φοβέω,,,,v-pappmn-,,,,,,,,,,,,,,,,,,,,
1252,ξένοι,,,ξένος,,n-p---mn-,,,,,,,,,,,,,,,,,,,,
1254,καταλιπόντες,,,καταλείπω,,v-papamn-,,,,,,,,,,,,,,,,,,,,
1256,ταῦθ᾽,οὗτος,,,,p-p---na-,,,,,,,,,,,,,,,,,,,,
1262,ᾗ,ὅς,,,,p-s---fd-,,,,,,,,,,,,,,,,,,,,
1283,ἀναμνῆσαι,,,ἀναμιμνῄσκω,,v--ana---,,,,,,,,,,,,,,,,,,,,
1303,ἀκίνδυνά,ἀκίνδυνος,,,,a-p---nn-,,,,,,,,,,,,,,,,,,,,
1311,προαιρῆται,προαιρέω,,,,v3spse---,,,,,,,,,,,,,,,,,,,,
1314,συνίδετε,συνοράω,,,,v2paia---,,,,,,,,,,,,,,,,,,,,
1316,αἰσχυνεῖται,αἰσχύνω,,,,v3sfim---,,,,,,,,,,,,,,,,,,,,
1317,προαιρήσεται,προαιρέω,,,,v3sfim---,,,,,,,,,,,,,,,,,,,,
1326,ἐξείργων,ἐξέργω,,,,v-sppamn-,,,,,,,,,,,,,,,,,,,,
1340,πλέον,πλείων,,,,a-s---nnc,,,,,,,,,,,,,,,,,,,,
1344,καταλιπόντα,,,καταλείπω,,v-sapama-,,,,,,,,,,,,,,,,,,,,
1361,ἐκεῖνό,ἐκεῖνος,,,,p-s---na-,,,,,,,,,,,,,,,,,,,,
1372,μηδ᾽,μηδέ,,,,d--------,,,,,,,,,,,,,,,,,,,,
1377,προειπεῖν,,,προλέγω,,v--ana---,,,,,,,,,,,,,,,,,,,,
1382,ἔνιοι,ἔνιοι,,,,a-p---mn-,,,,,,,,,,,,,,,,,,,,
1385,προφερεῖς,προφερής,,,,a-p---mn-,,,,,,,,,,,,,,,,,,,,
1400,τετταρακοστὸν,τεσσαρακοστός,,,,a-s---nn-,,,,,,,,,,,,,,,,,,,,
1403,πολιὰς,πολιά,,,,n-p---fa-,,,,,,,,,,,,,,,,,,,,
1407,προλέγω,,,προλέγω,,v1spia---,,,,,,,,,,,,,,,,,,,,
1408,ἰδόντες,,,ὁράω,,v-papamn-,,,,,,,,,,,,,,,,,,,,
1413,Ἡράκλεις,Ἡρακλέης,,,,n-s---mv-,,,,,,,,,,,,,,,,,,,,
1426,συνειδότας,σύνοιδα,,,,v-prpama-,,,,,,,,,,,,,,,,,,,,
1427,αἰσχυνόμενος,αἰσχύνω,,,,v-sppemn-,,,,,,,,,,,,,,,,,,,,
1434,καθεζόμενος,,,καθέζομαι,,v-sppemn-,,,,,,,,,,,,,,,,,,,,
1437,πολυωρῶν,πολυωρέω,,,,v-sppamn-,,,,,,,,,,,,,,,,,,,,
1439,οὔτε,,,οὔτε,,,,,,,,,,,,,,,,,,,,,,
1440,τἆλλα,,,,,,,,,ἄλλος,,,,,,,,,,,,,,,,
1441,ποτέ,,,ποτέ,,,,,,,,,,,,,,,,,,,,,,
1442,ἐκεῖνο,,,ἐκεῖνος,,,,,,,,,,,,,,,,,,,,,,
1443,οὐδὲ,,,οὐδέ,,,,,,,,,,,,,,,,,,,,,,
1444,μήτ᾽,,,μήτε,,,,,,,,,,,,,,,,,,,,,,
1445,μήτε,,,μήτε,,,,,,μήτε,,,,,,,,,,,,,,,,
1446,.,,,,,,,,,.,,,,,,,,,,,,,,,,
1447,;,,,,,,,,,;,,,,,,,,,,,,,,,,
1448,:,,,,,,,,,,,,,,,,,,,,,,,,,
1449,ἱμάτιον,,,ἱμάτιον,,,,,,,,,,,,,,,,,,,,,,
1450,οὐδέ,,,οὐδέ,,,,,,,,,,,,,,,,,,,,,,
1451,οὐδ᾽,,,οὐδέ,,,,,,,,,,,,,,,,,,,,,,
1452,κἂν,,,καί ἄν,,,,,,,,,,,,,,,,,,,,,,
1453,μη -δὲ,,,μήδε,,,,,,,,,,,,,,,,,,,,,,
1454,οὔ -τε,,,οὔτε,,,,,,,,,,,,,,,,,,,,,,
1455,οὔ -θ᾽,,,οὔτε,,,,,,,,,,,,,,,,,,,,,,
1456,τἀληθῆ,,,τὰ ἀληθῆ,,,,,,ἀληθής,,,,,,,,,,,,,,,,
1457,ἀκίνδυνα,,,ἀκίνδυνος,,,,,,,,,,,,,,,,,,,,,,
1458,κἀκεῖνο,,,καί,ἐκεῖνος,,,,,,,,,,,,,,,,,,,,,
