,@form,gorman_lemma_1,gorman_lemma_2,gpt_lemma_1,gpt_lemma_2,gpt_lemma_3,postag_1,postag_2,postag_3,postag_4,postag_5,lemma_pedalion_1,lemma_pedalion_2,lemma_pedalion_3,lemma_pedalion_4,lemma_pedalion_5,lemma_pedalion_6,lemma_pedalion_7,lemma_pedalion_8,lemma_pedalion_9,lemma_pedalion_10,lemma_pedalion_11,lemma_pedalion_12,lemma_pedalion_13,lemma_pedalion_14,lemma_pedalion_15,lemma_pedalion_16,lemma_pedalion_17
848,νοῦν,νόος,,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,,
855,ὑπέσχοντο,ὑπέχω,,ὑπισχνέομαι,,,v3paim---,,,,,,,,,,,,,,,,,,,,,
858,ἀμφοῖν,ἄμφω,,,,,a-d---ng-,a-d---mg-,,,,,,,,,,,,,,,,,,,,
864,ἀπηλλάχθαι,,,ἀπαλλάσσω,,,v--rne---,,,,,,,,,,,,,,,,,,,,,
875,χαριεῖσθαι,,,χαρίζω,,,v--fne---,,,,,,,,,,,,,,,,,,,,,
878,παρόντες,,,,,,v-pppamn-,,,,,πάρειμι,,,,,,,,,,,,,,,,
883,λέγοντα,,,λέγω,,,v-sppama-,,,,,,,,,,,,,,,,,,,,,
887,ἦσαν,,,εἰμί,,,v3paia---,,,,,,,,,,,,,,,,,,,,,
897,ἀποθανούμενος,,,ἀποθνῄσκω,,,v-sfpmmn-,,,,,,,,,,,,,,,,,,,,,
900,ἔλεγεν,,,λέγω,,,v3siia---,,,,,,,,,,,,,,,,,,,,,
902,διαπειραθέντα,διαπειράομαι,,,,,v-sappma-,,,,,,,,,,,,,,,,,,,,,
926,χρεία,,,χρεία,,,n-p---nn-,,,,,,,,,,,,,,,,,,,,,
931,τεθνεὼς,,,θνῄσκω,,,v-srpamn-,,,,,,,,,,,,,,,,,,,,,
932,ἔλεγχον,,,ἔλεγχος,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,,
933,ἀπεστέρει,,,ἀποστερέω,,,v3siia---,,,,,,,,,,,,,,,,,,,,,
947,χρῆσθαι,,,,,,v--pne---,,,,,χράω,,,,,,,,,,,,,,,,
954,χρήσονται,,,,,,v3pfim---,,,,,χράω,,,,,,,,,,,,,,,,
956,εἶπεν,,,λέγω,,,v3saia---,,,,,,,,,,,,,,,,,,,,,
970,ἀπώλλυτο,ἀπόλλυμι,,,,,v3siie---,,,,,,,,,,,,,,,,,,,,,
971,ἡγήσατο,,,ἡγέομαι,,,v3saie---,,,,,,,,,,,,,,,,,,,,,
972,κατειπὼν,καταλέγω,,,,,v-sapamn-,,,,,,,,,,,,,,,,,,,,,
975,παρὼν,,,,,,v-sppamn-,,,,,πάρειμι,,,,,,,,,,,,,,,,
989,-ᾆτ᾽,εἶτα,,καί,,,d--------,,,,,,,,,,,,,,,,,,,,,
999,ἔφευγον,φεύγω,,,,,v1siia---,,,,,,,,,,,,,,,,,,,,,
1016,τεθνεῶτα,,,θνῄσκω,,,v-srpama-,,,,,,,,,,,,,,,,,,,,,
1030,ἐπαύσατο,,,παύω,,,v3saim---,,,,,,,,,,,,,,,,,,,,,
1033,ἀπῴμωξεν,ἀποιμώζω,,,,,v3saia---,,,,,,,,,,,,,,,,,,,,,
1034,ἀπολλυμένους,,,ἀπόλλυμι,,,v-pappma-,,,,,,,,,,,,,,,,,,,,,
1041,πρώτους,,,πρῶτος,,,a-p---mas,,,,,,,,,,,,,,,,,,,,,
1043,εἰρημένους,λέγω ,,,,,v-prpema-,,,,,,,,,,,,,,,,,,,,,
1046,πλοίω,πλοῖον,,,,,n-s---ng-,,,,,,,,,,,,,,,,,,,,,
1048,συνών,,,σύνειμι,,,v-sppamn-,,,,,,,,,,,,,,,,,,,,,
1055,λεγομένοις,,,λέγω,,,v-pppemd-,,,,,,,,,,,,,,,,,,,,,
1057,ἔλεγε,,,λέγω,,,v3siia---,,,,,,,,,,,,,,,,,,,,,
1065,οὕτω,οὕτως,,,,,d--------,,,,,,,,,,,,,,,,,,,,,
1067,προὐνοησάμην,,,προνοέω,,,v1saim---,,,,,,,,,,,,,,,,,,,,,
1069,συνειδείη,σύνοιδα,,,,,v3sroa---,,,,,,,,,,,,,,,,,,,,,
1075,ἀπέθανε,,,ἀποθνῄσκω,,,v3saia---,,,,,,,,,,,,,,,,,,,,,
1080,ἀποθνῄσκων,,,ἀποθνῄσκω,,,v-sppamn-,,,,,,,,,,,,,,,,,,,,,
1092,ἐγρηγορότων,ἐγείρω,,,,,v-prpamg-,,,,,,,,,,,,,,,,,,,,,
1094,ἀποθανόντος,,,ἀποθνῄσκω,,,v-sapamg-,,,,,,,,,,,,,,,,,,,,,
1098,τοιούτῳ,τοιοῦτος,,,,,a-s---nd-,p-s---nd-,,,,,,,,,,,,,,,,,,,,
1109,κίνδυνός,κίνδυνος,,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,,,
1112,σῴζομαι,,,σῴζω,,,v1spie---,,,,,,,,,,,,,,,,,,,,,
1113,ψευσθῆτε,ψεύδω,,,,,v2pasp---,,,,,,,,,,,,,,,,,,,,,
1117,παρόντι,,,,,,v-sppamd-,,,,,πάρειμι,,,,,,,,,,,,,,,,
1121,ψηφισαμένης,,,ψηφίζω,,,v-sapefg-,,,,,,,,,,,,,,,,,,,,,
1123,δεδεμένον,,,δέω,,,v-srpema-,,,,,,,,,,,,,,,,,,,,,
1135,Ἀθηναίων,,,Ἀθηναῖος,,,n-p---mg-,,,,,,,,,,,,,,,,,,,,,
1148,ἀποθνῄσκουσιν,,,ἀποθνῄσκω,,,v3ppia---,,,,,,,,,,,,,,,,,,,,,
1167,τοι,σύ,τοι,,,,p-s---md-,d--------,,,,,,,,,,,,,,,,,,,,
1178,τοτὲ,τοτέ,,,,,d--------,,,,,,,,,,,,,,,,,,,,,
1180,οὐδέπω,οὐδέπω,,,,,d--------,,,,,,,,,,,,,,,,,,,,,
1181,εἴρηκε,λέγω,,,,,v3sria---,,,,,,,,,,,,,,,,,,,,,
1188,δέοι,,,δέω,,,v3spoa---,,,,,,,,,,,,,,,,,,,,,
1195,λέγοντι,,,λέγω,,,v-sppamd-,,,,,,,,,,,,,,,,,,,,,
1199,λέγοντες,,,λέγω,,,v-pppamn-,,,,,,,,,,,,,,,,,,,,,
1200,πιστότεροί,,,πιστός,,,a-p---mnc,,,,,,,,,,,,,,,,,,,,,
1208,ἔφησεν,φημί,,,,,v3saia---,,,,,,,,,,,,,,,,,,,,,
1220,ᾗ,ὅς,,,,,p-s---fd-,,,,,,,,,,,,,,,,,,,,,
1222,ἀποθανόντα,,,ἀποθνῄσκω,,,v-sapama-,,,,,,,,,,,,,,,,,,,,,
1223,ἔγωγ᾽,ἐγώ,,ἐγώ γε,,,p1s---mn-,,,,,,,,,,,,,,,,,,,,,
1226,τί,τις,,,,,p-s---nn-,p-s---na-,,,,,,,,,,,,,,,,,,,,
1230,τὼ,ὁ,,,,,l-d---ma-,,,,,,,,,,,,,,,,,,,,,
1237,συνειδότας,σύνοιδα,,,,,v-prpama-,,,,,,,,,,,,,,,,,,,,,
1239,Λυκίνῳ,Λύκινος,,Λυκῖνος,,,n-s---md-,,,,,,,,,,,,,,,,,,,,,
1241,συνειδότος,σύνοιδα,,,,,v-srpamg-,,,,,,,,,,,,,,,,,,,,,
1245,ἐρεῖν,λέγω,,,,,v--fna---,,,,,,,,,,,,,,,,,,,,,
1259,τέθνηκεν,θνῄσκω,,,,,v3sria---,,,,,,,,,,,,,,,,,,,,,
1282,ποτ᾽,ποτέ,,,,,d--------,,,,,,,,,,,,,,,,,,,,,
1283,τίνος,τις,,,,,p-s---mg-,,,,,,,,,,,,,,,,,,,,,
1289,τίς,τις,,,,,p-s---mn-,,,,,,,,,,,,,,,,,,,,,
1290,χαριζόμενος,,,χαρίζω,,,v-sppemn-,,,,,,,,,,,,,,,,,,,,,
1323,λέγω,,,λέγω,,,v1spia---,,,,,,,,,,,,,,,,,,,,,
1325,Λυκίνου,Λύκινος,,Λυκῖνος,,,n-s---mg-,,,,,,,,,,,,,,,,,,,,,
1343,διαπράξασθαι,διαπράσσω,,,,,v--anm---,,,,,,,,,,,,,,,,,,,,,
1351,καλλίων,καλός,,,,,a-s---mnc,,,,,,,,,,,,,,,,,,,,,
1352,ἀφῆκεν,ἀφήκω,,ἀφίημι,,,v3siia---,,,,,,,,,,,,,,,,,,,,,
1358,ἱερῶν,ἱερόν,,ἱερός,,,n-p---ng-,,,,,,,,,,,,,,,,,,,,,
1373,ἐκπρίασθαι,ἐκπρίαμαι,,,,,v--pnm---,,,,,,,,,,,,,,,,,,,,,
1376,θᾶσσον,,,,,,a-s---nac,,,,,ταχύς,,,,,,,,,,,,,,,,
1384,ἑπτὰ,,,ἑπτά,,,m--------,,,,,,,,,,,,,,,,,,,,,
1386,δυνατὸς,δυνατός,,,,,a-s---mn-,,,,,,,,,,,,,,,,,,,,,
1389,ἐλύσαντο,,,λύω,,,v3paim---,,,,,,,,,,,,,,,,,,,,,
1400,δεδεμένου,,,δέω,,,v-srpemg-,,,,,,,,,,,,,,,,,,,,,
1403,ἀράμενος,,,αἴρω,,,v-sppemn-,,,,,,,,,,,,,,,,,,,,,
1421,ἄριστ᾽,ἀγαθὸς,,,,,a-p---nas,,,,,,,,,,,,,,,,,,,,,
1424,μακρότατον,μακρός,,,,,a-s---nns,,,,,,,,,,,,,,,,,,,,,
1425,ἀποκρίσεώς,,,ἀπόκρισις,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,,
1441,εἰπεῖν,,,λέγω,,,v--ana---,,,,,,,,,,,,,,,,,,,,,
1456,ἀποδεῖξαι,ἀποδείκνυμι,,,,,v--ana---,,,,,,,,,,,,,,,,,,,,,
1459,ὅτῳ,ὅστις,,,,,a-s---md-,p-s---nd-,,,,,,,,,,,,,,,,,,,,
1468,ἀποθανόντας,,,ἀποθνῄσκω,,,v-papama-,,,,,,,,,,,,,,,,,,,,,
1473,ὑποσχεῖν,ὑπέχω,,,,,v--ana---,,,,,,,,,,,,,,,,,,,,,
1479,προαπώλοντο,προαπόλλυμαι,,,,,v3paim---,,,,,,,,,,,,,,,,,,,,,
1484,συνόντας,,,σύνειμι,,,v-pppama-,,,,,,,,,,,,,,,,,,,,,
1488,συνοῦσιν,,,σύνειμι,,,v-pppamd-,,,,,,,,,,,,,,,,,,,,,
1496,ἀναιρέσεως,ἀναίρεσις,,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,,
1510,ὤχετο,,,οἴχομαι,,,v3siip---,,,,,,,,,,,,,,,,,,,,,
1520,κατεῖπεν,,,καταλέγω,,,v3saia---,,,,,,,,,,,,,,,,,,,,,
1521,ποτὲ,ποτέ,,,,,d--------,,,,,,,,,,,,,,,,,,,,,
1523,Ἑλληνοταμίαι,Ἑλληνοταμίαι,,,,,n-p---mn-,,,,,,,,,,,,,,,,,,,,,
1526,ἀπέθανον,,,ἀποθνῄσκω,,,v3paia---,,,,,,,,,,,,,,,,,,,,,
1528,πλὴν,πλήν,,,,,r--------,,,,,,,,,,,,,,,,,,,,,
1531,Σωσίαν,,,Σωσίας,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,,
1535,ἐτεθνήκει,θνῄσκω,,,,,v3slia---,,,,,,,,,,,,,,,,,,,,,
1543,ἐτέθνασαν,θνῄσκω,,,,,v3plia---,,,,,,,,,,,,,,,,,,,,,
1546,πρεσβυτέρους,πρέσβυς,,,,,a-p---mac,,,,,,,,,,,,,,,,,,,,,
1547,νεωτέρους,νέος,,,,,a-p---mac,,,,,,,,,,,,,,,,,,,,,
1565,ὀργιζόμενος,ὀργίζω,,,,,v-sppemn-,,,,,,,,,,,,,,,,,,,,,
1576,ἐλεηθῆναι,,,ἐλεέω,,,v--anp---,,,,,,,,,,,,,,,,,,,,,
1582,ἐλεεῖσθαι,,,ἐλεέω,,,v--pne---,,,,,,,,,,,,,,,,,,,,,
1585,σῴζειν,,,σῴζω,,,v--pna---,,,,,,,,,,,,,,,,,,,,,
1589,ἐπισχεῖν,ἐπίσχω,,ἐπέχω,,,v--pna---,,,,,,,,,,,,,,,,,,,,,
1595,πρεσβύτερός,πρέσβυς,,,,,a-s---mnc,,,,,,,,,,,,,,,,,,,,,
1596,νεώτερος,νέος,,,,,a-s---mnc,,,,,,,,,,,,,,,,,,,,,
1605,νεώτερός,νέος,,,,,a-s---mnc,,,,,,,,,,,,,,,,,,,,,
1617,Μυτιληναίων,,,Μυτιληναῖος,,,n-p---mg-,,,,,,,,,,,,,,,,,,,,,
1619,ἐδείκνυε,δείκνυμι,,,,,v3siia---,,,,,,,,,,,,,,,,,,,,,
1632,εὐρόπως,εὔροπος,,,,,d--------,,,,,,,,,,,,,,,,,,,,,
1645,Μυτιληναίοις,,,Μυτιληναῖος,,,n-p---md-,,,,,,,,,,,,,,,,,,,,,
1649,σφετέραν,σφέτερος,,,,,a-s---fa-,,,,,,,,,,,,,,,,,,,,,
1651,πατρί,πατήρ,,,,,n-s---md-,,,,,,,,,,,,,,,,,,,,,
1653,δεόντων,δέον,,,,,n-p---ng-,,,,,δέω,,,,,,,,,,,,,,,,
1681,πατὴρ,πατήρ,,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,,,
1688,ἐπεῖδον,ἐπεῖδον,,ἐφοράω,,,v3paia---,,,,,,,,,,,,,,,,,,,,,
1692,ἰδία,,,ἴδιος,,,a-p---na-,,,,,,,,,,,,,,,,,,,,,
1700,ἐφίεσθαι,ἐφίημι,,,,,v--pne---,,,,,,,,,,,,,,,,,,,,,
1704,ἱκανῶς,ἱκανός,,,,,d--------,,,,,,,,,,,,,,,,,,,,,
1708,εἰσιόντες,εἴσειμι,,,,,v-pppamn-,,,,,,,,,,,,,,,,,,,,,
