,@form,gorman_lemma_1,gorman_lemma_2,gpt_lemma_1,gpt_lemma_2,gpt_lemma_3,postag_1,postag_2,postag_3,postag_4,lemma_pedalion_1,lemma_pedalion_2,lemma_pedalion_3,lemma_pedalion_4,lemma_pedalion_5,lemma_pedalion_6,lemma_pedalion_7,lemma_pedalion_8,lemma_pedalion_9,lemma_pedalion_10,lemma_pedalion_11,lemma_pedalion_12,lemma_pedalion_13,lemma_pedalion_14,lemma_pedalion_15,lemma_pedalion_16,lemma_pedalion_17
217,συνειδὼς,σύνοιδα,,,,,v-srpamn-,,,,,,,,,,,,,,,,,,,,
218,αὑτῷ,ἑαυτοῦ,,,,,p-s---md-,,,,,,,,,,,,,,,,,,,,
222,χρῆσθαι,,,χράω,,,v--pne---,,,,,,,,,,,,,,,,,,,,
229,οἵ,ὁ,,ὅς,,,l-p---mn-,,,,,,ἕ,,,,,,,,,,,,,,
233,τόμια,τόμιον,,,,,n-p---nn-,,,,,,,,,,,,,,,,,,,,
235,τἆλλ᾽,ἄλλος,,,,,p-p---nn-,,,,,,,,,,,,,,,,,,,,
271,ὅ,ὅς,,,ὅ,,p-s---na-,,,,,,,,,,,,,,,,,,,,
272,τι,τις,,,,,a-s---na-,p-s---na-,p-s---nn-,,,,,,,,,,,,,,,,,,
283,ἥνπερ,ὅσπερ,,,,,p-s---fa-,,,,,,,,,,,,,,,,,,,,
297,ἀδικώτατόν,ἄδικος,,,,,a-s---nns,,,,,,,,,,,,,,,,,,,,
300,δικαίως,δίκαιος,,,,,d--------,,,,,,,,,,,,,,,,,,,,
310,ἀξιῶ,,,ἀξιόω,,,v1spia---,,,,,,,,,,,,,,,,,,,,
313,ἀποκρίνεσθαι,ἀποκρίνω,,,,,v--pne---,,,,,,,,,,,,,,,,,,,,
332,ἐξῆν,,,ἔξειμι,,,v3siia---,,,,,,,,,,,,,,,,,,,,
374,οὗ,ὅς,,,,,p-s---ng-,,,,,,,,,,,,,,,,,,,,
375,φασὶν,φημί,,,,,v3ppia---,,,,,,,,,,,,,,,,,,,,
377,ἰδίᾳ,ἴδιος,,,,,a-s---fd-,,,,,,,,,,,,,,,,,,,,
409,τινὸς,τις,,,,,p-s---ng-,,,,,,,,,,,,,,,,,,,,
412,ἄρξομαι,ἄρχω,,,,,v1sfim---,,,,,,,,,,,,,,,,,,,,
414,ἐπειδὴ,,,ἐπειδή,,,c--------,,,,,,,,,,,,,,,,,,,,
418,ἔλαχον,λαγχάνω,,,,,v1saia---,,,,,,,,,,,,,,,,,,,,
419,Παντακλέα,Παντακλέης,,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,
432,ᾗ,,ὅς,,,,d--------,p-s---fd-,,,,,,,,,,,,,,,,,,,
438,ᾧπερ,ὅσπερ,,,,,p-s---nd-,,,,,,,,,,,,,,,,,,,,
443,συνέλεξα,,,συλλέγω,,,v1saia---,,,,,,,,,,,,,,,,,,,,
452,ἥδιστα,ἡδύς,,,,,a-p---nas,,,,,,,,,,,,,,,,,,,,
464,μοι,ἐγώ,,,,,p1s---md-,,,,,,,,,,,,,,,,,,,,
466,παρεῖναι,πάρειμι,,,,,v--pna---,,,,,,,,,,,,,,,,,,,,
472,ἐπειδήπερ,,,ἐπειδήπερ,,,c--------,,,,,,,,,,,,,,,,,,,,
473,εἰσήγγειλα,εἰσαγγέλλω,,,,,v1saia---,,,,,,,,,,,,,,,,,,,,
476,Ἀθηναίοις,,,Ἀθηναῖος,,,n-p---md-,,,,,,,,,,,,,,,,,,,,
479,νοῦν,νόος,,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,
495,Ἐρεχθῇδος,,,Ἐρεχθηίς,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,
496,Ἀμεινίαν,,,Ἀμεινίας,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,
499,ἐψηφίσαντο,,,ψηφίζω,,,v3paie---,,,,,,,,,,,,,,,,,,,,
507,ὅσπερ,ὅσπερ,,,,,p-s---mn-,,,,,,,,,,,,,,,,,,,,
508,εἴωθεν,ἔθω,,,,,v3sria---,,,,,,,,,,,,,,,,,,,,
512,προσετέτακτο,προστάσσω,,,,,v3slie---,,,,,,,,,,,,,,,,,,,,
528,οὕτω,οὕτως,,,,,d--------,,,,,,,,,,,,,,,,,,,,
529,ψεύδομαι,ψεύδω,,,,,v1spie---,,,,,,,,,,,,,,,,,,,,
540,ἀκριβῶς,ἀκριβής,,,,,d--------,,,,,,,,,,,,,,,,,,,,
541,ἐπίστανται,,,ἐπίσταμαι,,,v3ppie---,,,,,,,,,,,,,,,,,,,,
542,ὁρκωτοῦ,ὁρκωτής,,,,,n-s---mg-,,,,,,,,,,,,,,,,,,,,
545,ἅττα,ὅστις,,,,,p-p---na-,,,,,,,,,,,,,,,,,,,,
546,ἀποκρίνομαι,ἀποκρίνω,,,,,v1spie---,,,,,,,,,,,,,,,,,,,,
554,λέγων,,,λέγω,,,v-sppamn-,,,,,,,,,,,,,,,,,,,,
562,φάρμακον,φάρμακον,φάρμακος,,,,n-s---na-,n-s---ma-,,,,,,,,,,,,,,,,,,,
565,-δὲ,δέ,,,,,d--------,c--------,,,,,,,,,,,,,,,,,,,
566,παρῆ,,,πάρειμι,,,v1siia---,,,,,,,,,,,,,,,,,,,,
570,λέγω,,,λέγω,,,v1spia---,,,,,,,,,,,,,,,,,,,,
571,ἐμαυτὸν,ἐμαυτοῦ,,,,,p-s---ma-,,,,,,,,,,,,,,,,,,,,
578,ἔγωγε,ἐγώ,,,,,p1s---mn-,,,,,,,,,,,,,,,,,,,,
581,ἥπερ,ὅσπερ,,,,,p-s---fn-,,,,,,,,,,,,,,,,,,,,
585,αἰτία,αἴτιος,αἰτία,,,,a-s---fn-,n-s---fn-,,,,,,,,,,,,,,,,,,,
586,ἀποθανεῖν,,,ἀποθνῄσκω,,,v--ana---,,,,,,,,,,,,,,,,,,,,
589,εἴη,εἰμί,,,,,v3spoa---,v3siia---,,,,,,,,,,,,,,,,,,,
594,ὑπεσχόμην,ὑπέχω,,ὑπισχνέομαι,,,v1saim---,,,,,,,,,,,,,,,,,,,,
597,σκοπεῖν,,,σκοπέω,,,v--pna---,,,,,,,,,,,,,,,,,,,,
615,ὃς,,,ὅς,,,p3s---fn-,p-s---mn-,,,,,,,,,,,,,,,,,,,
628,φάρμακόν,φάρμακον,,,,,n-s---na-,,,,,,,,,,,,,,,,,,,,
637,λάθρᾳ,λάθρῃ,,,,,d--------,,,,,,,,,,,,,,,,,,,,
644,ἀποκρινομένου,ἀποκρίνω,,,,,v-sppemg-,,,,,,,,,,,,,,,,,,,,
647,σμικρὸν,μικρός,,,,,a-s---nn-,,,,,,,,,,,,,,,,,,,,
649,λεγόμενα,,,λέγω,,,v-pppena-,,,,,,,,,,,,,,,,,,,,
651,σάφα,σάφα,,,,,d--------,,,,,,,,,,,,,,,,,,,,
664,ἐναντίον,,,ἐναντίος,,,d--------,,,,,,,,,,,,,,,,,,,,
665,μαρτύρων,,,μάρτυς,,,n-p---mg-,,,,,,,,,,,,,,,,,,,,
671,ὧνπερ,ὅσπερ,,,,,p-p---mg-,,,,,,,,,,,,,,,,,,,,
687,ὁμοίως,ὅμοιος,,,,,d--------,,,,,,,,,,,,,,,,,,,,
693,ἔλεξε,,,λέγω,,,v3saia---,,,,,,,,,,,,,,,,,,,,
695,οὑτοσὶ,οὗτος,,,,,a-s---mn-,,,,,,,,,,,,,,,,,,,,
707,ἔλεγεν,,,λέγω,,,v3siia---,,,,,,,,,,,,,,,,,,,,
709,ἔλεξα,,,λέγω,,,v1saia---,,,,,,,,,,,,,,,,,,,,
717,ἕνῃ,ἕνος,,,,,a-s---fd-,,,,,,,,,,,,,,,,,,,,
718,λέγοι,,,λέγω,,,v3spoa---,,,,,,,,,,,,,,,,,,,,
720,ῥᾳδίως,ῥᾴδιος,,,,,d--------,,,,,,,,,,,,,,,,,,,,
722,ψευδόμενος,ψεύδω,,,,,v-sppemn-,,,,,,,,,,,,,,,,,,,,
730,πλείους,,,πολύς,,,a-p---mnc,,,,,,,,,,,,,,,,,,,,
733,λεχθέντας,,,λέγω,,,v-pappma-,,,,,,,,,,,,,,,,,,,,
734,πόσεως,,,πόσις,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,
739,προὐκαλούμην,προκαλέω,,,,,v1siie---,,,,,,,,,,,,,,,,,,,,
740,εὐθὺς,,,εὐθύς,,,d--------,,,,,,,,,,,,,,,,,,,,
760,λέγειν,,,λέγω,,,v--pna---,,,,,,,,,,,,,,,,,,,,
761,ἕτοιμος,ἑτοῖμος,,,,,a-s---mn-,,,,,,,,,,,,,,,,,,,,
775,προκαλουμένου,προκαλέω,,,,,v-sppemg-,,,,,,,,,,,,,,,,,,,,
776,λέγοντος,,,λέγω,,,v-sppamg-,,,,,,,,,,,,,,,,,,,,
780,παρῆσαν,,,,,,v3piia---,,,,πάρειμι,,,,,,,,,,,,,,,,
785,οὐδεπώποτε,οὐδεπώποτε,,,,,d--------,,,,,,,,,,,,,,,,,,,,
792,ἔλεγχος,,,ἔλεγχος,,,n-s---nn-,,,,,,,,,,,,,,,,,,,,
796,ἐπίστασθε,,,ἐπίσταμαι,,,v2ppme---,,,,,,,,,,,,,,,,,,,,
799,μέγισταί,μέγας,,,,,a-p---fns,,,,,,,,,,,,,,,,,,,,
800,ἔλεγχοι,,,ἔλεγχος,,,n-p---mn-,,,,,,,,,,,,,,,,,,,,
802,πιστότατοι,,,πιστός,,,a-p---mns,,,,,,,,,,,,,,,,,,,,
803,ἐξείη,,,ἔξειμι,,,v3spoa---,,,,,,,,,,,,,,,,,,,,
812,ἢν,ἐάν,,ἄν,,,c--------,,,,,,,,,,,,,,,,,,,,
814,ἀποθανεῖσθαι,,,ἀποθνῄσκω,,,v--fnm---,,,,,,,,,,,,,,,,,,,,
818,παροῦσα,πάρειμι,,,,,v-sppafn-,,,,,,,,,,,,,,,,,,,,
822,προὐκαλεσάμην,προκαλέω,,,,,v1saim---,,,,,,,,,,,,,,,,,,,,
832,ἔλεγχον,,,ἔλεγχος,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,
835,φάσκοντες,φάσκω,,,,,v-pppamn-,,,,,,,,,,,,,,,,,,,,
836,ἦσαν,,εἰμί,,,,v3paia---,v3piia---,,,,,,,,,,,,,,,,,,,
839,προκαλουμένων,προκαλέω,,,,,v-pppemg-,,,,,,,,,,,,,,,,,,,,
864,λέγουσιν,,,λέγω,,,v3ppia---,,,,,,,,,,,,,,,,,,,,
869,λέγουσι,,,λέγω,,,v3ppia---,,,,,,,,,,,,,,,,,,,,
873,ἔλεγον,,,λέγω,,,v1siia---,,,,,,,,,,,,,,,,,,,,
877,πιστοὶ,,,πιστός,,,a-p---mn-,,,,,,,,,,,,,,,,,,,,
886,πιστότεροι,,,πιστός,,,a-p---mnc,,,,,,,,,,,,,,,,,,,,
893,ἡμέρας,ἡμέρα,ἥμερος,,,,n-s---fg-,n-p---fa-,a-p---fa-,,,,,,,,,,,,,,,,,,
897,λέγοντες,,,λέγω,,,v-pppamn-,,,,,,,,,,,,,,,,,,,,
898,νυνὶ,νυνί,,,,,d--------,,,,,,,,,,,,,,,,,,,,
901,πιστὰ,,,,,,a-p---na-,,,,πιστός,,,,,,,,,,,,,,,,
912,εἰκότας,ἔοικα,,,,,v-prpama-,,,,,,,,,,,,,,,,,,,,
918,μεγίστω,μέγας,,,,,a-d---nas,,,,,,,,,,,,,,,,,,,,
931,ποῖ,,,ποῖ,,,d--------,,,,,,,,,,,,,,,,,,,,
935,εἰρημένων,,,,,,v-prpeng-,,,,λέγω,,,,,,,,,,,,,,,,
938,ἐπίστασθαι,,,ἐπίσταμαι,,,v--pne---,,,,,,,,,,,,,,,,,,,,
944,λέξω,,,λέγω,,,v1sfia---,,,,,,,,,,,,,,,,,,,,
946,ἐπιορκοτάτους,ἐπίορκος,,,,,a-p---mas,,,,,,,,,,,,,,,,,,,,
950,μόνον,μόνος,,,,,a-s---na-,,,,,,,,,,,,,,,,,,,,
956,ἀπέθανεν,,,ἀποθνῄσκω,,,v3saia---,,,,,,,,,,,,,,,,,,,,
957,προέκειτο,πρόκειμαι,,,,,v3siie---,,,,,,,,,,,,,,,,,,,,
960,συνῆσαν,σύνειμι,,,,,v3piia---,,,,,,,,,,,,,,,,,,,,
961,διελέγοντο,διαλέγω,,,,,v3piie---,,,,,,,,,,,,,,,,,,,,
964,ἦσάν,εἰμί,,,,,v3piia---,,,,,,,,,,,,,,,,,,,,
969,τίνες,τις,,,,,p-p---mn-,,,,,,,,,,,,,,,,,,,,
971,τίνος,τις,,,,,p-s---ng-,,,,,,,,,,,,,,,,,,,,
978,Ἀμπελίνου,Ἀμπελῖνος,,,,,n-s---mg-,,,,,,,,,,,,,,,,,,,,
981,οὗπερ,ὅσπερ,,,,,p-s---mg-,,,,,,,,,,,,,,,,,,,,
993,σφίσιν,σφεῖς,,,,,p3p---md-,,,,,,,,,,,,,,,,,,,,
1000,εἰργόμενος,ἔργω,,,,,v-sppemn-,,,,,,,,,,,,,,,,,,,,
1002,εἰσαγγείλαντος,εἰσαγγέλλω,,,,,v-sapamg-,,,,,,,,,,,,,,,,,,,,
1003,ἐπισταμένου,ἐφίστημι,,ἐπίσταμαι,,,v-sppemg-,,,,,,,,,,,,,,,,,,,,
1004,ἐπεξιόντος,ἐπέξειμι,,,,,v-sppamg-,,,,,,,,,,,,,,,,,,,,
1010,Λυσιστράτῳ,Λυσίστρατος,,,,,n-s---md-,,,,,,,,,,,,,,,,,,,,
1047,οἷόι,οἷος,,,,,a-p---mn-,,,,,,,,,,,,,,,,,,,,
1048,προσιόντες,πρόσειμι,,,,,v-pppamn-,,,,,,,,,,,,,,,,,,,,
1052,ἕτοιμοι,ἑτοῖμος,,,,,a-p---mn-,,,,,,,,,,,,,,,,,,,,
1057,οἵπερ,ὅσπερ,,,,,p-p---mn-,,,,,,,,,,,,,,,,,,,,
1060,νεῷ,νέος,,,,,a-s---md-,,,,,,,,,,,,,,,,,,,,
1061,Ἀθηνᾶς,Ἀθήνη,,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,
1063,συνῆσάν,σύνειμι,,,,,v3piia---,,,,,,,,,,,,,,,,,,,,
1064,ἱεροῖς,ἱερόν,,ἱερός,,,n-p---nd-,,,,,,,,,,,,,,,,,,,,
1068,σφετέρᾳ,σφέτερος,,,,,a-s---fd-,,,,,,,,,,,,,,,,,,,,
1079,ἁπτόμενος,ἅπτω,,,,,v-sppemn-,,,,,,,,,,,,,,,,,,,,
1080,διελέγετο,διαλέγω,,,,,v3siie---,,,,,,,,,,,,,,,,,,,,
1085,προειρημένον,προλέγω,,,,,v-srpena-,,,,,,,,,,,,,,,,,,,,
1088,συνόντας,,,,,,v-pppama-,,,,σύνειμι,,,,,,,,,,,,,,,,
1089,διαλεγομένους,διαλέγω,,,,,v-pppema-,,,,,,,,,,,,,,,,,,,,
1106,μησί,μείς,,,,,n-p---md-,,,,μήν,,,,,,,,,,,,,,,,
1109,μηνί,μείς,,,,,n-s---md-,,,,μήν,,,,,,,,,,,,,,,,
1112,μῆνες,μείς,,,,,n-p---mn-,,,,μήν,,,,,,,,,,,,,,,,
1132,εὐθύνας,εὔθυνα,,,,,n-p---fa-,,,,,,,,,,,,,,,,,,,,
1133,τί,τις,,,,,a-s---na-,p-s---na-,,,,,,,,,,,,,,,,,,,
1137,-θ᾽,τε,,,,,d--------,c--------,,,,,,,,,,,,,,,,,,,
1140,ἐξὸν,,,ἔξειμι,,,v-sppana-,,,,,,,,,,,,,,,,,,,,
1142,Ἑκατομβαιῶνος,,,Ἑκατομβαιών,,,n-s---mg-,,,,,,,,,,,,,,,,,,,,
1143,μηνὸς,μείς,,μήν,,,n-s---mg-,,,,,,,,,,,,,,,,,,,,
1154,παρεῖσαν,παρέζομαι,,,,,v3paia---,,,,,,,,,,,,,,,,,,,,
1155,εἴκοσιν,εἴκοσιν,,,,,m--------,,,,,,,,,,,,,,,,,,,,
1166,εἰσιόντ᾽,εἴσειμι,,,,,v-sppama-,,,,,,,,,,,,,,,,,,,,
1173,εἰσιόντες,εἴσειμι,,,,,v-pppamn-,,,,,,,,,,,,,,,,,,,,
1180,ἱερὰ,ἱερόν,,ἱερός,,,n-p---na-,,,,,,,,,,,,,,,,,,,,
1181,εἰσιὼν,εἴσειμι,,,,,v-sppamn-,,,,,,,,,,,,,,,,,,,,
1182,θύων,,,θύω,,,v-sppamn-,,,,,,,,,,,,,,,,,,,,
1193,μεγίστων,μέγας,,,,,a-p---ngs,,,,,,,,,,,,,,,,,,,,
1196,παρόντες,πάρειμι,,,,,v-pppamn-,,,,,,,,,,,,,,,,,,,,
1198,εἴργειν,ἔργω,,,,,v--pna---,,,,,,,,,,,,,,,,,,,,
1201,ὑπομνῆσαι,,,ὑπομιμνῄσκω,,,v--ana---,,,,,,,,,,,,,,,,,,,,
1207,πῶς,,,πῶς,,,d--------,,,,,,,,,,,,,,,,,,,,
1209,σχετλιώτεροι,σχέτλιος,,,,,a-p---mnc,,,,,,,,,,,,,,,,,,,,
1210,ἀνομώτεροι,ἄνομος,,,,,a-p---mnc,,,,,,,,,,,,,,,,,,,,
1216,ἀπεδίκασαν,,,ἀποδικάζω,,,v3paia---,,,,,,,,,,,,,,,,,,,,
1241,τίνας,τις,,,,,a-p---ma-,,,,,,,,,,,,,,,,,,,,
1264,μεσεγγυησάμενοι,μεσεγγυάω,,,,,v-papmmn-,,,,,,,,,,,,,,,,,,,,
1283,μηδ᾽,,,μηδέ,,,,,,,,,,,,,,,,,,,,,,,
1284,τινά,,,τις,,,,,,,,,,,,,,,,,,,,,,,
1285,ἑαυτόν,,,ἑαυτοῦ,,,,,,,,,,,,,,,,,,,,,,,
1286,οὔτε,,,οὔτε,,,,,,,,,,,,,,,,,,,,,,,
1287,οὔτ᾽,,,οὔτε,,,,,,,,,,,,,,,,,,,,,,,
1288,κἂν,,,καὶ ἄν,,,,,,,,ὅτι,,,,,,,,,,,,,,,
1289,ἀλλά,,,ἀλλά,,,,,,,,,,,,,,,,,,,,,,,
1290,ἀδικώτατον,,,ἀδικός,,,,,,,,,,,,,,,,,,,,,,,
1291,εἰσίν,,,εἰμί,,,,,,,,,,,,,,,,,,,,,,,
1292,τινός,,,τις,,,,,,,,,,,,,,,,,,,,,,,
1293,ἐπειδή,,,ἐπειδή,,,,,,,,ἐπεί,,,,,,,,,,,,,,,
1294,φυλήν,,,φυλή,,,,,,,,,,,,,,,,,,,,,,,
1295,οὐδὲ,,,οὐδέ,,,,,,,,,,,,,,,,,,,,,,,
1296,μήτε,,,μήτε,,,,,,,,,,,,,,,,,,,,,,,
1297,ἔνοχος,,,ἔνοχος,,,,,,,,,,,,,,,,,,,,,,,
1298,< καὶ >,,,καί,,,,,,,,,,,,,,,,,,,,,,,
1299,πιστά,,,πιστός,,,,,,,,,,,,,,,,,,,,,,,
1300,ἐμέ,,,ἐγώ,,,,,,,,,,,,,,,,,,,,,,,
1301,μηδὲ,,,μηδέ,,,,,,,,,,,,,,,,,,,,,,,
1302,οὔθ᾽,,,οὔτε,,,,,,,,,,,,,,,,,,,,,,,
1303,< ᾗ >,,,ὅς,,,,,,,,,,,,,,,,,,,,,,,
1304,...,,,,,,,,,,,,,,,,,,,,,,,,,,
