,@form,gorman_lemma_1,gorman_lemma_2,gorman_lemma_3,gpt_lemma_1,gpt_lemma_2,gpt_lemma_3,gpt_lemma_4,gpt_lemma_5,postag_1,postag_2,postag_3,postag_4,postag_5,postag_6,lemma_pedalion_1,lemma_pedalion_2,lemma_pedalion_3,lemma_pedalion_4,lemma_pedalion_5,lemma_pedalion_6,lemma_pedalion_7,lemma_pedalion_8,lemma_pedalion_9,lemma_pedalion_10,lemma_pedalion_11,lemma_pedalion_12,lemma_pedalion_13,lemma_pedalion_14,lemma_pedalion_15,lemma_pedalion_16,lemma_pedalion_17
688,λέγονται,,,,λέγω,,,,,v3ppie---,,,,,,,,,,,,,,,,,,,,,,
695,ῥᾴων,ῥᾴδιος,,,,,,,,a-s---mnc,,,,,,,,,,,,,,,,,,,,,,
696,αὑτοῖς,ἑαυτοῦ,,,,,,,,p-p---md-,,,,,,,,,,,,,,,,,,,,,,
698,πλείους,,,,πολύς,,,,,a-p---fac,a-p---mnc,a-p---mac,,,,,,,,,,,,,,,,,,,,
717,ἀνθρωπικῶν,ἀνθρωπικός,,,,,,,,a-p---ng-,,,,,,,,,,,,,,,,,,,,,,
721,συναποδήμων,συναπόδημοι,,,,,,,,n-p---mg-,,,,,,,,,,,,,,,,,,,,,,
731,πλεῖστα,,,,πολύς,,,,,a-p---nas,a-p---nns,,,,,,,,,,,,,,,,,,,,,
739,ὀρθῶν,ὀρθόω,,,ὀρθός,,,,,v-sppann-,,,,,,,,,,,,,,,,,,,,,,
751,χρῆσθαι,χράω,,,,,,,,v--pne---,,,,,,,,,,,,,,,,,,,,,,
754,ἐνίαις,ἔνιοι,,,,,,,,a-p---fd-,,,,,,,,,,,,,,,,,,,,,,
767,εἰπεῖν,,,,,λέγω,,,,v--ana---,,,,,,,,,,,,,,,,,,,,,,
771,δεηθῶσιν,,,,δέω,,,,,v3pasp---,,,,,,,,,,,,,,,,,,,,,,
772,ἐφοδίων,,,,ἐφόδιον,,,,,n-p---ng-,,,,,,,,,,,,,,,,,,,,,,
781,ἡδονὴν,,,,ἡδονή,,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,,,,
791,δικαίως,δίκαιος,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
797,ξένοις,,,,ξένος,,,,,n-p---md-,,,,,,,,,,,,,,,,,,,,,,
799,ἥδιστον,ἡδύς,,,,,,,,a-s---nns,,,,,,,,,,,,,,,,,,,,,,
814,ἐλευθέριος,ἐλευθέριος,,,,,,,,a-s---mn-,,,,,,,,,,,,,,,,,,,,,,
817,ἐλευθέριον,ἐλευθέριος,,,,,,,,a-s---fa-,,,,,,,,,,,,,,,,,,,,,,
861,αἴτιον,αἴτιος,,,,,,,,a-s---na-,a-s---nn-,,,,,,,,,,,,,,,,,,,,,
863,παρακρούσεως,παράκρουσις,,,,,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,,,
901,συνῆκται,συνάγω,,,,,,,,v3srie---,,,,,,,,,,,,,,,,,,,,,,
902,γινώσκοντες,γιγνώσκω,,,,,,,,v-pppamn-,,,,,,,,,,,,,,,,,,,,,,
904,ἴδοι,,,,ὁράω,,,,,v3saoa---,,,,,,,,,,,,,,,,,,,,,,
912,φατρίας,φράτρα,,,,,,,,n-p---fa-,,,,,,,,,,,,,,,,,,,,,,
917,πλὴν,πλήν,,,,,,,,c--------,d--------,,,,,,,,,,,,,,,,,,,,,
922,εἴρηκεν,,,,λέγω,,,,,v3sria---,,,,,,,,,,,,,,,,,,,,,,
924,τί,τις,,,,,,,,p-s---na-,p-s---nn-,a-s---na-,,,,,,,,,,,,,,,,,,,,
936,ἆλλα,ἄλλος,,,,,,,,p-p---na-,,,,,,,,,,,,,,,,,,,,,,
938,ἀπειρήκασι,ἀπολέγω,,,,,,,,v3pria---,,,,,,,,,,,,,,,,,,,,,,
957,δεήσονται,,,,δέω,,,,,v3pfim---,,,,,,,,,,,,,,,,,,,,,,
964,εἰκὸς,ἔοικα,,,,,,,,v-srpann-,,,,,,,,,,,,,,,,,,,,,,
968,ἐνίοις,ἔνιοι,,,,,,,,a-p---md-,,,,,,,,,,,,,,,,,,,,,,
969,εἱλωτείας,,,,εἱλωτεία,,,,,n-p---fa-,,,,,,,,,,,,,,,,,,,,,,
972,ἀναγκαῖα,,,,ἀναγκαῖος,,,,,a-p---nn-,a-p---na-,,,,,,,,,,,,,,,,,,,,,
977,τίνες,τις,,,,,,,,p-p---mn-,,,,,,,,,,,,,,,,,,,,,,
978,-θ᾽,τε,,,,,,,,d--------,c--------,,,,,,,,,,,,,,,,,,,,,
981,ποιούς,ποιός,,,,,,,,a-p---ma-,,,,,,,,,,,,,,,,,,,,,,
983,σῴζεσθαι,,,,σῴζω,,,,,v--pne---,,,,,,,,,,,,,,,,,,,,,,
988,—,—,,,,,,,,u--------,,,,,,,,,,,,,,,,,,,,,,
989,-ἂν,,,,ἄν,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
998,μέτεστιν,μέτειμι,,,,,,,,v3spia---,,,,,,,,,,,,,,,,,,,,,,
1000,ἄρχοντας,ἄρχω,,,ἄρχων,,,,,v-pppama-,,,,,,,,,,,,,,,,,,,,,,
1004,κεκτημένοις,κτάομαι,,,,,,,,v-prpemd-,,,,,,,,,,,,,,,,,,,,,,
1005,ἦ,ἦ,εἰμί,,,,,,,c--------,,,,,,,,,,,,,,,,,,,,,,
1006,που,πού,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
1007,δῆθεν,δῆθεν,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
1012,ὁτὲ,,,,,,,,,d--------,,,,,,ὅτε,,,,,,,,,,,,,,,,
1013,μέμεικται,μίγνυμι,,,μείγνυμι,,,,,v3srie---,,,,,,,,,,,,,,,,,,,,,,
1017,εὐθὺς,,,,εὐθύς,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
1019,μεῖξαι,μίγνυμι,,,μείγνυμι,,,,,v--ana---,v2samm---,,,,,,,,,,,,,,,,,,,,,
1023,σίδηρον,,,,σίδηρος,,,,,n-s---na-,,,,,,,,,,,,,,,,,,,,,,
1034,ὧνπερ,ὅσπερ,,,,,,,,p-p---ng-,,,,,,,,,,,,,,,,,,,,,,
1044,ἐλάττους,ἐλαχύς ,,,,,,,,a-p---fac,a-p---mnc,,,,,,,,,,,,,,,,,,,,,
1045,παραπλησίως,παραπλήσιος,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
1046,Νόμους,,,,νόμος,,,,,n-p---ma-,,,,,,,,,,,,,,,,,,,,,,
1052,διώρικεν,,,,διορίζω,,,,,v3sria---,,,,,,,,,,,,,,,,,,,,,,
1060,βουλευόμενον,βουλεύω,,,,,,,,v-sppenn-,,,,,,,,,,,,,,,,,,,,,,
1064,ἤ,,,,ἤ,,,,,c--------,,,,,,,,,,,,,,,,,,,,,,
1074,Νόμων,,,,νόμος,,,,,n-p---mg-,,,,,,,,,,,,,,,,,,,,,,
1075,πλεῖστον,,,,,πολύς,,,,a-s---nns,a-s---mas,,,,,,,,,,,,,,,,,,,,,
1083,ἀναγκαίων,,,,ἀναγκαῖος,,,,,a-p---ng-,,,,,,,,,,,,,,,,,,,,,,
1089,περιττὸν,περισσός,,,,,,,,a-s---na-,,,,,,,,,,,,,,,,,,,,,,
1097,εἰρημένον,,,,λέγω,,,,,v-srpenn-,,,,,,,,,,,,,,,,,,,,,,
1100,δεήσει,,,,δέω,,,,,v3sfia---,,,,,,,,,,,,,,,,,,,,,,
1102,Βαβυλωνίας,Βαβυλωνία,,,,,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,,,
1105,ἀργοὶ,,,,ἀργός,,,,,a-p---mn-,,,,,,,,,,,,,,,,,,,,,,
1111,λέγεται,,,,λέγω,,,,,v3spie---,,,,,,,,,,,,,,,,,,,,,,
1119,ἀναγκαῖόν,,,,ἀναγκαῖος,,,,,n-s---nn-,,,,,,,,,,,,,,,,,,,,,,
1130,ποτε,ποτέ,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
1131,ἑτέρως,ἕτερος,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
1133,σαφῶς,σαφής,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
1135,σωφρόνως,σώφρων,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
1139,ἐπειδὴ,,,,ἐπειδή,,,,,c--------,,,,,,,,,,,,,,,,,,,,,,
1140,ταλαιπώρως,ταλαίπωρος,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
1143,ἐλευθερίως,ἐλευθέριος,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
1144,ἑκατέρῳ,ἑκάτερος,,,,,,,,a-s---nd-,,,,,,,,,,,,,,,,,,,,,,
1147,ἐπιπόνως,ἐπίπονος,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
1151,αἱρεταὶ,αἱρετός,,,,,,,,a-p---fn-,,,,,,,,,,,,,,,,,,,,,,
1155,πράως,πρᾶος,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
1156,ἀνδρείως,ἀνδρεῖος,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
1162,ἱκανῶς,ἱκανός,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
1165,ὁσωνοῦν,ὁσωνοῦν,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
1167,ἀκριβῶς,ἀκριβής,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
1171,ὁποσονοῦν,ὁπόσος,,,,,,,,a-s---na-,,,,,,,,,,,,,,,,,,,,,,
1174,παράζυγας,,,,παράζυξ,,,,,n-p---ma-,,,,,,,,,,,,,,,,,,,,,,
1180,πλείονα,,,,,πολύς,,,,a-p---nac,a-s---mac,,,,,,,,,,,,,,,,,,,,,
1188,πλείσταις,,,,πολύς,,,,,a-p---fds,,,,,,,,,,,,,,,,,,,,,,
1206,λεκτέον,λεκτέος,,,,,,,,a-s---nn-,,,,,,,,,,,,,,,,,,,,,,
1210,ἀρχομένων,ἄρχω,,,,,,,,v-pppemg-,,,,,,,,,,,,,,,,,,,,,,
1221,σκοπεῖν,,,,σκοπέω,,,,,v--pna---,,,,,,,,,,,,,,,,,,,,,,
1222,ποτ᾽,ποτέ,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
1234,μέση,μέση,,,μέσος,,,,,n-s---fn-,,,,,,,,,,,,,,,,,,,,,,
1237,κοινοτάτην,κοινός,,,,,,,,a-s---fas,,,,,,,,,,,,,,,,,,,,,,
1246,ἔνιοι,ἔνιοι,,,,,,,,a-p---mn-,,,,,,,,,,,,,,,,,,,,,,
1248,μεμειγμένην,μίγνυμι,,,μείγνυμι,,,,,v-srpefa-,,,,,,,,,,,,,,,,,,,,,,
1255,λέγοντες,,,,λέγω,,,,,v-pppamn-,,,,,,,,,,,,,,,,,,,,,,
1268,δέον,,,,,δέω,,,,v-sppann-,v-sppana-,,,,,,,,,,,,,,,,,,,,,
1269,συγκεῖσθαι,σύγκειμαι,,,,,,,,v--pne---,,,,,,,,,,,,,,,,,,,,,,
1274,μιγνύντες,μίγνυμι,,,,,,,,v-pppamn-,,,,,,,,,,,,,,,,,,,,,,
1275,συγκειμένη,σύγκειμαι,,,,,,,,v-srpefn-,,,,,,,,,,,,,,,,,,,,,,
1286,ἀμφοῖν,ἄμφω,,,,,,,,a-d---fd-,,,,,,,,,,,,,,,,,,,,,,
1287,εὐπορωτέροις,εὔπορος,,,,,,,,a-p---mdc,,,,,,,,,,,,,,,,,,,,,,
1288,ἐπάναγκες,ἐπανάγκης,,,,,,,,a-s---na-,a-s---nn-,,,,,,,,,,,,,,,,,,,,,
1293,πειρᾶσθαι,,,,πειράω,,,,,v--fnm---,,,,,,,,,,,,,,,,,,,,,,
1295,μεγίστας,μέγας,,,,,,,,a-p---fas,,,,,,,,,,,,,,,,,,,,,,
1296,μεγίστων,μέγας,,,,,,,,a-p---ngs,,,,,,,,,,,,,,,,,,,,,,
1306,εἴτ᾽,εἴτα,,,εἴτε,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
1320,ἐνίους,ἔνιοι,,,,,,,,a-p---ma-,,,,,,,,,,,,,,,,,,,,,,
1331,θέλουσι,,,,θέλω,,,,,v3ppia---,,,,,,,,,,,,,,,,,,,,,,
1336,Νόμοις,,,,νόμος,,,,,n-p---md-,,,,,,,,,,,,,,,,,,,,,,
1343,πολιτεύονται,πολιτεύω,,,,,,,,v3ppie---,,,,,,,,,,,,,,,,,,,,,,
1344,ἐγγύτερόν,,,,ἐγγύς,,,,,a-s---nnc,,,,,,,,,,,,,,,,,,,,,,
1361,τάχιστ᾽,ταχύς,,,,,,,,a-p---nas,,,,,,,,,,,,,,,,,,,,,,
1363,προῖκας,προίξ,,,,,,,,n-p---fa-,,,,,,,,,,,,,,,,,,,,,,
1385,πολιτικὴν,πολιτικός,,,,,,,,a-s---fa-,,,,,,,,,,,,,,,,,,,,,,
1387,φαίνονται,φαίνω,,,,,,,,v3ppie---,,,,,,,,,,,,,,,,,,,,,,
1406,διασῴζειν,διασῴζω,,,,,,,,v--pna---,,,,,,,,,,,,,,,,,,,,,,
1418,γλίσχρως,γλίσχρος,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
1421,στοχαστέον,στοχαστέος,,,,,,,,a-s---nn-,,,,,,,,,,,,,,,,,,,,,,
1437,συναμφοτέρων,,,,συναμφότερος,,,,,a-p---ng-,,,,,,,,,,,,,,,,,,,,,,
1441,ἑκάτερον,ἑκάτερος,,,,,,,,a-s---na-,,,,,,,,,,,,,,,,,,,,,,
1448,ἠμὲν,ἠμὲν,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
1469,ἡδοναῖς,,,,ἡδονή,,,,,n-p---fd-,,,,,,,,,,,,,,,,,,,,,,
1476,αὑτῶν,ἑαυτοῦ,,,,,,,,p-p---ng-,p-p---mg-,,,,,,,,,,,,,,,,,,,,,
1482,μέγιστα,μέγας,,,,,,,,a-p---nas,,,,,,,,,,,,,,,,,,,,,,
1484,τυραννοῦσιν,τυραννεύω,,,,,,,,v3ppia---,,,,,,,,,,,,,,,,,,,,,,
1485,ῥιγῶσιν,ῥιγέω,,,ῥιγόω,,,,,v3ppsa---,,,,,,,,,,,,,,,,,,,,,,
1494,Φαλέου,Φαλέας,,,,,,,,n-s---mg-,,,,,,,,,,,,,,,,,,,,,,
1496,αὑτοὺς,ἑαυτοῦ,,,,,,,,p-p---ma-,,,,,,,,,,,,,,,,,,,,,,
1497,πολιτεύσονται,πολιτεύω,,,,,,,,v3pfim---,,,,,,,,,,,,,,,,,,,,,,
1510,πλησίον,πλησίος,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
1511,κρείττους,ἀγαθός,,,,,,,,a-p---mnc,a-p---mac,,,,,,,,,,,,,,,,,,,,,
1516,ἐπιόντας,ἔπειμι,,,,,,,,v-pppama-,,,,,,,,,,,,,,,,,,,,,,
1521,κρείττοσι,ἀγαθός,,,,,,,,a-p---mdc,,,,,,,,,,,,,,,,,,,,,,
1525,Αὐτοφραδάτου,Αὐτοφραδάτης,,,,,,,,n-s---mg-,,,,,,,,,,,,,,,,,,,,,,
