,@form,gorman_lemma_1,gorman_lemma_2,gpt_lemma_1,gpt_lemma_2,postag_1,postag_2,postag_3,lemma_pedalion_1,lemma_pedalion_2,lemma_pedalion_3,lemma_pedalion_4,lemma_pedalion_5,lemma_pedalion_6,lemma_pedalion_7,lemma_pedalion_8,lemma_pedalion_9,lemma_pedalion_10,lemma_pedalion_11,lemma_pedalion_12,lemma_pedalion_13,lemma_pedalion_14,lemma_pedalion_15,lemma_pedalion_16,lemma_pedalion_17
222,ἐρῶ,,,λέγω,,v1sfia---,,,,,,,,,,,,,,,,,,,
223,πρεσβυτέρων,πρέσβυς,,,,a-p---mgc,,,,,,,,,,,,,,,,,,,
234,ἐνίοις,ἔνιοι,,,,a-p---md-,,,,,,,,,,,,,,,,,,,
246,αἰσχρῶς,αἰσχρός,,,,d--------,,,,,,,,,,,,,,,,,,,
247,φανερῶς,φανερός,,,,d--------,,,,,,,,,,,,,,,,,,,
253,λέξω,,,λέγω,,v1sfia---,,,,,,,,,,,,,,,,,,,
255,καλῶς,καλός,,,,d--------,,,,,,,,,,,,,,,,,,,
259,Ἀστυόχου,Ἀστύοχος,,,,n-s---mg-,,,,,,,,,,,,,,,,,,,
264,Κλεαγόρου,Κλεαγόρας,,,,n-s---mg-,,,,,,,,,,,,,,,,,,,
273,πλείστων,,,πολύς,,a-p---mgs,,,,,,,,,,,,,,,,,,,
283,ἀδελφιδοῦν,ἀδελφιδέος,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,
290,κρινομένου,κρίνω,,,,v-sppemg-,,,,,,,,,,,,,,,,,,,
294,ἰδεῖν,,,ὁράω,,v--ana---,,,,,,,,,,,,,,,,,,,
301,Διονυσίοις,,,Διονύσια,,n-p---nd-,,,,,,,,,,,,,,,,,,,
302,κωμῳδῶν,κωμῳδός,,,,n-p---mg-,,,,,,,,,,,,,,,,,,,
316,Τιμαρχώδεις,,,Τιμαρχώδης,,a-p---ma-,,,,,,,,,,,,,,,,,,,
324,Ἀντικλέα,Ἀντικλέης,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,
326,Φειδίαν,,,Φειδίας,,n-s---ma-,,,,,,,,,,,,,,,,,,,
328,Μελησίου,Μελησίας,,,,n-s---mg-,,,,,,,,,,,,,,,,,,,
329,εἰπεῖν,,,λέγω,,v--ana---,,,,,,,,,,,,,,,,,,,
339,ἀπεχθείας,ἀπέχθεια,,,,n-p---fa-,,,,,,,,,,,,,,,,,,,
344,τίς,τις,,,,p-s---mn-,a-s---mn-,,,,,,,,,,,,,,,,,,
351,ξένον,,,ξένος,,n-s---ma-,,,,,,,,,,,,,,,,,,,
354,παρήδρευεν,παρεδρεύω,,,,v3siia---,,,,,,,,,,,,,,,,,,,
360,αὑτὸν,ἑαυτοῦ,,,,p-s---ma-,,,,,,,,,,,,,,,,,,,
365,λέγων,,,λέγω,,v-sppamn-,,,,,,,,,,,,,,,,,,,
389,πικρῶς,πικρός,,,,d--------,,,,,,,,,,,,,,,,,,,
392,τοιούτων,τοιοῦτος,,,,p-p---mg-,a-p---ng-,a-p---mg-,,,,,,,,,,,,,,,,,
398,ἐπειδὴ,,,ἐπειδή,,c--------,,,,,,,,,,,,,,,,,,,
400,προελόμενοί,προαιρέω,,,,v-papmmn-,,,,,,,,,,,,,,,,,,,
401,διεξεληλύθαμεν,διεξέρχομαι,,,,v1pria---,,,,,,,,,,,,,,,,,,,
403,ἐρωμένους,ἐράω,,,,v-pppema-,,,,,,,,,,,,,,,,,,,
408,ἀποκρίνασθε,ἀποκρίνω,,,,v2pamm---,,,,,,,,,,,,,,,,,,,
414,καταλιπὼν,,,καταλείπω,,v-sapamn-,,,,,,,,,,,,,,,,,,,
423,λέγειν,,,λέγω,,v--pna---,,,,,,,,,,,,,,,,,,,
445,ἑαυτὸν,ἑαυτοῦ,,,,p-s---ma-,,,,,,,,,,,,,,,,,,,
448,παντελῶς,παντελής,,,,d--------,,,,,,,,,,,,,,,,,,,
455,εἰκότως,ἐοικότως,,,,d--------,,,,,,,,,,,,,,,,,,,
460,ἡδονὰς,,,ἡδονή,,n-p---fa-,,,,,,,,,,,,,,,,,,,
466,πρεσβύτερον,πρέσβυς,,,,a-s---mac,,,,,,,,,,,,,,,,,,,
500,καταλείπεται,,,καταλείπω,,v3spie---,,,,,,,,,,,,,,,,,,,
506,λεγόμενον,,,λέγω,,v-sppena-,,,,,,,,,,,,,,,,,,,
516,οὐναντίον,ἐναντίος,,,,a-s---na-,,,,,,,,,,,,,,,,,,,
522,ἐψεύσθω,ψεύδω,,,,v3srme---,,,,,,,,,,,,,,,,,,,
526,πρεσβύτερος,πρέσβυς,,,,a-s---mnc,,,,,,,,,,,,,,,,,,,
534,λέξει,,,λέγω,,v3sfia---,,,λέξις,,,,,,,,,,,,,,,,
543,εἰρῆσθαι,,,,,v--fnm---,,,λέγω,,,,,,,,,,,,,,,,
553,προσοφλὼν,προσοφλισκάνω,,,,v-sapamn-,,,,,,,,,,,,,,,,,,,
554,ἄπεισιν,,,ἄπειμι,,v3ppia---,,,,,,,,,,,,,,,,,,,
561,λεγέτω,,,λέγω,,v3spma---,,,,,,,,,,,,,,,,,,,
568,ἐρεῖ,,,,λέγω,v3sfia---,,,,,,,,,,,,,,,,,,,
570,αὑτῷ,ἑαυτοῦ,,,,p-s---md-,,,,,,,,,,,,,,,,,,,
572,ὁστισδηποτοῦν,ὅστις,,,,p-s---mn-,,,,,,,,,,,,,,,,,,,
574,κἀγὼ,ἐγώ,,καί ἐγώ,,p1s---mn-,,,,,,,,,,,,,,,,,,,
588,πράττεις,πράσσω,,,,v2spia---,,,,,,,,,,,,,,,,,,,
595,σύνηθες,συνήθης,,,,a-s---nn-,,,,,,,,,,,,,,,,,,,
601,προϊδόμενος,,,προοράω,,v-sapmmn-,,,,,,,,,,,,,,,,,,,
604,διεξῆλθον,διεξέρχομαι,,,,v1saia---,,,,,,,,,,,,,,,,,,,
605,λέγεται,,,λέγω,,v3spie---,,,,,,,,,,,,,,,,,,,
608,Ἀντικλεῖ,Ἀντικλέης,,,,n-s---md-,,,,,,,,,,,,,,,,,,,
612,προσιὼν,,,,,v-sppamn-,,,πρόσειμι,,,,,,,,,,,,,,,,
627,σαφῶς,σαφής,,,,d--------,,,,,,,,,,,,,,,,,,,
628,διωρισμένων,,,διορίζω,,v-prpeng-,,,,,,,,,,,,,,,,,,,
637,λεγομέναις,,,λέγω,,v-pppefd-,,,,,,,,,,,,,,,,,,,
638,ἄν,,,ἄν,,d--------,,,ἐάν,,,,,,,,,,,,,,,,
651,ἀναμειχθήσεται,,,ἀναμείγνυμι,,v3sfip---,,,,,,,,,,,,,,,,,,,
663,ἔλαττον,,,,,a-s---nnc,,,,ἐλαχύς,,,,,,,,,,,,,,,
680,εὐθύνας,εὔθυνα,,,,n-p---fa-,,,,,,,,,,,,,,,,,,,
682,πρεσβείας,,,πρεσβεία,,n-s---fg-,,,,,,,,,,,,,,,,,,,
692,λέγοι,,,λέγω,,v3spoa---,,,,,,,,,,,,,,,,,,,
698,ποτε,ποτέ,,,,d--------,,,,,,,,,,,,,,,,,,,
703,συγγενῆ,,,συγγενής,,n-d---mn-,,,,,,,,,,,,,,,,,,,
707,διείλεγμαι,διαλέγω,,,,v1srie---,,,,,,,,,,,,,,,,,,,
713,ἐπαγγέλμασιν,ἐπάγγελμα,,,,n-p---nd-,,,,,,,,,,,,,,,,,,,
716,αὑτοῦ,ἑαυτοῦ,,,,p-s---mg-,,,,,,,,,,,,,,,,,,,
725,λέγοντος,,,λέγω,,v-sppamg-,,,,,,,,,,,,,,,,,,,
727,ὅλως,ὅλος,,,,d--------,,,,,,,,,,,,,,,,,,,
734,παρακρουσθῆναι,παρακρούω,,,,v--anp---,,,,,,,,,,,,,,,,,,,
739,ἄρξομαι,ἄρχω,,,,v1sfim---,,,,,,,,,,,,,,,,,,,
743,περιῄει,περίειμι,,,,v3siia---,,,,,,,,,,,,,,,,,,,
757,κατιδὼν,,,καθοράω,,v-sapamn-,,,,,,,,,,,,,,,,,,,
761,ἡγεμὼν,ἡγεμών,,,,n-s---fn-,,,,,,,,,,,,,,,,,,,
762,γυνὴ,γυνή,,,,n-s---fn-,,,,,,,,,,,,,,,,,,,
765,νοῦν,νόος,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,
768,ὀρφανὸς,ὀρφανός,,,,a-s---mn-,,,,,,,,,,,,,,,,,,,
769,ἡμιμανὴς,ἡμιμανής,,,,a-s---mn-,,,,,,,,,,,,,,,,,,,
774,ἐραστὴς,ἐραστής,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,
787,εἰσηγητὴς,εἰσηγητής,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,
795,ἐφόδια,,,ἐφόδιον,,n-p---na-,,,,,,,,,,,,,,,,,,,
796,τρία,,,τρεῖς,,m--------,,,,,,,,,,,,,,,,,,,
806,δείλαιος,δείλαιος,,,,a-s---mn-,,,,,,,,,,,,,,,,,,,
808,ὀφθαλμοὺς,ὀφθαλμός,,,,n-p---ma-,,,,,,,,,,,,,,,,,,,
809,γλῶτταν,γλῶσσα,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,
817,σοφιστὴν,σοφιστής,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,
819,Κριτίαν,,,Κριτίας,,n-s---ma-,,,,,,,,,,,,,,,,,,,
838,κατεπαγγέλλεται,κατεπαγγέλλομαι,,,,v3spie---,,,,,,,,,,,,,,,,,,,
840,ἐργολαβῶν,ἐργολαβέω,,,,v-sppamn-,,,,,,,,,,,,,,,,,,,
844,μεταλλάξας,,,μεταλλάσσω,,v-sapamn-,,,,,,,,,,,,,,,,,,,
847,περιστήσειν,περιίστημι,,,,v--fna---,,,,,,,,,,,,,,,,,,,
849,θαρρεῖν,θαρσέω,,,,v--pna---,,,,,,,,,,,,,,,,,,,
852,ἐκπεπλῆχθαι,ἐκπλήσσω,,,,v--rne---,,,,,,,,,,,,,,,,,,,
854,πεφοβῆσθαι,φοβέω,,,,v--rne---,,,,,,,,,,,,,,,,,,,
866,-δὲ,δέ,,,,d--------,c--------,,,,,,,,,,,,,,,,,,
898,ἐπήρτησα,ἐπαρτάω,,,,v1saia---,,,,,,,,,,,,,,,,,,,
911,πανταχῇ,πανταχῆ,,,,d--------,,,,,,,,,,,,,,,,,,,
935,ὀργίζεσθαι,ὀργίζω,,,,v--pne---,,,,,,,,,,,,,,,,,,,
939,κεφαλαίῳ,κεφάλαιος,,,,a-s---nd-,,,,,,,,,,,,,,,,,,,
945,ἀφιῆτε,,,ἀφίημι,,v2pfia---,,,,,,,,,,,,,,,,,,,
957,ἐπιπλήξεις,ἐπίπληξις,,,,n-p---fa-,,,,,,,,,,,,,,,,,,,
962,οὔ,οὐ,,,,d--------,,,,,,,,,,,,,,,,,,,
963,-τε,τε,,,,d--------,c--------,,,,,,,,,,,,,,,,,,
968,-τ᾽,τε,,,,c--------,d--------,,,,,,,,,,,,,,,,,,
975,φύντες,,,φύω,,v-papamn-,,,,,,,,,,,,,,,,,,,
981,ἀλαζονευμάτων,ἀλαζόνευμα,,,,n-p---ng-,,,,,,,,,,,,,,,,,,,
984,ἀδικώτατον,ἄδικος,,,,a-s---nas,,,,,,,,,,,,,,,,,,,
997,ἐμπεσόντες,,,ἐμπίπτω,,v-papamn-,,,,,,,,,,,,,,,,,,,
999,ἐξέρχεσθ᾽,ἐξέρχομαι,,,,v2ppie---,,,,,,,,,,,,,,,,,,,
1018,εὐχερῶς,εὐχερής,,,,d--------,,,,,,,,,,,,,,,,,,,
1025,ξενικὰς,ξενικός,,,,a-p---fa-,,,,,,,,,,,,,,,,,,,
1026,ἀρετὰς,ἀρετή,,,,n-p---fa-,,,,,,,,,,,,,,,,,,,
1038,ψηφίζεσθαι,,,ψηφίζω,,v--pne---,,,,,,,,,,,,,,,,,,,
1044,ἐπωνυμίαν,ἐπωνύμιος,,ἐπωνυμία,,a-s---fa-,,,,,,,,,,,,,,,,,,,
1046,μεγίστην,μέγας,,,,a-s---fas,,,,,,,,,,,,,,,,,,,
1052,ἰσχυρῶς,ἰσχυρός,,,,d--------,,,,,,,,,,,,,,,,,,,
1068,τινὰ,τις,,,,a-s---ma-,a-s---fa-,,,,,,,,,,,,,,,,,,
1083,ψηφίσωνται,,,ψηφίζω,,v3pase---,,,,,,,,,,,,,,,,,,,
1105,πλείστου,,,πολύς,,a-s---ngs,,,,,,,,,,,,,,,,,,,
1109,εὑρὼν,εὑρίσκω,,,,v-sapamn-,,,,,,,,,,,,,,,,,,,
1118,ἔρημον,ἐρῆμος,,,,a-s---fa-,,,,,,,,,,,,,,,,,,,
1120,προδήλως,πρόδηλος,,,,d--------,,,,,,,,,,,,,,,,,,,
1123,συγκαθειργμένη,συγκαθείργω,,,,v-srpefn-,,,,,,,,,,,,,,,,,,,
1137,ἀρχαίως,ἀρχαῖος,,,,d--------,,,,,,,,,,,,,,,,,,,
1138,σεμνῶς,σεμνός,,,,d--------,,,,,,,,,,,,,,,,,,,
1147,ἱερὰ,ἱερόν,,,,n-p---na-,,,,ἱερός,,,,,,,,,,,,,,,
1148,εἰσιέναι,εἰσίημι,,εἴσειμι,,v--pna---,,,,,,,,,,,,,,,,,,,
1150,ἀναμειγνυμένη,,,ἀναμείγνυμι,,v-sppefn-,,,,,,,,,,,,,,,,,,,
1152,εἰσίῃ,εἴσειμι,,,,v3spsa---,,,,,,,,,,,,,,,,,,,
1160,εἰργόμενον,,,εἴργω,,v-sppema-,,,,,,,,,,,,,,,,,,,
1164,ἀτιμῶν,ἀτιμάω,,,,v-sppamn-,,,,,,,,,,,,,,,,,,,
1169,προαγωγοὺς,προαγωγός,,,,n-p---fa-,n-p---ma-,,,,,,,,,,,,,,,,,,
1172,ζημιοῦν,ζημιόω,,,,v--pna---,,,,,,,,,,,,,,,,,,,
1176,αἰσχυνομένων,αἰσχύνω,,,,v-pppemg-,,,,,,,,,,,,,,,,,,,
1207,ἐπάνεισιν,ἐπάνειμι,,,,v3spia---,,,,,,,,,,,,,,,,,,,
1210,-θ᾽,τε,,,,d--------,c--------,,,,,,,,,,,,,,,,,,
1214,κάλλιστος,καλός,,,,a-s---mns,,,,,,,,,,,,,,,,,,,
1216,ἐρέσθαι,ἔρομαι,,,,v--anm---,,,,,,,,,,,,,,,,,,,
1217,παισὶ,παῖς,,,,n-p---md-,,,,,,,,,,,,,,,,,,,
1222,πρόχειρον,πρόχειρον,,πρόχειρος,,n-s---nn-,,,,,,,,,,,,,,,,,,,
1223,λέξετε,,,λέγω,,v2pfia---,,,,,,,,,,,,,,,,,,,
1228,ἔρωνται,ἔρομαι,,,,v3pasm---,,,,,,,,,,,,,,,,,,,
1253,καθαρὸς,καθαρός,,,,a-s---mn-,,,,,,,,,,,,,,,,,,,
1264,οἴκοι,οἴκοι,,,,d--------,,,,,,,,,,,,,,,,,,,
1274,πεπρακώς,πιπράσκω,,,,v-srpamn-,,,,,,,,,,,,,,,,,,,
1275,ἐλεήσειεν,,,ἐλεέω,,v3saoa---,,,,,,,,,,,,,,,,,,,
1276,ἐλεήσας,,,ἐλεέω,,v-sapamn-,,,,,,,,,,,,,,,,,,,
1277,τίνι,τις,,,,p-s---md-,,,,,,,,,,,,,,,,,,,
1281,παρῶμεν,πάρειμι,,,,v1ppsa---,,,,,,,,,,,,,,,,,,,
1285,ἀναιδείας,ἀναίδεια,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,
1287,ὑπεριδών,,,ὑπεροράω,,v-sapamn-,,,,,,,,,,,,,,,,,,,
1296,πλείστους,,,πολύς,,a-p---mas,,,,,,,,,,,,,,,,,,,
1299,ἀνατετροφότας,ἀνατρέφω,,ἀνατρέπω,,v-prpama-,,,,,,,,,,,,,,,,,,,
1305,ἀσελγείας,ἀσέλγεια,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,
1307,καθάπερ,,,καθάπερ,,c--------,,,,,,,,,,,,,,,,,,,
1312,δᾳσὶν,δαίς,,,,n-p---fd-,,,,,,,,,,,,,,,,,,,
1315,ἡδοναὶ,,,,,n-p---fn-,,,ἡδονή,,,,,,,,,,,,,,,,
1316,ἱκανὸν,ἱκανός,,,,a-s---na-,,,,,,,,,,,,,,,,,,,
1319,λῃστήρια,λῃστήριον,,,,n-p---na-,,,,,,,,,,,,,,,,,,,
1331,πείσονται,πάσχω,,πείθω,,v3pfim---,,,,,,,,,,,,,,,,,,,
1340,ζηλώματα,ζήλωμα,,,,n-p---na-,,,,,,,,,,,,,,,,,,,
1341,ἀρετὴν,ἀρετή,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,
1346,ῥηθήσεσθαι,,,λέγω,,v--fnp---,,,,,,,,,,,,,,,,,,,
1353,κρείττων,,,,,a-s---mnc,,,κρατύς,,,,,,,,,,,,,,,,
1354,ἀγὼν,ἀγών,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,
1359,τισὶ,τις,,,,p-p---md-,,,,,,,,,,,,,,,,,,,
1363,γνωριμώτατος,γνώριμος,,,,a-s---mns,,,,,,,,,,,,,,,,,,,
1368,καιρὸς,καιρός,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,
1370,ἁθρόους,ἀθρόος,,,,a-p---ma-,,,,,,,,,,,,,,,,,,,
1371,ἀποσκήψατε,ἀποσκήπτω,,,,v2pama---,,,,,,,,,,,,,,,,,,,
1372,παρασκευὴν,παρασκευή,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,
1375,ὀνομαστὶ,ὀνομαστί,,,,d--------,,,,,,,,,,,,,,,,,,,
1381,ἀφελὼν,ἀφαιρέω,,,,v-sapamn-,,,,,,,,,,,,,,,,,,,
1382,διεξιὼν,διέξειμι,,,,v-sppamn-,,,,,,,,,,,,,,,,,,,
1391,παρίασιν,πάρειμι,,,,v3ppia---,,,,,,,,,,,,,,,,,,,
1397,πατρῴας,πατρῷος,,,,a-p---fa-,,,,,,,,,,,,,,,,,,,
1400,κεχρημένοι,,,,,v-prpemn-,,,χράω,,,,,,,,,,,,,,,,
1405,κεχρημένων,,,,,v-prpemg-,,,χράω,,,,,,,,,,,,,,,,
1423,κατεδηδοκότας,κατεσθίω,,,,v-prpama-,,,,,,,,,,,,,,,,,,,
1430,θηρευτὰς,θηρευτής,,,,n-p---ma-,,,,,,,,,,,,,,,,,,,
1432,ξένους,,,ξένος,,n-p---ma-,,,,,,,,,,,,,,,,,,,
1451,φιλοτιμότερον,φιλότιμος,,,,a-s---nac,,,,,,,,,,,,,,,,,,,
1456,μη-δ᾽,,,μηδέ,,,,,,,,,,,,,,,,,,,,,
1457,τ- -ἀναντί᾽,,,ἐναντίος,,,,,,,,,,,,,,,,,,,,,
1458,κ- ἀγὼ,,,ἐγώ,,,,,,,,,,,,,,,,,,,,,
1459,χ- ὤστις,,,ὅστις,,,,,,,,,,,,,,,,,,,,,
1460,τ- ἀληθές,,,ἀληθής,,,,,,,,,,,,,,,,,,,,,
1461,ἐναντίον,,,ἐναντίος,,,,,,,,,,,,,,,,,,,,,
1462,ἡγεμών,,,ἡγεμών,,,,,,,,,,,,,,,,,,,,,
1463,γυνή,,,γυνή,,,,,,,,,,,,,,,,,,,,,
1464,ὀρφανός,,,ὀρφανός,,,,,,,,,,,,,,,,,,,,,
1465,ἡμιμανής,,,ἡμιμανής,,,,,,,,,,,,,,,,,,,,,
1466,ἐραστής,,,ἐραστής,,,,,,,,,,,,,,,,,,,,,
1467,εἰσηγητής,,,εἰσηγητής,,,,,,,,,,,,,,,,,,,,,
1468,ὀφθαλμούς,,,ὀφθαλμός,,,,,,,,,,,,,,,,,,,,,
1469,σοφιστήν,,,σοφιστής,,,,,,,,,,,,,,,,,,,,,
1470,τινές,,,τις,,,,,,,,,,,,,,,,,,,,,
1471,οὐδὲ,,,οὐδέ,,,,,,,,,,,,,,,,,,,,,
1472,μηδὲ,,,μηδέ,,,,,,,,,,,,,,,,,,,,,
1473,κ᾽,,,καί,,,,,,,,,,,,,,,,,,,,,
1474,οὔτε,,,οὔτε,,,,,,,,,,,,,,,,,,,,,
1475,οὔτ᾽,,,οὔτε,,,,,,,,,,,,,,,,,,,,,
1476,ἐξέρχεσθε,,,ἐξέρχομαι,,,,,,,,,,,,,,,,,,,,,
1477,ξενικάς,,,ξενικός,,,,,,,,,,,,,,,,,,,,,
1478,ἀρετάς,,,ἀρετή,,,,,,,,,,,,,,,,,,,,,
1479,τινά,,,τις,,,,,,,,,,,,,,,,,,,,,
1480,εὑρών,,,εὑρίσκω,,,,,,,,,,,,,,,,,,,,,
1481,ἱερά,,,ἱερόν,,,,,ἱερός,,,,,,,,,,,,,,,,
1482,προαγωγούς,,,προαγωγός,,,,,,,,,,,,,,,,,,,,,
1483,οὔθ᾽,,,οὔτε,,,,,,,,,,,,,,,,,,,,,
1484,παισί,,,παῖς,,,,,,,,,,,,,,,,,,,,,
1485,οὐδενός,,,οὐδείς,,,,,,,,,,,,,,,,,,,,,
1486,καθαρός,,,καθαρός,,,,,,,,,,,,,,,,,,,,,
1487,ἡδοναί,,,ἡδονή,,,,,,,,,,,,,,,,,,,,,
1488,ἱκανόν,,,ἱκανός,,,,,,,,,,,,,,,,,,,,,
1489,ληστήρια,,,ληστήριον,,,,,,,,,,,,,,,,,,,,,
1490,οὐδ᾽,,,οὐδέ,,,,,,,,,,,,,,,,,,,,,
1491,ἀγών,,,ἀγών,,,,,,,,,,,,,,,,,,,,,
1492,τισί,,,τις,,,,,,,,,,,,,,,,,,,,,
1493,πολλούς,,,πολύς,,,,,,,,,,,,,,,,,,,,,
1494,καιρός,,,καιρός,,,,,,,,,,,,,,,,,,,,,
1495,παρασκευήν,,,παρασκευή,,,,,,,,,,,,,,,,,,,,,
1496,ὀνομαστί,,,ὀνομαστί,,,,,,,,,,,,,,,,,,,,,
1497,ἀφελών,,,ἀφαιρέω,,,,,,,,,,,,,,,,,,,,,
1498,θηρευτάς,,,θηρευτής,,,,,,,,,,,,,,,,,,,,,
1499,μήτε,,,μήτε,,,,,,,,,,,,,,,,,,,,,
