,@form,gorman_lemma_1,gorman_lemma_2,gorman_lemma_3,gpt_lemma_1,gpt_lemma_2,gpt_lemma_3,gpt_lemma_4,postag_1,postag_2,postag_3,postag_4,lemma_pedalion_1,lemma_pedalion_2,lemma_pedalion_3,lemma_pedalion_4,lemma_pedalion_5,lemma_pedalion_6,lemma_pedalion_7,lemma_pedalion_8,lemma_pedalion_9,lemma_pedalion_10,lemma_pedalion_11,lemma_pedalion_12,lemma_pedalion_13,lemma_pedalion_14,lemma_pedalion_15,lemma_pedalion_16,lemma_pedalion_17
329,ὅ,ὅς,ὁ,,,,,,p-s---na-,l-s---mn-,,,,,,,,,,,,,,,,,,,
330,τι,τις,,,,,,,a-s---na-,p-s---na-,,,,,,,,,,,,,,,,,,,
333,εὐθὺς,,,,εὐθύς,,,,d--------,,,,,,,,,,,,,,,,,,,,
334,ἄρχοντες,ἄρχω,,,ἄρχων,,,,v-pppamn-,,,,,,,,,,,,,,,,,,,,
344,ἀσφαλῶς,ἀσφαλής,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,
346,διέθει,διαθέω,,,,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
349,τούσδε,ὅδε,,,,,,,p-p---ma-,,,,,,,,,,,,,,,,,,,,
351,συμφορὰν,συμφορά,,,,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,,
376,ἐφίστανον,ἐφιστάνω,,,ἐφίστημι,,,,v3piia---,,,,,,,,,,,,,,,,,,,,
381,Γαλατίαν,,,,Γαλατία,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,,
391,ἐπικουρεῖν,,,,ἐπικουρέω,,,,v--pna---,,,,,,,,,,,,,,,,,,,,
395,Κολλίναις,Κολλῖνος,,,,,,,n-p---fd-,,,,,,,,,,,,,,,,,,,,
401,Τυρρηνίαν,,,,Τυρρηνία,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,,
410,που,πού,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,
414,ἔμπλεως,ἔμπλεος,,,,,,,a-s---mn-,,,,,,,,,,,,,,,,,,,,
415,ἐπῄει,ἔπειμι,,,,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
421,ἓξ,ἓξ,,,,,,,m--------,,,,,,,,,,,,,,,,,,,,
423,ὑπερεπαίρων,,,,ὑπερεπαίρω,,,,v-sppamn-,,,,,,,,,,,,,,,,,,,,
429,πιστὸς,,,,πιστός,,,,a-s---mn-,,,,,,,,,,,,,,,,,,,,
435,ἀσμένως,ἄσμενος,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,
437,παρόντων,πάρειμι,,,,,,,v-pppang-,v-pppamg-,,,,,,,,,,,,,,,,,,,
439,ἀνεμίχθησαν,ἀναμίγνυμι,,,,,,,v3paip---,,,,,,,,,,,,,,,,,,,,
440,ἐστρατοπέδευον,,,,στρατοπεδεύω,,,,v3piia---,,,,,,,,,,,,,,,,,,,,
443,τρία,,τρεῖς,,,,,,n-p---na-,a-p---na-,,,,,,,,,,,,,,,,,,,
449,ἄνω,,,,ἄνω,,,,d--------,,,,,,,,,,,,,,,,,,,,
451,ζευγνύντες,ζεύγνυμι,,,,,,,v-pppamn-,,,,,,,,,,,,,,,,,,,,
467,Γαλατίας,,,,Γαλατία,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,
471,δεόμενοι,,,,,,,,v-pppemn-,,,,δέω,,,,,,,,,,,,,,,,
475,πεπερακότα,περάω,,,,,,,v-srpama-,,,,,,,,,,,,,,,,,,,,
481,Σαυνίτας,Σαυνῖται,,,,,,,n-p---ma-,,,,,,,,,,,,,,,,,,,,
485,εὐπρεπῶς,εὐπρεπής,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,
489,Σαυνίταις,Σαυνῖται,,,,,,,n-p---md-,,,,,,,,,,,,,,,,,,,,
496,Σαυνῖται,Σαυνῖται,,,,,,,n-p---mn-,,,,,,,,,,,,,,,,,,,,
505,Ἰάνουκλον,Ἰάνουκλος,,,,,,,n-s---ma-,n-s---na-,,,,,,,,,,,,,,,,,,,
507,ποτε,ποτέ,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,
511,ἀναμνήσας,,,,ἀναμιμνῄσκω,,,,v-sapamn-,,,,,,,,,,,,,,,,,,,,
513,ὑπανοιχθείσης,ὑπανοίγω,,,,,,,v-sappfg-,,,,,,,,,,,,,,,,,,,,
515,ἕω,ἠώς,,,,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,,
516,ἐσεδέξατο,εἰσδέχομαι,,,,,,,v3saim---,,,,,,,,,,,,,,,,,,,,
519,ἐξεώσθησαν,ἐξωθέω,,,,,,,v3paip---,,,,,,,,,,,,,,,,,,,,
522,ἐπιδραμόντων,ἐπιτρέχω,,,,,,,v-papamg-,,,,,,,,,,,,,,,,,,,,
526,καταρραγέντων,καταρρήγνυμι,,,,,,,v-pappmg-,,,,,,,,,,,,,,,,,,,,
554,εὐθαρσῶς,εὐθαρσής,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,
562,ἀχθῆναι,ἄγω,,,,,,,v--anp---,,,,,,,,,,,,,,,,,,,,
572,Ἀλβανὸν,Ἀλβανόν,,,,,,,n-s---na-,,,,,,,,,,,,,,,,,,,,
573,ἀντικαθημένων,ἀντικάθημαι,,,,,,,v-prpmmg-,,,,,,,,,,,,,,,,,,,,
587,κήρυκας,κῆρυξ,,,,,,,n-p---ma-,,,,,,,,,,,,,,,,,,,,
599,πρέσβεις,πρέσβις,,,πρέσβυς,,,,n-p---ma-,,,,,,,,,,,,,,,,,,,,
617,καταφρονητικῶς,καταφρονητικός,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,
624,ἐστρατοπέδευεν,,,,στρατοπεδεύω,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
625,ἀπορούντων,,,,ἀπορέω,,,,v-pppamg-,,,,,,,,,,,,,,,,,,,,
629,διαπρεσβεύσεις,διαπρέσβευσις,,,,,,,n-p---fa-,,,,,,,,,,,,,,,,,,,,
630,ἀπέχειν,ἀπέχω,,,,,,,v--pna---,,,,,,,,,,,,,,,,,,,,
631,ἀποροῦσα,,,,ἀπορέω,,,,v-sppafn-,,,,,,,,,,,,,,,,,,,,
640,ἄκουσα,ἀέκων,ἄκων,,,,,,a-s---fn-,,,,,,,,,,,,,,,,,,,,
648,ἐπομόσαι,ἐπόμνυμι,,,,,,,v--ana---,,,,,,,,,,,,,,,,,,,,
665,ἄκοντος,ἀέκων,,,ἄκων,,,,a-s---mg-,,,,,,,,,,,,,,,,,,,,
669,καθάπερ,,,,καθάπερ,,,,c--------,d--------,,,,,,,,,,,,,,,,,,,
671,ἀπεκρίνατο,,,,,,,,v3saim---,,,,ἀποκρίνω,,,,,,,,,,,,,,,,
687,ἐπιγράφεσθαἰ,ἐπιγράφω,,,,,,,v--pne---,,,,,,,,,,,,,,,,,,,,
700,ἐσῄεσαν,εἴσειμι,,,,,,,v3piia---,,,,,,,,,,,,,,,,,,,,
703,ἀκωλύτως,ἀκώλυτος,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,
707,ἐπεπόμφεσαν,πέμπω,,,,,,,v3plia---,,,,,,,,,,,,,,,,,,,,
710,πείσεσθαι,πάσχω,,,πείθω,,,,v--fnm---,,,,,,,,,,,,,,,,,,,,
711,προύλεγον,,,,προλέγω,,,,v3piia---,,,,,,,,,,,,,,,,,,,,
724,προυκάθητο,προκάθημαι,,,,,,,v3siim---,,,,,,,,,,,,,,,,,,,,
735,Κηνσωρίνου,,,,Κηνσωρῖνος,,,,n-s---mg-,,,,,,,,,,,,,,,,,,,,
738,παρεστώσης,παρίστημι,,,,,,,v-srpafg-,,,,,,,,,,,,,,,,,,,,
743,-δὲ,δέ,,,,,,,d--------,c--------,,,,,,,,,,,,,,,,,,,
755,τοῦδε,ὅδε,,,,,,,a-s---mg-,p-s---mg-,p-s---ng-,a-s---ng-,,,,,,,,,,,,,,,,,
759,ἐκρήμναντο,κρήμνημι,,,,,,,v3piie---,,,,,,,,,,,,,,,,,,,,
763,τόδε,ὅδε,,,,,,,a-s---nn-,p-s---na-,,,,,,,,,,,,,,,,,,,
765,ἀρξάμενόν,ἄρχω,,,,,,,v-sapmnn-,,,,,,,,,,,,,,,,,,,,
769,περιιόν,,,,περίειμι,,,,v-sppann-,,,,,,,,,,,,,,,,,,,,
778,κεφαλαὶ,κεφαλή,,,,,,,n-p---fn-,,,,,,,,,,,,,,,,,,,,
788,ἐπῆν,,,,ἔπειμι,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
796,ἀνηλεῶς,ἀνηλεής,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,
799,τεθνεώτων,,,,θνῄσκω,,,,v-prpamg-,,,,,,,,,,,,,,,,,,,,
800,προτιθέντες,,,,προτίθημι,,,,v-papamn-,,,,,,,,,,,,,,,,,,,,
811,Ἀτιλίος,Ἀτιλίος,,,,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,,
812,Σερρανὸς,Σερρανὸς,,,,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,,
813,Πούπλιος,,,,Πόπλιος,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,,
818,ὁδῷ,,,,ὁδός,,,,n-s---fd-,,,,,,,,,,,,,,,,,,,,
829,ἐπανῃρέθη,ἐπαναιρέω,,,ἐπαναιρέω,,,,v3saip---,,,,,,,,,,,,,,,,,,,,
847,πυθομένου,,,,πυνθάνομαι,,,,v-spppmg-,,,,,,,,,,,,,,,,,,,,
861,ἐπισχόντων,ἐπίσχω,,,ἐπέχω,,,,v-pppamg-,,,,,,,,,,,,,,,,,,,,
870,εἰπεῖν,,,,λέγω,,,,v--ana---,,,,,,,,,,,,,,,,,,,,
871,κατεκήλει,κατακηλέω,,,,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
877,ἀπορῶν,,,,,,,,v-sppamn-,,,,ἀπορέω,,,,,,,,,,,,,,,,
881,ἔκτεινε,,,,κτείνω,,,,v3saia---,,,,,,,,,,,,,,,,,,,,
887,εὐμηχάνως,εὐμήχανος,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,
888,περιέσωσαν,,,,περισῴζω,,,,v3paia---,,,,,,,,,,,,,,,,,,,,
892,πυράν,,,,πυρά,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,,
893,ἔνησαν,νέω,,,,,,,v3paia---,,,,,,,,,,,,,,,,,,,,
895,ἐπιόντων,ἔπειμι,,,,,,,v3ppma---,,,,,,,,,,,,,,,,,,,,
897,πυρὰν,,,,πυρά,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,,
903,περισέσωστο,,,,περισῴζω,,,,v3slie---,,,,,,,,,,,,,,,,,,,,
907,θύσειν,,,,θύω,,,,v--fna---,,,,,,,,,,,,,,,,,,,,
913,προσιόντα,πρόσειμι,,,,,,,v-sppama-,,,,,,,,,,,,,,,,,,,,
916,παρεστῶσι,παρίστημι,,,,,,,v-prpamd-,,,,,,,,,,,,,,,,,,,,
940,ἐξελάσεις,ἐξέλασις,,,ἐξελαύνω,,,,n-p---fn-,,,,,,,,,,,,,,,,,,,,
942,δημεύσεις,δήμευσις,,,,,,,n-p---fn-,n-p---fa-,,,,,,,,,,,,,,,,,,,
944,ἀφαιρέσεις,ἀφαίρεσις,,,,,,,n-p---fn-,,,,,,,,,,,,,,,,,,,,
956,ἐψηφίζετο,,,,ψηφίζω,,,,v3siie---,,,,,,,,,,,,,,,,,,,,
961,ὅλως,ὅλος,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,
962,ἀπῆν,ἄπειμι,,,,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
969,τοσούσδε,τοσόσδε,,,,,,,a-p---ma-,,,,,,,,,,,,,,,,,,,,
984,συνάρχῳ,σύναρχος,,,,,,,a-s---md-,,,,,,,,,,,,,,,,,,,,
998,τετράκις,τετράκις,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,
1008,παρακείμενον,παράκειμαι,,,,,,,v-srpena-,,,,,,,,,,,,,,,,,,,,
1009,ὅτι,,,,ὅτι,,,,c--------,,,,,ὅστις,,,,,,,,,,,,,,,
1013,θεμιτὸν,θεμιτός,,,,,,,a-s---nn-,,,,,,,,,,,,,,,,,,,,
1021,ἄνθρακας,,,,ἄνθραξ,,,,n-p---ma-,,,,,,,,,,,,,,,,,,,,
1024,ἀπέθανον,,,,ἀποθνῄσκω,,,,v3paia---,,,,,,,,,,,,,,,,,,,,
1036,σφετέροις,σφέτερος,,,,,,,a-p---md-,,,,,,,,,,,,,,,,,,,,
1042,Γαλατῶν,Γαλάται,,,,,,,n-p---mg-,,,,,,,,,,,,,,,,,,,,
1044,περιστήσας,περιίστημι,,,,,,,v-sapamn-,,,,,,,,,,,,,,,,,,,,
1051,ἐπιόντος,ἔπειμι,,,,,,,v-sppang-,v-sppamg-,,,,,,,,,,,,,,,,,,,
1063,ἑπτὰ,,ἑπτὰ,,,,,,m--------,,,,,,,,,,,,,,,,,,,,
1069,μηνὸς,μείς,,,μήν,,,,n-s---mg-,,,,,,,,,,,,,,,,,,,,
1070,ἀπέθανε,,,,ἀποθνῄσκω,,,,v3saia---,,,,,,,,,,,,,,,,,,,,
1076,ἀποθανόντος,,,,ἀποθνῄσκω,,,,v-sapamg-,,,,,,,,,,,,,,,,,,,,
1081,ἐπείξει,ἔπειξις,,,ἐπείγω,,,,n-s---fd-,,,,,,,,,,,,,,,,,,,,
1086,ὥς,ὡς,,,,,,,c--------,d--------,,,,,,,,,,,,,,,,,,,
1088,προείρηται,,,,,,,,v3srie---,,,,προλέγω,,,,,,,,,,,,,,,,
1090,-δʼ,δέ,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,
1095,κατακανών,,,,κατακαίνω,,,,v-sapamn-,,,,,,,,,,,,,,,,,,,,
1112,πατρῴαν,πατρῷος,,,,,,,a-s---fa-,,,,,,,,,,,,,,,,,,,,
1113,τοσῶνδε,τοσόσδε,,,,,,,p-p---fg-,,,,,,,,,,,,,,,,,,,,
1115,ἐπανῄει,ἐπάνειμι,,,,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
1139,νεοπολιτίδας,νεοπολίτης,,,,,,,n-p---fa-,,,,,,,,,,,,,,,,,,,,
1146,ἀθρόως,ἀθρόος,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,
1151,ὀξείας,ὀξύς,,,,,,,a-s---fg-,,,,,,,,,,,,,,,,,,,,
1162,Ἰογόρθαν,Ἰουγούρθας,,,,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,
1165,Κιμβρικοῖς,Κιμβρικóς,,,,,,,a-p---nd-,,,,,,,,,,,,,,,,,,,,
1177,ἧττον,κακός,,,,,,,a-s---nac,,,,,,,,,,,,,,,,,,,,
1181,ἀπορουμένους,,,,ἀπορέω,,,,v-pppema-,,,,,,,,,,,,,,,,,,,,
1191,τοῖσδε,ὅδε,,,,,,,p-p---md-,,,,,,,,,,,,,,,,,,,,
1199,προύλεγεν,,,,προλέγω,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
1204,ἐπεῖχε,,,,ἐπέχω,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
1207,προερεῖν,,,,προλέγω,,,,v--fna---,,,,,,,,,,,,,,,,,,,,
1209,δέοιτο,δέω,,,,,,,v3spoe---,,,,,,,,,,,,,,,,,,,,
1212,εἴρητο,λέγω,,,,,,,v3slie---,,,,,,,,,,,,,,,,,,,,
1216,ἀποκρίνασθαι,ἀποκρίνω,,,,,,,v--anm---,,,,,,,,,,,,,,,,,,,,
1220,πρέσβεων,πρέσβις,,,πρέσβυς,,,,n-p---mg-,,,,,,,,,,,,,,,,,,,,
1221,ἑαυτοὺς,ἑαυτοῦ,,,,,,,p-p---ma-,,,,,,,,,,,,,,,,,,,,
1222,ἀνεῖπον,,,,ἀναλέγω,,,,v3paia---,,,,,,,,,,,,,,,,,,,,
1224,ἀρχαιρέσια,ἀρχαιρέσια,,,,,,,n-p---na-,,,,,,,,,,,,,,,,,,,,
1225,θᾶττον,ταχύς,,,,,,,a-s---nac,,,,,,,,,,,,,,,,,,,,
1226,ἐπανήκειν,ἐπανήκω,,,,,,,v--pna---,,,,,,,,,,,,,,,,,,,,
1228,περιιόντες,περίειμι,,,,,,,v-pppamn-,,,,,,,,,,,,,,,,,,,,
1237,εὐσταθῶς,εὐσταθής,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,
1249,οἵ,ὁ,,,ὅς,,,,l-p---mn-,,,,,,ἕ,,,,,,,,,,,,,,
1252,περάσειν,,,,περάω,,,,v--fna---,,,,,,,,,,,,,,,,,,,,
1253,ἔλεγον,,,,λέγω,,,,v3piia---,,,,,,,,,,,,,,,,,,,,
1259,παρῄεσαν,πάρειμι,,,,,,,v3piia---,,,,,,,,,,,,,,,,,,,,
1261,ῥαβδοφόρων,ῥαβδόφορος,,,,,,,a-p---mg-,,,,,,,,,,,,,,,,,,,,
1273,ἀφέσεις,ἄφεσις,,,,,,,n-p---fn-,,,,,,,,,,,,,,,,,,,,
1284,κατῄει,κάτειμι,,,,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
1287,συνάρχου,σύναρχος,,,,,,,a-s---mg-,,,,,,,,,,,,,,,,,,,,
1297,ἀν,,,,ἀνά,,,,r--------,,,,,,,,,,,,,,,,,,,,
1302,Δήμητρος,Δημήτηρ,,,,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,
1337,ἐροῦντας,,,,,,,,v-pfpama-,,,,λέγω,,,,,,,,,,,,,,,,
1341,τεθνάναι,,,,,,,,v--rna---,,,,θνῄσκω,,,,,,,,,,,,,,,,
1365,ἀμαχεὶ,ἀμαχεί,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,
1367,ὕστερον,ὕστερος,,,,,,,a-s---nac,,,,,,,,,,,,,,,,,,,,
1392,ἔστε,ἔστε,,,,,,,c--------,,,,,,,,,,,,,,,,,,,,
1397,Μέγας,,,,μέγας,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,,
1408,Πικηνίτιδος,Πικεντίνη,,,Πικηνῖτις,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,
1414,συνέλεξε,,,,συλλέγω,,,,v3saia---,,,,,,,,,,,,,,,,,,,,
1415,χρησιμώτατος,χρήσιμος,,,,,,,a-s---mns,,,,,,,,,,,,,,,,,,,,
1419,νεώτατον,νέος,,,,,,,a-s---mas,,,,,,,,,,,,,,,,,,,,
1427,Κάρβωνος,,,,Κάρβων,,,,n-s---mg-,,,,,,,,,,,,,,,,,,,,
1429,ἐκπεσόντα,,,,ἐκπίπτω,,,,v-sapama-,,,,,,,,,,,,,,,,,,,,
1440,Ἰβηρίαν,,,,Ἰβηρία,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,,
1448,ἐκπεσών,,,,ἐκπίπτω,,,,v-sapamn-,,,,,,,,,,,,,,,,,,,,
1453,παρέχων,,,,παρέχω,,,,v3piia---,,,,,,,,,,,,,,,,,,,,
1471,καλῶς,καλός,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,
1474,ἐσβολὴν,εἰσβολή,,,,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,,
1488,ἐδείμαινον,δειμαίνω,,,,,,,v3piia---,,,,,,,,,,,,,,,,,,,,
1499,οὔ,οὐ,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,
1501,Νωρβανὸς,Νωρβανὸς,,,,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,,
1509,συνειδότι,σύνοιδα,,,,,,,v-srpand-,,,,,,,,,,,,,,,,,,,,
1519,πλέοσι,πολύς,,,,,,,a-p---fdc,,,,,,,,,,,,,,,,,,,,
1530,αὑτοῖς,ἑαυτοῦ,,,,,,,p-p---md-,,,,,,,,,,,,,,,,,,,,
1548,μύριοι,μυρίος,,,,,,,a-p---mn-,,,,,,,,,,,,,,,,,,,,
1553,ἀμφοῖν,ἄμφω,,,,,,,a-d---mg-,,,,,,,,,,,,,,,,,,,,
1569,ἰδίᾳ,ἴδιος,,,,,,,a-s---fd-,,,,,,,,,,,,,,,,,,,,
1570,ἐνέπιπτε,ἐμπίπτω,,,,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
1573,ἐπιφοβωτέρων,ἐπίφοβος,,,,,,,a-p---ngc,,,,,,,,,,,,,,,,,,,,
1585,ἔσεισε,,,,σείω,,,,v3saia---,,,,,,,,,,,,,,,,,,,,
1590,βαρυεργῶν,βαρυεργής,,,βαρυεργέω,,,,a-p---mg-,,,,,,,,,,,,,,,,,,,,
1608,ὀλυμπιάδων,,,,Ὀλυμπιάς,,,,n-p---fg-,,,,,,,,,,,,,,,,,,,,
1626,τριετὲς,τριέτης,,,,,,,a-s---na-,,,,,,,,,,,,,,,,,,,,
1630,Ἰβηρίᾳ,,,,Ἰβηρία,,,,n-s---fd-,,,,,,,,,,,,,,,,,,,,
1632,πλεῖον,,,,πολύς,,,,a-s---nac,,,,,,,,,,,,,,,,,,,,
1646,κεφαλαίῳ,κεφάλαιος,,,,,,,a-s---nd-,,,,,,,,,,,,,,,,,,,,
1648,πρώτη,,,,πρῶτος,,,,a-s---fns,,,,,,,,,,,,,,,,,,,,
1653,θνῄσκουσι,,,,θνῄσκω,,,,v3ppia---,,,,,,,,,,,,,,,,,,,,
1659,Τεανὸν,Τέανον,,,,,,,n-s---na-,,,,,,,,,,,,,,,,,,,,
1662,ἀθύμως,ἄθυμος,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,
1678,συνόδου,,,,σύνοδος,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,
1681,συνῄεσαν,σύνειμι,,,,,,,v3piia---,,,,,,,,,,,,,,,,,,,,
1685,λεχθέντα,,,,λέγω,,,,v-pappna-,,,,,,,,,,,,,,,,,,,,
1688,λελεγμένων,,,,λέγω,,,,v-prpeng-,,,,,,,,,,,,,,,,,,,,
