;form;lemmi;postag;conteggio_lemmi;conteggio_postag
73;ἐλπὶς;['ἐλπίς'];['n-s---fn-'];1;1
74;σωτηρίας;['σωτηρία'];['n-s---fg-'];1;1
75;ὑπάρξει;['ὑπάρχω'];['v3sfia---'];1;1
76;.;['.', 'οὐ', 'πράσσω', 'ἀνθρώπινος'];['a-p---ng-', 'd--------', 'u--------', 'u---------', 'v--pna---'];4;5
77;[0];"['""""', '_', 'nan', 'καταγιγνώσκω', 'ἐστι']";"['""""', '-', '---------', '_', 'b--------', 'nan', 'p1p---ca-', 'v3sfim---', 'v3spia---']";5;9
78;μέγα;['μέγας'];['a-s---na-', 'a-s---nn-', 'a-s---nv-', 'd--------'];1;4
79;γὰρ;['γάρ'];['d--------'];1;1
80;τὰς;['ὁ'];['l-p---fa-', 'l-p---ma-'];1;2
81;ἐπιβουλὰς;['ἐπιβουλή'];['n-p---fa-'];1;1
82;τοιοῦτο;['τοιοῦτος'];['p-s---na-', 'p-s---nn-'];1;2
83;ἀθρόον;['ἀθρόος'];['a-s---nn-'];1;1
84;ὑπάρχον;['ὑπάρχω'];['v-sppana-', 'v-sppann-'];1;2
85;ἀντ’;['ἀντί'];['r--------'];1;1
86;ἀκροπόλεως;['ἀκρόπολις'];['n-s---fg-'];1;1
87;διὰ;['διά'];['r--------'];1;1
88;χρόνου;['χρόνος'];['n-s---mg-'];1;1
89;δέ;['nan', 'δέ'];['b--------', 'c--------', 'd--------', 'nan'];2;4
90;τινος;['τις'];['p-s----g-', 'p-s---cg-', 'p-s---ng-'];1;3
91;ὅσοι;['ὅσος'];['p-p---mn-'];1;1
92;ταλαπείριοι;['ταλαπείριος'];['a-p---mn-'];1;1
93;ὦσιν;['εἰμί'];['v3ppsa---'];1;1
94;ἐκκηρύττεσθαι;['ἐκκηρύσσω'];['v--pne---'];1;1
95;ὁμόρους;['ὅμορος'];['a-p---ma-'];1;1
96;παίδευσιν;['παίδευσις'];['n-s---fa-'];1;1
97;κατ’;['κατά'];['r--------'];1;1
98;ἄλλην;['ἄλλος'];['a-s---fa-', 'p-s---fa-'];1;2
99;τινὰ;['τις'];['p-p---na-', 'p-p---nn-', 'p-s---ca-'];1;3
100;χρείαν;['χρεία'];['n-s---fa-'];1;1
101;ἐπιδημοῦντας;['ἐπιδημέω'];['v-pppama-'];1;1
102;ἀπογράφεσθαι;['ἀπογράφω'];['v--pne---'];1;1
103;ταῖς;['ὁ'];['l-p---fd-'];1;1
104;δημοσίαις;['δημόσιος'];['a-p---fd-'];1;1
105;ἀφικνουμέναις;['ἀφικνέομαι'];['v-pppefd-'];1;1
106;πρεσβείαις;['πρεσβεία'];['n-p---fd-'];1;1
107;ἀπὸ;['ἀπό'];['r--------'];1;1
108;πόλεων;['πόλις'];['n-p---fg-'];1;1
109;τυράννων;['τύραννος'];['n-p---mg-'];1;1
110;στρατοπέδων;['στρατόπεδον'];['n-p---ng-'];1;1
111;οὐ;['οὐ'];['d--------'];1;1
112;χρὴ;['χρή'];['v3spia---'];1;1
113;ἐν;['ἐν'];['r--------'];1;1
114;αὑτοῖς;['ἑαυτοῦ'];['p-p---md-', 'p-p---nd-'];1;2
115;ἐθέλοντα;['ἐθέλω'];['v-sppama-'];1;1
116;διαλέγεσθαι;['διαλέγω'];['v--pne---'];1;1
117;ἀλλ’;['ἀλλά', 'ἀλλ’'];['b--------', 'c--------', 'd--------'];2;3
118;ἀεὶ;['ἀεί'];['d--------'];1;1
119;παρεῖναί;['πάρειμι'];['v--pna---'];1;1
120;τινας;['τις'];['a-p----a-', 'p-p---ca-', 'p-p---ma-'];1;3
121;πολιτῶν;['πολίτης'];['n-p---mg-'];1;1
122;πιστοτάτους;['πιστός'];['a-p---mas'];1;1
123;οἳ;['ὁ', 'ὅς'];['l-p---mn-', 'p-p---mn-'];2;2
124;μετ’;['μετά'];['r--------'];1;1
125;συνδιατελοῦσιν;['συνδιατελέω'];['v3ppia---'];1;1
126;μέχρις;['μέχρι'];['c--------', 'd--------', 'r--------'];1;3
127;ἐνδημῶσιν;['ἐνδημέω'];['v3ppsa---'];1;1
128;οἱ;['ἕ', 'ὁ'];['l-p---mn-', 'l-p---mv-', 'p-s---fd-', 'p-s---md-'];2;4
129;πρέσβεις;['πρέσβυς'];['a-p---ma-', 'a-p---mn-', 'n-p---ma-', 'n-p---mn-'];1;4
130;ὧν;['ὅς'];['p-p---fg-', 'p-p---mg-', 'p-p---ng-'];1;3
131;σπανίζῃ;['σπανίζω'];['v3spsa---'];1;1
132;ἡ;['ὁ'];['l-s---fn-', 'l-s---fv-'];1;2
133;σίτου;['σῖτος'];['n-s---mg-'];1;1
134;ἐλαίου;['ἔλαιον'];['n-s---ng-'];1;1
135;ἄλλου;['ἄλλος'];['a-s---ng-', 'p-s---mg-', 'p-s---mgp', 'p-s---ng-'];1;4
136;τινός;['τις'];['p-s---cg-', 'p-s---ng-'];1;2
137;τῷ;['ὁ'];['l-s---md-', 'l-s---mg-', 'l-s---nd-'];1;3
138;εἰσάγοντι;['εἰσάγω'];['v-sppand-'];1;1
139;πλῆθος;['πλῆθος'];['n-s---na-', 'n-s---nn-'];1;2
140;εἰσαγομένων;['εἰσάγω'];['v-pppemg-', 'v-pppeng-'];1;2
141;τόκους;['τόκος'];['n-p---ma-'];1;1
142;προκεῖσθαι;['πρόκειμαι'];['v--pne---'];1;1
143;στέφανον;['στέφανος'];['n-s---ma-'];1;1
144;δίδοσθαι;['δίδωμι'];['v--pne---'];1;1
145;τιμήν;['τιμή'];['n-s---fa-'];1;1
146;ναυκλήρῳ;['ναύκληρος'];['n-s---md-'];1;1
147;ἀνολκὴν;['ἀνολκή'];['n-s---fa-'];1;1
148;καθολκήν;['καθολκή'];['n-s---fa-'];1;1
149;ἐξοπλισίας;['ἐξοπλισία'];['n-p---fa-'];1;1
150;πυκνὰς;['πυκνός'];['a-p---fa-'];1;1
151;ποιεῖσθαι;['ποιέω'];['v--pne---'];1;1
152;ξένους;['ξένος', 'ξένος1'];['a-p---ma-', 'n-p---ma-'];2;2
153;ἐνδήμους;['ἔνδημος'];['a-p---ma-'];1;1
154;καιρὸν;['καιρός'];['n-s---ma-'];1;1
155;τοῦτον;['οὗτος'];['p-s---ma-'];1;1
156;μεθίστασθαι;['μεθίστημι'];['v--pne---'];1;1
157;χωρίον;['χωρίον'];['n-s---na-', 'n-s---nn-'];1;2
158;ῥητὸν;['ῥητός'];['a-s---na-'];1;1
159;οἶκον;['οἶκος'];['n-s---ma-'];1;1
160;διατελεῖν;['διατελέω'];['v--pna---'];1;1
161;ᾗ;['ὅς', 'ᾗ'];['d--------', 'p-s---fd-'];2;2
162;ἄλλῃ;['ἄλλος', 'ἄλλῃ'];['d--------', 'p-s---fd-'];2;2
163;φαίνηται;['φαίνω'];['v3spse---'];1;1
164;ζημίαν;['ζημία'];['n-s---fa-'];1;1
165;ὡς;['ὡς'];['c-------', 'c--------', 'd--------', 'd---------', 'd-------_', 'd-------p', 'r--------'];1;7
166;ἀδικοῦντι;['ἀδικέω'];['v-sppamd-'];1;1
167;ὅταν;['ὅταν'];['c--------'];1;1
168;σημήνῃ;['σημαίνω'];['v3sasa---'];1;1
169;τούτοις;['οὗτος'];['a-p---nd-', 'a-p---nd_', 'p-p---md-', 'p-p---nd-'];1;4
170;τὰ;['ὁ'];['l-p---na-', 'l-p---nn-'];1;2
171;ἐμπόρια;['ἐμπόριον'];['n-p---na-'];1;1
172;πρατήρια;['πρατήριον'];['n-p---na-'];1;1
173;κλείεσθαι;['κλείω'];['v--pne---'];1;1
174;λύχνα;['λύχνον'];['n-p---na-'];1;1
175;κατασβέννυσθαι;['κατασβέννυμι'];['v--pne---'];1;1
176;μηδένα;['μηδείς'];['p-s---ma-'];1;1
177;ἔτι;['ἔτι'];['d--------'];1;1
178;παρεῖναι;['πάρειμι'];['v--pna---'];1;1
179;τινι;['τις'];['p-s----d-', 'p-s---cd-', 'p-s---nd-'];1;3
180;ἀναγκαῖόν;['ἀναγκαῖος'];['a-s---na-', 'a-s---nn-'];1;2
181;συμβῇ;['συμβαίνω'];['v3sasa---'];1;1
182;μετὰ;['μετά'];['d--------', 'd-------_', 'r--------'];1;3
183;λαμπτῆρος;['λαμπτήρ'];['n-s---mg-'];1;1
184;βαδίζειν;['βαδίζω'];['v--pna---'];1;1
185;ἕως;['ἕως'];['c--------', 'r--------'];1;2
186;ἀντιπαραγγελθῇ;['ἀντιπαραγγέλλω'];['v3sasp---'];1;1
187;ὃς;['ὅς'];['p-s---mn-'];1;1
188;καταμηνύσῃ;['καταμηνύω'];['v3sasa---'];1;1
189;ἐπιβουλεύοντα;['ἐπιβουλεύω'];['v-sppama-'];1;1
190;τῇ;['ὁ'];['l-s---fd-', 'l-s---fg-'];1;2
191;πόλει;['πόλις'];['n-s---fd-'];1;1
192;ὅ;['ὁ', 'ὅς'];['l-s---mn-', 'p-s---na-', 'p-s---nn-'];2;3
193;προγεγραμμένων;['προγράφω'];['v-prpemg-', 'v-prpeng-'];1;2
194;τις;['τις'];['p-s---cn-', 'p-s---fn-', 'p-s---mn-'];1;3
195;πραττόμενον;['πράσσω'];['v-sppenn-'];1;1
196;ἐξαγγείλῃ;['ἐξαγγέλλω'];['v3sasa---'];1;1
197;ἀνηγγέλθαι;['ἀναγγέλλω'];['v--rne---'];1;1
198;αὐτῷ;['αὐτός'];['a-s---md-', 'p-s---md-', 'p-s---mdp', 'p-s---nd-'];1;4
199;ἀργύριον;['ἀργύριον'];['n-s---na-', 'n-s---nn-'];1;2
200;τὸ;['ὁ'];['---------', 'l-p---na-', 'l-s---na-', 'l-s---nn-'];1;4
201;ἀγγελθὲν;['ἀγγέλλω'];['v-sappna-'];1;1
202;ἐμφανῶς;['ἐμφανής'];['d--------'];1;1
203;ἀγορᾷ;['ἀγορά'];['n-s---fd-'];1;1
204;ἐπὶ;['ἐπί'];['r--------'];1;1
205;βωμοῦ;['βωμός'];['n-s---mg-'];1;1
206;ἱερῷ;['ἱερόν'];['n-s---nd-'];1;1
207;ἵνα;['ἵνα'];['c--------', 'd--------'];1;2
208;προχειρότερόν;['πρόχειρος'];['a-s---nac'];1;1
209;τολμήσῃ;['τολμάω'];['v3sasa---'];1;1
210;μηνύειν;['μηνύω'];['v--pna---'];1;1
211;μονάρχῳ;['μόναρχος'];['n-s---md-'];1;1
212;στρατηγῷ;['στρατηγός'];['n-s---md-'];1;1
213;φυγάδι;['φυγάς'];['n-s---md-'];1;1
214;δυναστεύοντι;['δυναστεύω'];['v-sppamd-'];1;1
215;τάδε;['ὅδε'];['a-p---nn-', 'p-p---na-', 'p-p---nn-'];1;3
216;προκηρύττεσθαι;['προκηρύσσω'];['v--pne---'];1;1
217;G?;['...', '_'];['u--------', 'z--------'];2;2
218;φόβος;['φόβος'];['n-s---mn-'];1;1
219;εἴη;['εἰμί'];['v3siia---', 'v3spoa---'];1;2
220;ἐναντία;['ἐναντίος'];['a-p---na-', 'a-p---nn-'];1;2
221;θέλουσιν;['θέλω', 'ἐθέλω'];['v-pppamd-', 'v3ppia---'];2;2
222;ἐὰν;['ἄν', 'ἐάν'];['c--------', 'd--------'];2;2
223;αὐτὸς;['αὐτός'];['p-s---mn-'];1;1
224;πάθῃ;['πάσχω'];['v3sasa---'];1;1
225;ὁ;['ὁ'];['l-s---mn-'];1;1
226;ἀποκτείνας;['ἀποκτείνω'];['v-sapamn-'];1;1
227;τέκνοις;['τέκνον'];['n-p---nd-'];1;1
228;αὐτοῦ;['αὐτοῦ', 'αὐτός'];['a-s---mg-', 'd--------', 'p-s---mg-', 'p-s---ng-'];2;4
229;ἀποδίδοσθαι;['ἀποδίδωμι'];['v--pne---'];1;1
230;μὴ;['μή', 'μή'];['c--------', 'd--------'];2;2
231;ᾖ;['εἰμί'];['v3spsa---'];1;1
232;τέκνα;['τέκνον'];['n-p---na-', 'n-p---nn-'];1;2
233;ἐγγυτάτω;['ἐγγυτάτω', 'ἐγγύς'];['d--------', 'd-------s', 'r--------'];2;3
234;γενομένῳ;['γίγνομαι'];['v-sapmmd-'];1;1
235;ἐάν;['ἄν', 'ἐάν'];['c--------', 'd--------'];2;2
236;συνόντων;['σύνειμι'];['v-pppamg-'];1;1
237;πράξῃ;['πράσσω'];['v3sasa---'];1;1
238;προκειμένων;['πρόκειμαι'];['v-pppeng-'];1;1
239;κάθοδον;['κάθοδος'];['n-s---fa-'];1;1
240;ταῦτα;['_', 'οὗτος'];['-', 'a-p---na-', 'a-p---nn_', 'p-p---na-', 'p-p---nn-'];2;5
241;προχειροτέρως;['προχειρός'];['d-------c'];1;1
242;ἐγχειροῖεν;['ἐγχειρέω'];['v3ppoa---'];1;1
243;ξενικῷ;['ξενικός'];['a-s---nd-'];1;1
244;στρατοπέδῳ;['στρατόπεδον'];['n-s---nd-'];1;1
245;τοιάδ’;['τοιόσδε'];['p-p---na-'];1;1
246;ἀναγγείλαντα;['ἀναγγέλλω'];['v-sapama-'];1;1
247;σιγήν;['σιγή'];['n-s---fa-'];1;1
248;πάντων;['πᾶς'];['a-p---mg-', 'a-p---ng-'];1;2
249;ἀκουόντων;['ἀκούω'];['v-pppamg-'];1;1
250;κηρῦξαι;['κηρύσσω'];['v--ana---'];1;1
251;εἴ;['εἰ'];['c--------', 'd--------'];1;2
252;βούλεται;['βούλομαι'];['v3spie---'];1;1
253;ἀπιέναι;['ἀπέρχομαι', 'ἄπειμι'];['v--pna---'];2;1
254;ἀρεσκόμενοι;['ἀρέσκω'];['v-pppemn-'];1;1
255;παροῦσιν;['πάρειμι', 'πάρειμι1'];['v-pppamd-', 'v-pppand-'];2;2
256;ἐξεῖναι;['ἔξεστι'];['v--ana---', 'v--pna---'];1;2
257;ἀπαλλάττεσθαι;['ἀπαλλάσσω'];['v--pne---'];1;1
258;ὕστερον;['ὕστερον', 'ὕστερος'];['a-s---na-', 'a-s---nac', 'd--------', 'd-------c', 'n-s---na-'];2;5
259;πεπωλήσεται;['πωλέω'];['v3sfim---'];1;1
260;δ’;['δέ', 'δέ'];['b--------', 'd--------', 'd---------', 'd-------_'];2;4
261;ἐλάσσω;['ἐλάσσων', 'ἐλαχύς'];['a-p---nac', 'a-s---mac'];2;2
262;τούτων;['οὗτος'];['a-p---ng-', 'a-p---ng_', 'p-p---fg-', 'p-p---mg-', 'p-p---mgp', 'p-p---ng-'];1;6
263;ἀδικήματα;['ἀδίκημα'];['n-p---na-', 'n-p---nn-'];1;2
264;νόμον;['νόμος'];['n-s---ma-'];1;1
265;προκείμενον;['πρόκειμαι'];['v-sppema-', 'v-sppenn-', 'v-srpenn-'];1;3
266;δεσμὸς;['δεσμός'];['n-s---mn-'];1;1
267;ζημία;['ζημία'];['n-s---fn-'];1;1
268;βλάπτων;['βλάπτω'];['v-sppamn-'];1;1
269;στράτευμα;['στράτευμα'];['n-s---na-', 'n-s---nn-'];1;2
270;διαλύων;['διαλύω'];['v-sppamn-'];1;1
271;στρατόπεδον;['στρατόπεδον'];['n-s---na-', 'n-s---nn-'];1;2
272;θάνατος;['θάνατος'];['n-s---mn-'];1;1
273;ἔστω;['_', 'εἰμί'];['-', 'v3spma---'];2;2
274;τάξεων;['τάξις'];['n-p---fg-'];1;1
275;ἐπιμέλειαν;['ἐπιμέλεια'];['n-s---fa-'];1;1
276;ποιητέον;['ποιέω', 'ποιητέος'];['a-s---na-', 'a-s---nn-', 'v-s-g-nn-'];2;3
277;ἡγεμὼν;['ἡγεμών'];['n-s---mn-'];1;1
278;ἐπιμελητὴς;['ἐπιμελητής'];['n-s---mn-'];1;1
279;τά;['ὁ'];['l-p---na-', 'l-p---nn-'];1;2
280;ἄλλα;['ἄλλος'];['a-p---na-', 'a-p---na_', 'a-p---nap', 'a-p---nn-', 'a-p---nn_', 'a-p---nnp', 'p-p---na-', 'p-p---nap', 'p-p---nn-', 'p-p---nnp'];1;10
281;φρόνιμος;['φρόνιμος'];['a-s---mn-'];1;1
282;εὔρωστος;['εὔρωστος'];['a-s---mn-'];1;1
283;ᾧ;['ὅς', 'ὦ'];['p-s---md-', 'p-s---nd-'];2;2
284;πλεῖστοι;['πλεῖστος', 'πολύς', 'πολύς'];['a-p---mn-', 'a-p---mns'];3;2
285;εἶεν;['εἰμί', 'εἶεν'];['i--------', 'v3ppoa---'];2;2
286;μεταβολῆς;['μεταβολή'];['n-s---fg-'];1;1
287;γενομένης;['γίγνομαι'];['v-sapmfg-'];1;1
288;πρῶτον;['πρότερος', 'πρῶτον', 'πρῶτος'];['a-s---ma-', 'a-s---na-', 'a-s---nn-', 'd--------', 'd-------_', 'd-------p'];3;6
289;ἐπισκεπτέον;['ἐπισκεπτέος', 'ἐπισκοπέω'];['a-s---nn-'];2;1
290;εἰ;['εἰ'];['c--------', 'd--------', 'i--------'];1;3
291;ὁμονοοῦσιν;['ὁμονοέω'];['v3ppia---'];1;1
292;πολῖται;['πολίτης'];['n-p---mn-', 'n-p---mv-'];1;2
293;ὄντος;['εἰμί'];['v-sppamg-', 'v-sppang-'];1;2
294;μεγίστου;['μέγας'];['a-s---mgs'];1;1
295;τούτου;['οὗτος'];['a-s---mg_', 'a-s---ng-', 'p-s---mg-', 'p-s---ng-'];1;4
296;ἀγαθοῦ;['ἀγαθός'];['a-s---mg-', 'a-s---ng-'];1;2
297;πολιορκίᾳ;['πολιορκία'];['n-p---fn-', 'n-s---fd-'];1;2
298;μή;['μή'];['c--------', 'd--------'];1;2
299;φρονούντων;['φρονέω'];['v-pppamg-'];1;1
300;παροῦσι;['πάρειμι', 'πάρειμι1'];['v-pppamd-', 'v-pppand-'];2;2
301;πράγμασι;['πρᾶγμα'];['n-p---nd-'];1;1
302;μάλιστ’;['μάλα', 'μάλιστα'];['d--------', 'd-------s'];2;2
303;ἡγεμόνας;['ἡγεμών'];['n-p---ma-'];1;1
304;αἰτίους;['αἴτιος'];['a-p---ma-'];1;1
305;γενομένους;['γίγνομαι'];['v-papmma-'];1;1
306;πράξεώς;['πρᾶξις'];['n-s---fg-'];1;1
307;μεθιστάναι;['μεθίστημι'];['v--pna---'];1;1
308;αὐτοὺς;['αὐτός'];['p-p---ma-'];1;1
309;ἀνυπόπτως;['ἀνύποπτος'];['d--------'];1;1
310;προφάσεως;['πρόφασις'];['n-s---fg-'];1;1
311;εὐλόγου;['εὔλογος'];['a-s---fg-', 'a-s---mg-', 'a-s---ng-'];1;3
312;ἐκπέμποντα;['ἐκπέμπω'];['v-sppama-'];1;1
313;ἐπ’;['ἐπί'];['r--------'];1;1
314;ἄλλας;['ἄλλος'];['a-p---fa-', 'p-p---fa-'];1;2
315;δημοσίας;['δημόσιος'];['a-p---fa-'];1;1
316;ἐργασίας;['ἐργασία'];['n-p---fa-', 'n-s---fg-'];1;2
317;οἷον;['οἷον', 'οἷος'];['c--------', 'p-s---ma-', 'p-s---na-', 'p-s---nn-'];2;4
318;Διονύσιος;['Διονύσιος'];['n-s---mn-'];1;1
319;ἔπραξεν;['πράσσω'];['v3saia---'];1;1
320;Λεπτίνην;['Λεπτίνης'];['n-s---ma-'];1;1
321;ἀδελφὸν;['ἀδελφός'];['n-s---ma-'];1;1
322;ἔχοντα;['ἔχω'];['v-pppana-', 'v-pppann-', 'v-sppama-'];1;3
323;Συρακοσίων;['Συρακούσιος'];['a-p---mg-'];1;1
324;πλήθει;['πλῆθος'];['n-s---nd-'];1;1
325;οἰκείως;['οἰκεῖος'];['d--------'];1;1
326;ὁρῶν;['ὁράω'];['v-sppamn-'];1;1
327;πολλὰ;['πολύς'];['a-p---na-', 'a-p---nn-'];1;2
328;ἰσχυρὸν;['ἰσχυρός'];['a-s---ma-', 'a-s---na-'];1;2
329;αὐτὸν;['nan', 'αὐτός'];['---------', 'p-s---ma-', 'p-s---na-', 'p-s---nn-'];2;4
330;ὄντα;['εἰμί', 'ὄντα'];['n-p---na-', 'v-pppana-', 'v-pppann-', 'v-sppama-'];2;4
331;γενόμενος;['γίγνομαι'];['v-sapmmn-'];1;1
332;ὑποψίᾳ;['ὑποψία'];['n-s---fd-'];1;1
333;τινί;['τις'];['p-s----d-', 'p-s---cd-', 'p-s---nd-'];1;3
334;θέλων;['θέλω', 'ἐθέλω'];['v-sppamn-'];2;1
335;μεταστήσασθαι;['μεθίστημι'];['v--anm---'];1;1
336;φανερῶς;['φανερός'];['d--------'];1;1
337;ἐπεχείρει;['ἐπιχειρέω'];['v3siia---'];1;1
338;ἐκβάλλειν;['ἐκβάλλω'];['v--pna---'];1;1
339;αὐτόν;['αὐτός'];['p-s---ma-'];1;1
340;γνοὺς;['γιγνώσκω'];['v-sapamn-'];1;1
341;ὅτι;['ὅστις', 'ὅτι', 'ὅτι1', 'ὅτι2'];['c--------', 'd--------', 'p-s---na-', 'p-s---nn-'];4;4
342;περὶ;['περί'];['r--------'];1;1
343;πολλὴ;['πολύς'];['a-s---fn-'];1;1
344;εὐνοίας;['εὔνοια'];['n-s---fg-'];1;1
345;ἰσχὺς;['ἰσχύς'];['n-s---fn-'];1;1
346;ἔσοιτο;['εἰμί'];['v3sfom---'];1;1
347;νεώτερον;['νέος'];['a-s---mac', 'a-s---nac'];1;2
348;γένοιτο;['γίγνομαι'];['v3saom---'];1;1
349;τεχνάζει;['τεχνάζω'];['v3spia---'];1;1
350;τοιόνδε;['τοιόσδε'];['p-s---ma-', 'p-s---na-', 'p-s---nn-'];1;3
351;πέμπει;['πέμπω'];['v3spia---'];1;1
352;ξένων;['ξένος'];['a-p---mg-'];1;1
353;ὀλίγων;['ὀλίγος'];['a-p---fg-', 'a-p---mg-', 'a-p---ng-'];1;3
354;πόλιν;['πόλις'];['n-s---fa-'];1;1
