;form;lemmi_relation;lemmi_definitivo
457;μᾶλλον;['μάλα', 'μᾶλλον'];['μάλα']
465;μή;['nan', 'μή', 'μήτε'];['μή']
473;μάλιστα;['μάλα', 'μάλιστα'];['μάλα']
494;ἃ;['ὁ', 'ὁς', 'ὅς'];['ὅς']
497;ἐπιστάμενος;['ἐπίσταμαι', 'ἐπιστάζω', 'ἐφίστημι'];['ἐπίσταμαι']
503;ἀξιῶ;['ἀξιάω', 'ἀξιόω'];['ἀξιόω']
506;πρῶτον;['πρότερος', 'πρῶτος'];['πρῶτος']
507;ἀπηλλάγη;['ἀπαλλαξείω'];['ἀπαλλάσσω']
510;ἐκάθητο;['κάθημαι', 'κατά-κάθημαι'];['κάθημαι']
521;τ-;['τά', 'τέ', 'τε', 'ὁ'];['τε', 'ὁ']
532;ξένων;['ξένη', 'ξένος1', 'ξένος2'];['ξένος']
535;ἐκείνους;['ἐκείνος', 'ἐκεῖνος'];['ἐκεῖνος']
537;ἐχρήσαντο;['χράω2'];['χράω']
541;εἴπῃ;['εἶπον'];['λέγω']
552;μη;['μή', 'μη', 'μηδέ'];['μή']
553;λόγους;['λογός', 'λόγος'];['λόγος']
558;ἄλλα;['ἄλλα', 'ἄλλος'];['ἄλλος']
561;οὐδαμῇ;['οὐδαμῇ'];['οὐδαμός']
562;ἄν;['ἀν', 'ἄν', 'ἄν1', 'ἄν2', 'ἐάν'];['ἄν', 'ἐάν']
573;λέγω;['λέγω', 'λέγω2', 'λέγω3'];['λέγω']
586;παρ᾽;['παρά', 'παρὰ'];['παρά']
601;κατέλιπεν;['καταλείπω', 'καταλιμπάνω'];['καταλείπω']
608;ἡδοναῖς;['ἡδονά', 'ἡδονή'];['ἡδονή']
611;δείπνων;['δεῖπνον', 'δεῖπνος'];['δεῖπνον']
616;ὑφ᾽;['ὑπό', 'ὑφή'];['ὑπό']
617;χρὴ;['χρή'];['χράω']
629;-θ᾽;['-τε', 'οὔτε', 'τε'];['τε']
635;ὤν;['εἰμί', 'οὖν'];['εἰμί']
644;σκοπεῖν;['σκοπάω', 'σκοπέω'];['σκοπέω']
655;δεῖ;['δέομαι', 'δέω', 'δέω1', 'δέω2', 'δεῖ'];['δέω']
656;ἦν;['είμί', 'εἰμί', 'ἠμί'];['εἰμί']
657;Διονυσίων;['Διονύσια', 'Διονύσιον'];['Διονύσια']
663;Καλλίου;['Καλλίας', 'Καλλίης'];['Καλλίας']
674;Φαίδρου;['Φαῖδρας', 'Φαῖδρος'];['Φαῖδρος']
678;τινῶν;['τινῶν', 'τις'];['τις']
682;ξένοις;['ξένος1', 'ξένος2'];['ξένος']
688;ξένοι;['ξένος1', 'ξένος2'];['ξένος']
690;καταλιπόντες;['καταλιμπάνω'];['καταλείπω']
699;ᾗ;['ὁς', 'ὅς', 'ᾗ'];['ὅς']
706;ἄλλου;['ἀλλός', 'ἄλλος'];['ἄλλος']
710;οὗ;['οὗ', 'ὁς', 'ὅς'];['ὅς']
725;ἀναμνῆσαι;['ἀναμιμνήσκω'];['ἀναμιμνῄσκω']
735;ὥς;['ὡς', 'ὥς'];['ὡς']
749;Σόλων;['Σόλοι', 'Σόλων'];['Σόλων']
754;ἀκοῦσαι;['ἀκέω', 'ἀκούω'];['ἀκούω']
766;ὅλον;['ὅλοξ', 'ὅλος'];['ὅλος']
767;συνίδετε;['σύν-εἶδον'];['συνοράω']
771;χιλίας;['χίλιοι', 'χίλιος'];['χίλιοι']
791;ποιούμενος;['ποιέω', 'ποιόω'];['ποιέω']
799;πλέον;['πλέος', 'πλέως', 'πλείων', 'πολύς'];['πολύς']
803;καταλιπόντα;['καταλείπω', 'καταλιμπάνω'];['καταλείπω']
805;οἶμαι;['οἱόμαι', 'οἴομαι'];['οἴομαι']
811;φίλους;['φίλος', 'φῖλος'];['φίλος']
816;ἡμῶν;['σύ', 'ἐγώ', 'ἡμεῖς'];['ἐγώ']
850;προειπεῖν;['προεῖπον'];['προλέγω']
880;ἔχω;['χόω', 'ἔχω'];['ἔχω']
883;προλέγω;['προλέγω', 'προλέγω1'];['προλέγω']
885;ἰδόντες;['εἶδον', 'ὁράω'];['ὁράω']
890;Ἡράκλεις;['Ἡρακλέης', 'Ἡρακλῆς'];['Ἡρακλέης']
895;παρακατέθεντο;['παρακατατίθεμαι'];['παρακατατίθημι']
921;ποτὲ;['ποτέ', 'ποτός'];['ποτε']
922;καθεζόμενος;['καθέζομαι', 'κατά-καθέζομαι', 'κατά-ἕζομαι'];['καθέζομαι']
928;χρήσασθαι;['χράω', 'χράω2'];['χράω']
934;λέγεσθαι;['λέγω2', 'λέγω3'];['λέγω']
953;παρακατατιθέμεθα;['παρακατατίθεμαι'];['παρακατατίθημι']
965;ἰέναι;['εἶμι', 'ἔρχομαι'];['εἶμι']
968;εἰσιέναι;['εἰσέρχομαι', 'εἰσίημι', 'εἴσειμι'];['εἰσίημι', 'εἴσειμι']
970;ἀπιέναι;['ἀπέρχομαι', 'ἀφίημι', 'ἄπειμι2'];['ἄπειμι']
975;ἀνοίγειν;['ἀνοίγνυμι'];['ἀνοίγω']
976;πρὶν;['πρίν', 'πρὶν'];['πρίν']
978;ἀνίσχῃ;['ἀνά-ἴσχω'];['ἀνίσχω']
979;κλῄειν;['κλείω1'];['κλείω']
982;δεδυκότος;['δύω2'];['δύω']
985;πλείστῃ;['πλεῖστος', 'πολύς'];['πολύς']
987;νεανίσκους;['νεάνισκος', 'νεανίσκος'];['νεανίσκος']
998;Ἑρμαίων;['Ἕρμαιον'];['Ἑρμαίων']
1007;τετταράκοντα;['τεσσαράκοντα', 'τετταράκοντα'];['τεσσαράκοντα']
1011;αὑτοῦ;['ἑαυτοῦ', 'ἑαυτός'];['ἑαυτοῦ']
1021;εὐθὺς;['εὐθύς', 'εὐθύς2'];['εὐθύς']
1028;λέγε;['λέγω2', 'λέγω3'];['λέγω']
1034;ἀνοιγέτωσαν;['ἀνοίγνυμι'];['ἀνοίγω']
1036;κλειέτωσαν;['κλέω'];['κλείω']
1037;δύνοντος;['δύω2'];['δύω']
1052;Ἑρμαίοις;['Ἕρμαιον'];['Ἑρμαῖος']
1079;λέγει;['λέγω', 'λέγω2', 'λέγω3'];['λέγω']
1083;θεῖος;['θεῖος1', 'θεῖος2'];['θεῖος']
1085;ὅλως;['ὅλοξ', 'ὅλος'];['ὅλος']
1105;ὃς;['ὅς', 'ὅς2'];['ὅς']
1109;φανήσεται;['φαίνω', 'φανάω'];['φαίνω']
1113;ἀποθανόντα;['ἀποθνήσκω', 'ἀποθνῄσκω'];['ἀποθνῄσκω']
1115;ἆλλα;['ἄλλος', 'ἆλλος'];['ἄλλος']
1122;ἐκείνου;['εκεῖνος', 'ἐκείνος', 'ἐκεῖνος'];['εκεῖνος']
1131;θεῖον;['θέω', 'θεῖος', 'θεῖος1', 'θεῖος2'];['θεῖος']
1133;τίνα;['τίς', 'τις', 'ὁς'];['τις']
1148;ἔχει;['χέω', 'ἐχώ', 'ἔχω'];['ἔχω']
1153;που;['που', 'πού'];['που']
1166;κύριος;['κύριος', 'κῦρος'];['κύριος']
1169;προεῖπον;['προεῖπον'];['προλέγω']
1179;τεθνάτω;['θνήσκω'];['θνῄσκω']
1188;ἕως;['ἑώς', 'ἔως', 'ἕως'];['ἕως']
1189;εἱρχθήτω;['ἔργω1'];['ἔργω']
1197;ἀκούσας;['ἀέκων', 'ἀκέω', 'ἀκούω'];['ἀκούω']
1198;ποτ᾽;['ποτέ', 'ποτε', 'πότε'];['ποτε']
1200;σκοπῆτε;['σκοπάω', 'σκοπέω'];['σκοπέω']
1201;ἄριστα;['ἀγαθός', 'ἄριστον', 'ἄριστος'];['ἀγαθός']
1216;πατρί;['πατήρ', 'πατρίς'];['πατήρ']
1229;ἐξῆν;['ἔξεστι'];['ἔξειμι']
1232;πῶς;['πως', 'πῶς', 'πῶς1', 'πῶς2'];['πως']
1235;ἀρχόντων;['ἄρχω', 'ἄρχων'];['ἄρχω']
1256;εἰπάτω;['εἶπον'];['λέγω']
1266;ἐπίστασθε;['ἐπίσταμαι', 'ἐφίστημι'];['ἐπίσταμαι']
1272;λεγέτω;['λέγω1', 'λέγω3'];['λέγω']
1274;ἱερὰ;['ἱερόv', 'ἱερόν', 'ἱερός'];['ἱερόν']
1291;προειρῆσθαι;['προερέω'];['προλέγω']
1292;ἀπαλλαγεὶς;['ἀπαλλάσσω', 'ἀπαλλαξείω'];['ἀπαλλάσσω']
1295;πόθεν;['ποθεν', 'πόθεν'];['ποθεν']
1297;ἤρξατο;['ἄρχω', 'ἔρδω'];['ἄρχω']
1299;πλείστη;['πλεῖστος', 'πολύς'];['πολύς']
1313;ἱερῶν;['ἱερή', 'ἱερόν', 'ἱερός'];['ἱερόν']
1316;πρεσβείαις;['πρέσβεια'];['πρεσβεία']
1319;τίς;['τίς', 'τις'];['τις']
1323;εἴπωσι;['εἶπον'];['λέγω']
1334;πρώτοις;['πρότερος', 'πρῶτος'];['πρῶτος']
1341;ἕνα;['εἷς', 'ἕνος'];['εἷς']
1343;προσειπεῖν;['προσεῖπον'];['προσλέγω']
1349;νεωτέρους;['νέος', 'νεώτερος'];['νέος']
1359;ἦσαν;['εἰμί', 'ἄω3'];['εἰμί']
1363;Περικλῆς;['Περικλέης', 'Περικλῆς'];['Περικλέης']
1364;Θεμιστοκλῆς;['Θεμιστοκλῆς'];['Θεμιστοκλέης']
1368;ἐπωνυμίαν;['ἐπωνυμία', 'ἐπωνύμιος'];['ἐπωνύμιος']
1409;συνιδὼν;['σύν-εἶδον'];['συνοράω']
1418;ἐπικουρῶν;['ἐπί-ἐπικουρέω'];['ἐπικουρέω']
1426;τίνας;['τίς', 'τις'];['τις']
1427;ποῦ;['πού', 'ποῦ'];['ποῦ']
1433;παρέχων;['παρέχω', 'παραχώννυμι'];['παρέχω']
1435;Δία;['Δίη', 'Δίον', 'Ζεύς'];['Ζεύς']
1454;εἰρημένων;['ἐρῶ'];['λέγω']
1456;Κηφισιᾶσιν;['Κηφισία'];['Κηφισιᾶσιν']
1457;Ἀμφιτροπῆσιν;['Ἀμφιτρόπη'];['Ἀμφιτροπῆσιν']
1463;εἴποι;['εἶπον', 'λέγω'];['λέγω']
1467;ἐκτήσατο;['κτάομαι', 'κτέομαι'];['κτάομαι']
1471;Ἀλωπεκῆσι;['Ἀλωπέκη'];['Ἀλωπεκῆσι']
1475;ἀναμνήσθητε;['ἀναμιμνήσκω', 'ἀναμιμνῄσκω'];['ἀναμιμνῄσκω']
1476;τίνι;['τίς', 'τις'];['τις']
1477;κέχρησθε;['χράω2'];['χράω']
1478;φήμῃ;['φήμη', 'φῆμις'];['φήμη']
1479;λέγεται;['λέγω', 'λέγω2', 'λέγω3'];['λέγω']
1491;ψευδομαρτυρίων;['ψευδομαρτυρέω', 'ψευδομαρτυρία'];['ψευδομαρτύριος']
1510;φίλων;['φίλος', 'φίλων'];['φίλος']
1517;προειπὼν;['προεῖπον'];['προλέγω']
1525;στρατηγῶν;['στρατήγος', 'στρατηγέω', 'στρατηγός'];['στρατηγέω']
1538;ἀφ᾽;['ἀπό', 'ἐπί'];['ἀπό']
1541;ζῶσιν;['ζάω', 'ζέω'];['ζάω']
1544;ὅλην;['ὅλοξ', 'ὅλος'];['ὅλος']
1567;λεγομένην;['λέγω2', 'λέγω3'];['λέγω']
1568;φιλίαν;['φίλιος', 'φιλία'];['φιλία']
1569;δι᾽;['διά', 'διάπλοο', 'διό'];['διά']
1585;κοινῇ;['κοινός', 'κοινόσ', 'κοινόω', 'κοινῇ'];['κοινός']
1617;ἐμοῦ;['ἐγώ', 'ἐμός', 'ἐμώ'];['ἐγώ', 'ἐμός']
1622;πλείστων;['πλεῖστος'];['πολύς']
1641;αἳ;['ὁ', 'ὅς'];['ὁ']
1656;φιλονικίας;['φιλονεικία', 'φιλονικία'];['φιλονεικία']
1667;ἐρᾶν;['ἐράω', 'ἐράω1', 'ἐράω2'];['ἐράω']
1668;φιλανθρώπου;['φιλάνθρωπον', 'φιλάνθρωπος'];['φιλάνθρωπον']
1675;ὑβριστοῦ;['ὕβριστος'];['ὑβριστός']
1678;ἐρᾶσθαί;['ἐράομαι'];['ἐράω']
1683;περίεστι;['περίειμι1'];['περίειμι']
1690;ἐπίστασθαι;['ἐπίσταμαι', 'ἐφίστημι'];['ἐπίσταμαι']
1691;ἐρυθριᾶν;['ἐρυθρίας'];['ἐρυθριάω']
1699;ὅθ᾽;['ὅθι', 'ὅτε'];['ὅτε']
1701;ἀναγκαίων;['ἀμ̄ακαῖος', 'ἀναγκαῖον', 'ἀναγκαῖος'];['ἀναγκαῖος']
1714;κατιδόντες;['κατεῖδον', 'κατοράω'];['καθοράω']
1719;εἶπε;['εἶπον', 'εἶπό', 'λέγω'];['λέγω']
1736;ἐρῶντα;['ἐράω1'];['ἐράω']
1754;ἐκείνων;['ἐκείνος', 'ἐκεῖνος'];['ἐκεῖνος']
1774;λέξομέν;['λέγω1'];['λέγω']
1777;μεμνῆσθαι;['μιμνήσκω', 'μιμνῄσκω'];['μιμνῄσκω']
1779;εἰρημένους;['ἐρῶ'];['λέγω']
1790;ἐρῶντας;['ἐράω1'];['ἐράω']
1793;λέξω;['λέγω1', 'λέγω3'];['λέγω']
1797;πολλαχοῦ;['πολλαχοῦ'];['πολλαχός']
1810;ἀναμιμνῃσκόμενος;['ἀναμιμνήσκω'];['ἀναμιμνῄσκω']
1813;ἄκων;['ἀέκων', 'ἄκων'];['ἀέκων']
1817;σῶν;['σός', 'σῶς'];['σός']
1821;παρακαταθεῖτο;['παρακατατίθεμαι'];['παρακατατίθημι']
1828;ἦ;['εἰμί', 'ἠμί', 'ἤ', 'ἦ'];['ἦ']
1830;ἅλιον;['ἅλιος2'];['ἅλιος']
1834;κείνῳ;['κεῖνος'];['ἐκεῖνος']
1842;Ἴλιον;['Ἴλιον'];['Ἴλιος']
1846;αἶσαν;['Αἶσα'];['αἶσα']
1857;γαῖαν;['γαῖα'];['γῆ']
1860;σχετλιάζων;['σχετλῖάζω'];['σχετλιάζω']
1873;ἀποθανεῖται;['ἀποθνήσκω', 'ἀποθνῄσκω'];['ἀποθνῄσκω']
1875;ταχέων;['τάχος', 'ταχύς'];['τάχος']
1879;τεθνεῶτος;['θνήσκω', 'θνῄσκω'];['θνῄσκω']
1894;τάφον;['τάφος', 'τάφος1'];['τάφος']
1897;πυρᾷ;['πυρή'];['πυρά']
1910;μακρὰν;['μακράν', 'μακρός'];['μακρός']
1913;εἴη;['εἰμί', 'ἐάω'];['εἰμί']
1923;διεξιὼν;['διέξειμι', 'διεξέρχομαι'];['διέξειμι']
1928;καθεζόμενοι;['κατά-καθέζομαι', 'κατά-ἕζομαι'];['καθέζομαι']
1937;ποιητοῦ;['ποιητής', 'ποιητός'];['ποιητός']
1939;Ὅμηρος;['ὅμηρος', 'Ὅμηρος'];['Ὅμηρος']
1957;ἧρξεν;['ἔρδω'];['ἄρχω']
1971;ἑταίρων;['ἑταίρα', 'ἑταῖρος'];['ἑταῖρος']
1978;ἥπερ;['ὁ', 'ὅς'];['ὅσπερ']
1980;γεινόμενόν;['γείνομαι'];['γίγνομαι']
1981;περ;['πέρ'];['περ']
1988;Τρώων;['Τρώς'];['Τρῶες']
1997;ἐρέω;['ἐρῶ'];['λέγω']
2007;πέρ;['πέρ'];['περ']
2009;γαῖα;['γαῖα'];['γῆ']
2013;τόν;['ὁ', 'ὁς', 'ὅς'];['ὁ']
2030;ὅτε;['ὅσε', 'ὅτε', 'ὅτε1'];['ὅτε']
2034;ἐθέλων;['ἐθέλω'];['θέλω']
2037;χολωθείς;['χολόομαι'];['χολόω']
2039;δεξάμενος;['δέχομαι', 'δείκνυμι'];['δέχομαι']
2048;ὣς;['ὡς', 'ὥς'];['ὡς']
2054;σωθῆναι;['σώζω', 'σῴζω'];['σῴζω']
2061;οἷ;['οἷ', 'ἕ', 'ὅς'];['ὅς']
2062;᾽;['punc1'];['punc']
2064;πλείστας;['πλεῖστος'];['πολύς']
2068;μνησθήσομαι;['μιμνήσκω'];['μιμνῄσκω']
2079;τεθναίην;['θνήσκω'];['θνῄσκω']
2084;φίλτατος;['φίλτατος'];['φίλος']
2088;πλεῖστα;['πλεῖστος', 'πολύς'];['πολύς']
2115;ἐρῶ;['εἴρω', 'ἐράω2', 'ἐρέω'];['εἴρω', 'ἐράω', 'ἐρέω']
2118;σιγᾶν;['σιγάζω', 'σιγάω'];['σιγάω']
2121;καταλείπω;['καταλιμπάνω'];['καταλείπω']
2123;Ἀθήνησιν;['Ἀθήνησι', 'Ἀθήνησιν', 'Ἀθῆναι'];['Ἀθήνησιν']
2126;ἐχθρῶν;['ἐχθρός', 'ἔχθρος'];['ἐχθρός']
2131;ἀπολελοιπέναι;['ἀπολιμπάνω'];['ἀπολείπω']
2138;ἥκιστα;['ἥκιστος'];['κακός']
2141;ἄρχων;['ἄρχω', 'ἄρχων'];['ἄρχω']
2142;πλειόνων;['πλείων'];['πολύς']
2149;μικρὸν;['μικρός', 'σμικρός'];['μικρός']
2151;ἡμέρας;['ἡμέρα', 'ἥμερα', 'ἥμερος'];['ἡμέρα', 'ἥμερος']
2153;ἐγγυτάτω;['ἐγγύς', 'ἐγγύτατος'];['ἐγγύς']
2154;παροῦσα;['πάρειμι', 'πάρειμι1'];['πάρειμι']
2156;βραχέων;['βράχεα', 'βραχύς'];['βραχύς']
2158;ταμίας;['τάμιας', 'ταμίας'];['ταμίας']
2159;θεοῦ;['θέος', 'θεός'];['θεός']
2180;εἶπεν;['εἶπον', 'λέγω'];['λέγω']
2194;εἰδότως;['εἰδότως'];['οἶδα']
2199;ἐκφυλλοφορήσασα;['ἐκ-ἐκφυλλοφορέω'];['ἐκφυλλοφορέω']
2202;δωρεὰν;['δωρεά', 'δωρεάν'];['δωρεά']
2208;πρῶτος;['πρότερος', 'πρῶτος'];['πρῶτος']
2217;ἐξεφυλλοφόρησε;['ἐκ-φυλλοφορέω'];['ἐκφυλλοφορέω']
2241;βελτίων;['βελτίων'];['ἀγαθός']
2284;ἱερά;['ἱερόν', 'ἱερός'];['ἱερόν']
2294;Φιλωτάδου;['Φιλωτάδες'];['Φιλωτάδης']
2326;ἀντίγραφα;['ἀντίγραφον', 'ἀντίγραφος'];['ἀντίγραφος']
2341;πᾶσι;['πᾶν', 'πᾶς', 'πᾶσις'];['πᾶς']
2366;νεωτέρων;['νέος', 'νεώτερος'];['νέος']
2369;ἐλαχίστους;['ἐλάχιστος'];['ἐλαχύς']
2380;θέλετε;['ἐθέλω'];['θέλω']
2389;μέμνησθ᾽;['μιμνήσκω'];['μιμνῄσκω']
2394;πρώτους;['πρότερος', 'πρῶτος'];['πρῶτος']
2400;ἀκριβῶς;['ἀκριβής', 'ἀκριβῶς'];['ἀκριβής']
2402;ταύτῃ;['αὐτός', 'οὗτος', 'ταύτῃ'];['οὗτος']
2403;χρωμένους;['χράομαι', 'χράω', 'χράω2', 'χραύω'];['χράω']
2408;ἐξεῖναι;['ἐξίημι', 'ἔξεστι'];['ἐξίημι', 'ἔξειμι']
2416;ἐκλέξαντος;['ἐκ-λέγω1'];['ἐκλέγω']
2418;ἁπλοῦν;['ἁπλόος', 'ἁπλόω'];['ἁπλόος']
2420;δόξω;['δοκέω', 'δοξόω'];['δοκέω']
2425;πρεσβείας;['πρέσβεια', 'πρεσβεία'];['πρεσβεία']
2430;ἐκαθέζετο;['κατά-καθέζομαι'];['καθέζομαι']
2434;σοι;['σοι', 'σύ'];['σύ']
2436;χρήσῃ;['χράω2'];['χράω']
2438;σαυτῷ;['σαυτοῦ', 'σεαυτοῦ'];['σεαυτοῦ']
2442;ἀνδρὶ;['ἀνήρ', 'ἀνδρίς'];['ἀνήρ']
2455;δοκῶ;['δοκέω', 'δοκόω'];['δοκέω']
2457;λεγομέναις;['λέγω3'];['λέγω']
2466;παρωσάμενος;['παρόω'];['παρωθέω']
2471;περιεῖδεν;['περί-εἶδον'];['περιοράω']
2480;εἰκότως;['εἰκότως', 'ἐικότως', 'ἐοικότως'];['ἐοικότως']
2492;ἐκαθέζου;['κατά-καθέζομαι'];['καθέζομαι']
2513;ὁδοῖς;['ὁδός2'];['ὁδός']
2540;ἀπολειφθέντος;['ἀπολιμπάνω'];['ἀπολείπω']
2598;λεγομένους;['λέγω2', 'λέγω3'];['λέγω']
2600;καλαὶ;['κάλαις', 'καλός'];['καλός']
2602;πράξεις;['πράξις', 'πρᾶξις'];['πρᾶξις']
2606;δόξης;['δόξα', 'δόξις'];['δόξα']
2607;παρέχει;['παρέχω', 'παραχέω'];['παρέχω']
2625;Ὅμηρον;['ὅμηρος', 'Ὅμηρος'];['Ὅμηρος']
2627;λέγοντα;['λέγω2', 'λέγω3'];['λέγω']
