,@form,lemma_1,lemma_2,lemma_3,lemma_4,lemma_5,lemma_6,lemma_7,lemma_8,lemma_9,lemma_10,lemma_11,lemma_12,lemma_13,lemma_14,lemma_15,lemma_16,lemma_17,lemma_18,lemma_19,lemma_20,postag_1,postag_2,postag_3,postag_4,postag_5,postag_6,postag_7,postag_8
27,Σαινδυρίδου,Σαινδύριδος,,,,,,,,,,,,,,,,,,,,n-s---mg-,,,,,,,
28,Ἀνάνιος,,Ἀνάνιος,,,,,,,,,,,,,,,,,,,n-s---mg-,,,,,,,
29,διηκριβωμένων,διακριβόω,,,,,,,,,,,,,,,,,,,,v-prpefg-,,,,,,,
30,ῥᾳστώνην,ῥᾳστώνη,,,,,,,,,,,,,,,,,,,,n-s---fa-,,,,,,,
31,ἀλαζονίστατον,,ἀλαζών,,,,,,,,,,,,,,,,,,,a-s---nns,,,,,,,
32,μέγισται,μέγας,,,,,,,,,,,,,,,,,,,,a-p---fns,,,,,,,
33,Πολιτείας,,πολιτεία,,,,,,,,,,,,,,,,,,,n-s---fg-,,,,,,,
34,φυσικαὶ,φυσικός,,,,,,,,,,,,,,,,,,,,a-p---fn-,,,,,,,
35,ἀναγκαία,,ἀναγκαῖος,,,,,,,,,,,,,,,,,,,a-s---fn-,,,,,,,
36,πῄ,πη,,,,,,,,,,,,,,,,,,,,d--------,,,,,,,
37,ἀλλοίων,ἀλλοῖος,,,,,,,,,,,,,,,,,,,,a-p---ng-,,,,,,,
38,φρόνησιν,φρόνησις,,,,,,,,,,,,,,,,,,,,n-p---fd-,n-s---fa-,,,,,,
39,ὀρθότατα,ὀρθός,,,,,,,,,,,,,,,,,,,,a-p---nas,,,,,,,
40,μεγαλοψυχοτέρας,μεγαλόψυχος,,,,,,,,,,,,,,,,,,,,a-p---fac,,,,,,,
41,ποιούσης,ποιέω,,,,,,,,,,,,,,,,,,,,v-sppafg-,,,,,,,
42,προῃρημένοι,,προαιρέω,,,,,,,,,,,,,,,,,,,v-prpemn-,,,,,,,
43,μεγαλοψυχότατοι,,μεγαλόψυχος,,,,,,,,,,,,,,,,,,,a-p---mns,,,,,,,
44,μεγίστη,μέγας,,,,,,,,,,,,,,,,,,,,a-s---fns,a-s---fns,,,,,,
45,ἠμπίσχοντο,ἀμπίσχω,,,,,,,,,,,,,,,,,,,,v3piie---,,,,,,,
46,ὑπέδυνον,,ὑποδύω,,,,,,,,,,,,,,,,,,,v3piia---,,,,,,,
47,κορύμβους,,κόρυμβος,,,,,,,,,,,,,,,,,,,n-p---ma-,,,,,,,
48,χρυσοῦς,,,,χρύσεος,,,,,,,,,,,,,,,,,a-p---ma-,a-s---mn-,,,,,,
49,κόρρας,,κόρση,,,,,,,,,,,,,,,,,,,n-p---fa-,,,,,,,
50,ἐφόρουν,,φορέω,,,,,,,,,,,,,,,,,,,v3piia---,,,,,,,
51,ὀκλαδίας,ὀκλαδία,ὀκλαδίας,,,,,,,,,,,,,,,,,,,n-p---fa-,,,,,,,
52,ἁδονᾶς,,ἡδονή,,,,,,,,,,,,,,,,,,,n-s---fg-,,,,,,,
53,τᾶσδ᾽,,ὅδε,,,,,,,,,,,,,,,,,,,p-s---fg-,,,,,,,
54,ζαλωτὸς,,ζηλωτός,,,,,,,,,,,,,,,,,,,a-s---mn-,,,,,,,
55,Συρακοσίων,,Συρακόσιος,,,,,,,,,,,,,,,,,,,a-p---fg-,n-p---mg-,,,,,,
56,ἀοιδοῦ,ἀοιδός,,,,,,,,,,,,,,,,,,,,n-s---mg-,,,,,,,
57,πλήθωσι,πλήθω,,,,,,,,,,,,,,,,,,,,v3ppsa---,,,,,,,
58,ῥεῖα,ῥεῖα,,,,,,,,,,,,,,,,,,,,d--------,,,,,,,
59,ἀπόνως,,ἄπονος,,,,,,,,,,,,,,,,,,,d--------,,,,,,,
60,Ἡρακλέους,,Ἡρακλέης,,,,,,,,,,,,,,,,,,,n-p---ma-,n-s---mg-,,,,,,
61,εἰρήκασιν,λέγω,,,,,,,,,,,,,,,,,,,,v3pria---,,,,,,,
62,εἴποι,,,,λέγω,,,,,,,,,,,,,,,,,v3saoa---,,,,,,,
63,πόθεν,,πόθεν,,,,,,,,,,,,,,,,,,,d--------,,,,,,,
64,λοιβαίας,,λοιβαῖος,,,,,,,,,,,,,,,,,,,a-s---fg-,,,,,,,
65,εἰώθασι,,,ἔθω,,,,,,,,,,,,,,,,,,v3pria---,,,,,,,
66,λεοντῆν,λεοντέη,,,,,,,,,,,,,,,,,,,,n-s---fa-,,,,,,,
67,ἐγχείῃ,ἐγχέω,,,,,,,,,,,,,,,,,,,,v3spsa---,,,,,,,
68,εἴδεται,εἴδομαι,,,,,,,,,,,,,,,,,,,,v3spim---,,,,,,,
69,Φαίαξιν,,Φαίαξ,,,,,,,,,,,,,,,,,,,n-p---md-,,,,,,,
70,δαίς,δαίς,,,,,,,,,,,,,,,,,,,,n-s---fn-,,,,,,,
71,φίλη,φίλη,φίλος,,,,,,,,,,,,,,,,,,,a-s---fn-,n-p---nn-,,,,,,
72,λοετρά,λοετρόν,,,,,,,,,,,,,,,,,,,,n-p---nn-,,,,,,,
73,παρεόντι,πάρειμι,,,,,,,,,,,,,,,,,,,,v-sppamd-,v-sppand-,,,,,,
74,ἀλλοῖα,ἀλλοῖος,,,,,,,,,,,,,,,,,,,,a-p---na-,,,,,,,
75,Ἰφιγενείᾳ,Ἰφιγένεια,,,,,,,,,,,,,,,,,,,,n-s---fd-,,,,,,,
76,πουλύπους,πολύπους,,,,,,,,,,,,,,,,,,,,n-s---mn-,,,,,,,
77,πουλύπου,πολύπους,,,,,,,,,,,,,,,,,,,,n-s---mg-,,,,,,,
78,ἠγορόωντο,ἀγοράομαι,,,,,,,,,,,,,,,,,,,,v3piim---,,,,,,,
79,χρυσέῳ,,χρύσεος,,,,,,,,,,,,,,,,,,,a-s---nd-,,,,,,,
80,σφισι,,σφεῖς,,,,,,,,,,,,,,,,,,,p3p---md-,,,,,,,
81,ἐῳνοχόει,,οἰνοχοέω,,,,,,,,,,,,,,,,,,,v3siia---,,,,,,,
82,χρυσέοις,,χρύσεος,,,,,,,,,,,,,,,,,,,a-p---nd-,,,,,,,
83,δειδέχατ᾽,δέχομαι,,,,,,,,,,,,,,,,,,,,v3prie---,,,,,,,
84,κεν,κε,,,,,,,,,,,,,,,,,,,,d--------,,,,,,,
85,ἥμεθα,,ἧμαι,,,,,,,,,,,,,,,,,,,v1piim---,,,,,,,
86,δαινύμενοι,δαίνυμι,,,,,,,,,,,,,,,,,,,,v-pppemn-,,,,,,,
87,Ῥάγαις,Ῥαγαί,,,,,,,,,,,,,,,,,,,,n-p---fd-,,,,,,,
88,πολυτιμοτέρα,,πολύτιμος,,,,,,,,,,,,,,,,,,,a-s---fnc,,,,,,,
89,κατίοι,κάτειμι,,,,,,,,,,,,,,,,,,,,v3spoa---,,,,,,,
90,κατήιει,κάτειμι,,,,,,,,,,,,,,,,,,,,v3siia---,,,,,,,
91,α᾽,α᾽,,,,,,,,,,,,,,,,,,,,m--------,,,,,,,
92,νυκτὸς,νύξ,,,,,,,,,,,,,,,,,,,,n-s---fg-,,,,,,,
93,ᾄδουσαι,ἀείδω,,,,,,,,,,,,,,,,,,,,v-pppafn-,,,,,,,
94,παλλακίσιν,,παλλακίς,,,,,,,,,,,,,,,,,,,n-p---fd-,,,,,,,
95,δορυφόρων,δορυφόρος,,,,,,,,,,,,,,,,,,,,a-p---mg-,,,,,,,
96,στυράκων,στύραξ,,,,,,,,,,,,,,,,,,,,n-p---mg-,,,,,,,
97,μῆλα,μῆλον,,,,,,,,,,,,,,,,,,,,n-p---na-,,,,,,,
98,χρυσᾶ,,χρύσεος,,,,,,,,,,,,,,,,,,,a-p---na-,,,,,,,
99,Ἀθανάτων,ἀθάνατος,,,,,,,,,,,,,,,,,,,,a-p---mg-,,,,,,,
100,διῄει,δίειμι,,,,,,,,,,,,,,,,,,,,v3siia---,,,,,,,
101,ψιλοταπίδων,,ψιλόταπις,,,,,,,,,,,,,,,,,,,n-p---fg-,,,,,,,
102,ἐξίοι,,ἔξειμι,,,,,,,,,,,,,,,,,,,v3spoa---,,,,,,,
103,συνεξῄεσαν,συνέξειμι,,,,,,,,,,,,,,,,,,,,v3piia---,,,,,,,
104,περιειστήκεσαν,,περιίστημι,,,,,,,,,,,,,,,,,,,v3plia---,,,,,,,
105,χρυσοῖ,,χρύσεος,,,,,,,,,,,,,,,,,,,a-p---mn-,,,,,,,
106,πορφυροῦν,,πορφύρεος,,,,,,,,,,,,,,,,,,,a-s---ma-,a-s---nn-,,,,,,
107,Βίων,,,,,,βίος,,,,,,,,,,,,,,,n-p---mg-,n-s---mg-,,,,,,
108,περικτιόνων,περικτίονες,,,,,,,,,,,,,,,,,,,,n-p---mg-,,,,,,,
109,τρυφὴ,τρυφή,,,,,,,,,,,,,,,,,,,,n-s---fn-,,,,,,,
110,Ἱστοριῶν,ἱστορία,,,,,,,,,,,,,,,,,,,,n-p---fg-,,,,,,,
111,ποδῶν,πoύς,,,,,,,,,,,,,,,,,,,,n-p---mg-,,,,,,,
112,τρίκλινον,τρίκλινον,,,,,,,,,,,,,,,,,,,,a-s---nn-,,,,,,,
113,χρυσῆ,,χρύσεος,,,,,,,,,,,,,,,,,,,a-s---fn-,,,,,,,
114,Ἀμύντας,Ἀμύντης,,,,,,,,,,,,,,,,,,,,n-s---mn-,,,,,,,
115,Σταθμοῖς,,σταθμός,,,,,,,,,,,,,,,,,,,n-p---md-,,,,,,,
116,μακράν,μακράν,μακρός,,,,,,,,,,,,,,,,,,,a-s---fa-,d--------,,,,,,
117,χρυσοῦν,χρυσόω,,,χρύσεος,,,,,,,,,,,,,,,,,a-s---ma-,a-s---na-,v-sppana-,,,,,
118,Ἀγαθοκλῆς,Ἀγάθοκλεης,,,,,,,,,,,,,,,,,,,,n-s---mn-,,,,,,,
119,πρεσβύτατον,πρέσβυς,,,,,,,,,,,,,,,,,,,,a-s---mas,a-s---mas,,,,,,
120,μη-δὲ,μηδέ,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,οὐ-δέ,οὐδέ,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Ζεύς,Ζεύς,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,φυσικαί,φυσικός,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,-, ,-,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Ὀδυσσεύς,Ὀδυσσεύς,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,νυκτός,νύξ,,,,,,,,,,,,,,,,,,,,n-s---fg-,,,,,,,
127,τρυφή,τρυφή,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Παιδείας,,παιδεία,,,,,,,,,,,,,,,,,,,n-s---fg-,,,,,,,
129,μαλακῶς,μαλακός,,,,,,,,,,,,,,,,,,,,d--------,,,,,,,
130,ὑποστόρνυσθαι,,,ὑποστόρνυμι,,,,,,,,,,,,,,,,,,v--pne---,,,,,,,
131,ὑπείκωσιν,ὑπείκω,,,,,,,,,,,,,,,,,,,,v3prsa---,,,,,,,
132,πεττόμενα,πέσσω,,,,,,,,,,,,,,,,,,,,v-pppenn-,,,,,,,
133,ἄλλα,  ,,ἄλλος,,,,,,,,,,,,,,,,,,a-p---na-,c--------,p-p---na-,p-p---nn-,,,,
134,ἐσκεπάσθαι,σκεπάζω,,,,,,,,,,,,,,,,,,,,v--rne---,,,,,,,
135,χερσὶν,χείρ,,,,,,,,,,,,,,,,,,,,n-p---fd-,,,,,,,
136,δασείας,,δασύς,,,,,,,,,,,,,,,,,,,a-p---fa-,,,,,,,
137,ἔν,εἰς,ἐν,,,,,,,,,,,,,,,,,,,r--------,,,,,,,
138,σκιαί,σκιά,,,,,,,,,,,,,,,,,,,,n-p---fn-,,,,,,,
139,κἀν,καὶ ἐάν,,,,,,,,,,,,,,,,,,,,r--------,,,,,,,
140,κοσμητὰς,,κοσμητής,,,,,,,,,,,,,,,,,,,n-p---ma-,,,,,,,
141,ὑποχρίουσί,ὑποχρίω,,,,,,,,,,,,,,,,,,,,v3ppia---,,,,,,,
142,τἄλλα,,,ὁ ἄλλος,,,,,,,,,,,,,,,,,,a-p---nn-,p-p---na-,p-p---nn-,,,,,
143,Λυδὸς,Λυδός,,,,,,,,,,,,,,,,,,,,n-s---mn-,,,,,,,
144,Σκυτοβραχίων,,σκυτοβραχίων,,,,,,,,,,,,,,,,,,,n-s---mn-,,,,,,,
145,Κασανδρεὺς,,Κασανδρεύς,,,,,,,,,,,,,,,,,,,a-s---mn-,,,,,,,
146,παλαιοτέρου,παλαιός,,,,,,,,,,,,,,,,,,,,a-s---mgc,,,,,,,
147,Λυδιακῶν,Λυδιακά,,,,,,,,,,,,,,,,,,,,n-p---ng-,,,,,,,
148,Ἀδραμύτην,̓Αδραμύτης,,,,,,,,,,,,,,,,,,,,n-s---ma-,,,,,,,
149,ἐσκιατροφοῦντο,σκιατροφέω,,,,,,,,,,,,,,,,,,,,v3piie---,,,,,,,
150,Ἁγνεῶνα,ἁγνεών,,,,,,,,,,,,,,,,,,,,n-s---ma-,,,,,,,
151,κατῆρξε,,κατάρχω,,,,,,,,,,,,,,,,,,,v3saia---,,,,,,,
152,σημεῖὸν,σημεῖον,,,,,,,,,,,,,,,,,,,,n-s---nn-,,,,,,,
153,αὐτὴ,αὐτός,,,,,,,,,,,,,,,,,,,,a-s---fn-,p-s---fn-,,,,,,
154,Ἀγκῶνα,Ἀγκών,,,,,,,,,,,,,,,,,,,,n-s---ma-,,,,,,,
155,Λοκρῶν,,Λοκρός,,,,,,,,,,,,,,,,,,,n-p---mg-,,,,,,,
156,ἐξελκύσας,ἐξέλκω,,,,,,,,,,,,,,,,,,,,v-sapamn-,,,,,,,
157,Ὀψαρτυτικὰ,ὀψαρτυτικός,,,,,,,,,,,,,,,,,,,,a-p---na-,,,,,,,
158,Ἡρακλεῖδαί,Ἡρακλείδης,,,,,,,,,,,,,,,,,,,,n-p---mn-,,,,,,,
159,Συρακόσιοι,,Συρακόσιος,,,,,,,,,,,,,,,,,,,a-p---mn-,n-p---mn-,,,,,,
160,Ἆγις,,,Ἆγις,,,,,,,,,,,,,,,,,,n-s---mn-,,,,,,,
161,Ὀψαρτυτικά,ὀψαρτυτικός,,,,,,,,,,,,,,,,,,,,a-p---na-,,,,,,,
162,ἑφθοῦ,ἑφθός,,,,,,,,,,,,,,,,,,,,a-s---ng-,,,,,,,
163,Παννυχίδι,,παννυχίς,,,,,,,,,,,,,,,,,,,n-s---fd-,,,,,,,
164,Ἐρίθοις,ἔριθος,,,,,,,,,,,,,,,,,,,,n-p---md-,,,,,,,
165,κάνδαυλόν,κάνδαυλος,,,,,,,,,,,,,,,,,,,,n-s---ma-,,,,,,,
166,προσκατέδει,,προσκατεσθίω,,,,,,,,,,,,,,,,,,,v2sfim---,,,,,,,
167,λευκὰ,λευκόν,,,,,,,,,,,,,,,,,,,,n-p---na-,,,,,,,
168,ἀντακαῖον,,ἀντακαῖος,,,,,,,,,,,,,,,,,,,n-s---ma-,,,,,,,
169,τάριχος,τάριχος,,,,,,,,,,,,,,,,,,,,n-s---na-,,,,,,,
170,παραθήσω,,παρατίθημι,,,,,,,,,,,,,,,,,,,v1sasa---,v1sfia---,,,,,,
171,κᾠὸν,καὶ ᾠόν,,,,,,,,,,,,,,,,,,,,n-s---na-,,,,,,,
172,πῦον,,πῦον,,,,,,,,,,,,,,,,,,,n-s---ma-,,,,,,,
173,ὀξύβαφον,ὀξύβαφον,,,,,,,,,,,,,,,,,,,,n-s---na-,,,,,,,
174,ταγηνιῶν,ταγηνίας,,,,,,,,,,,,,,,,,,,,n-p---mg-,,,,,,,
175,Κυθνίου,,Κύθνιος,,,,,,,,,,,,,,,,,,,a-s---mg-,,,,,,,
176,παρατεμὼν,,παρατέμνω,,,,,,,,,,,,,,,,,,,v-sapamn-,,,,,,,
177,Παρεισιόντι,παρείσειμι,,,,,,,,,,,,,,,,,,,,v-sppamd-,,,,,,,
178,ἐξιόντες,,ἔξειμι,,,,,,,,,,,,,,,,,,,v-pppamn-,,,,,,,
179,συρίγγων,,σῦριγξ,,,,,,,,,,,,,,,,,,,n-p---fg-,,,,,,,
180,Παρασκευαστικοῖς,,παρασκευαστικός,,,,,,,,,,,,,,,,,,,a-p---md-,,,,,,,
181,ἀποδεικνύει,ἀποδείκνυμι,,,,,,,,,,,,,,,,,,,,v3spia---,,,,,,,
182,θυρὶς,θυρίς,,,,,,,,,,,,,,,,,,,,n-s---fn-,,,,,,,
183,ὑψηλοτάτῳ,ὑψηλός,,,,,,,,,,,,,,,,,,,,a-s---nds,,,,,,,
184,δέδεται,δέω,,,,,,,,,,,,,,,,,,,,v3srie---,,,,,,,
185,ἐπιλαμβάνεται,,ἐπιλαμβάνω,,,,,,,,,,,,,,,,,,,v3spie---,,,,,,,
186,Τυρρηνοῖς,,,Τυρρηνός,,,,,,,,,,,,,,,,,,n-p---md-,,,,,,,
187,ἐκτόπως,,ἔκτοπος,,,,,,,,,,,,,,,,,,,d--------,d-------p,,,,,,
188,γυμναὶ,γυμνός,,,,,,,,,,,,,,,,,,,,a-p---fn-,,,,,,,
189,αὐτὰς,αὐτός,,,,,,,,,,,,,,,,,,,,p-p---fa-,,,,,,,
190,Τυρρηνοὺς,,,Τυρρηνός,,,,,,,,,,,,,,,,,,n-p---ma-,,,,,,,
191,δέουσιν,δέω,,,,,,,,,,,,,,,,,,,,v3ppia---,,,,,,,
192,ἑταιρίας,,ἑταιρεία,,,,,,,,,,,,,,,,,,,n-p---fa-,n-s---fg-,,,,,,
193,νεανίσκους,,νεανίσκος,,,,,,,,,,,,,,,,,,,n-p---ma-,,,,,,,
194,συνόντες,σύνειμι,,,,,,,,,,,,,,,,,,,,v-pppamn-,,,,,,,
195,καλοὶ,καλός,,,,,,,,,,,,,,,,,,,,a-p---mn-,,,,,,,
196,πιττοῦνται,,πισσόω,,,,,,,,,,,,,,,,,,,v3ppie---,,,,,,,
197,ξυροῦνται,,ξυρέω,,,,,,,,,,,,,,,,,,,v3ppie---,,,,,,,
198,πράγματός,πρᾶγμα,,,,,,,,,,,,,,,,,,,,n-s---ng-,,,,,,,
199,παριόντας,,πάρειμι,,,,,,,,,,,,,,,,,,,v-pppama-,,,,,,,
200,Μεσσαπίων,,Μεσσάπιος,,,,,,,,,,,,,,,,,,,n-p---mg-,,,,,,,
201,μάττουσιν,μάσσω,,,,,,,,,,,,,,,,,,,,v3ppia---,,,,,,,
202,εἰσὶν,,εἰμί,,,,,,,,,,,,,,,,,,,v3ppia---,,,,,,,
203,ποιούσας,ποιέω,,,,,,,,,,,,,,,,,,,,v-pppafa-,,,,,,,
204,πορευόμενος,,,πορεύω,,,,,,,,,,,,,,,,,,v-sppemn-,,,,,,,
205,ἀποκρίνασθαί,ἀποκρίνω,,,,,,,,,,,,,,,,,,,,v--anm---,,,,,,,
206,θεασάμενος,θεάομαι,,,,,,,,,,,,,,,,,,,,v-sapemn-,v-sapmmn-,,,,,,
207,ἀνανδρότατον,,ἄνανδρος,,,,,,,,,,,,,,,,,,,a-s---mas,,,,,,,
208,ἀνθρωπάρια,ἀνθρωπάριον,,,,,,,,,,,,,,,,,,,,n-p---na-,,,,,,,
209,μικρὰ,μικρός,,,,,,,,,,,,,,,,,,,,a-p---na-,a-p---nn-,,,,,,
210,σκωπαίους,,σκωπαῖος,,,,,,,,,,,,,,,,,,,n-p---ma-,,,,,,,
211,Μαυρουσίων,,Μαυρούσιος,,,,,,,,,,,,,,,,,,,n-p---mg-,,,,,,,
212,Ὑπομνημάτων,ὑπόμνημα,,,,,,,,,,,,,,,,,,,,n-p---ng-,,,,,,,
213,παιδίοις,,,παιδίον,,,,,,,,,,,,,,,,,,n-p---md-,n-p---nd-,,,,,,
214,κωμικὸς,κωμικός,,,,,,,,,,,,,,,,,,,,a-s---mn-,,,,,,,
215,Χάρισιν,χάρις,,,,,,,,,,,,,,,,,,,,n-p---fd-,,,,,,,
216,στρουθὸν,στρουθός,,,,,,,,,,,,,,,,,,,,n-s---ma-,,,,,,,
217,Παιδιᾶς,παιδιά,,,,,,,,,,,,,,,,,,,,n-s---fg-,,,,,,,
218,Ἀρχύταν,,Ἀρχύτης,,,,,,,,,,,,,,,,,,,n-s---ma-,,,,,,,
219,πολιτικὸν,πολιτικός,,,,,,,,,,,,,,,,,,,,a-s---ma-,,,,,,,
220,Τυρρηνούς,,Τυρρηνός,,,,,,,,,,,,,,,,,,,n-p---ma-,,,,,,,
221,Ἴωνας,Ἰάονες,,,,,,,,,,,,,,,,,,,,n-p---ma-,,,,,,,
222,νεώτεροι,νέος,,,,,,,,,,,,,,,,,,,,a-p---mn-,a-p---mnc,,,,,,
223,Νυμφῶν,,νύμφη,,,,,,,,,,,,,,,,,,,n-p---fg-,,,,,,,
224,Λουσιάδων,Λουσιάς,,,,,,,,,,,,,,,,,,,,n-p---fg-,,,,,,,
225,πορευόμενοι,,πορεύω,,,,,,,,,,,,,,,,,,,v-pppemn-,,,,,,,
226,πολλὰς,πολύς,,,,,,,,,,,,,,,,,,,,a-p---fa-,,,,,,,
227,φιλοτιμηθέντας,φιλοτιμέομαι,,,,,,,,,,,,,,,,,,,,v-papema-,,,,,,,
228,πύελοι,,πύελος,,,,,,,,,,,,,,,,,,,n-p---fn-,,,,,,,
229,ἐπυριῶντο,πυριάω,,,,,,,,,,,,,,,,,,,,v3piie---,,,,,,,
230,ἐσεμνύνοντο,,σεμνύνω,,,,,,,,,,,,,,,,,,,v3piie---,,,,,,,
231,ἀλιμένου,ἀλίμενος,,,,,,,,,,,,,,,,,,,,a-s---fg-,a-s---ng-,,,,,,
232,ἐκλελυμένως,ἐκλελυμένως,,,,,,,,,,,,,,,,,,,,d--------,,,,,,,
233,κοίλῳ,κοῖλος,,,,,,,,,,,,,,,,,,,,a-s---nd-,,,,,,,
234,δυόμενον,δύω,,,,,,,,,,,,,,,,,,,,v-sppema-,,,,,,,
235,ἀνίσχοντα,,,ἀνίσχω,,,,,,,,,,,,,,,,,,v-sppama-,,,,,,,
236,χρησομένους,,,χράω,,,,,,,,,,,,,,,,,,v-pfpmma-,,,,,,,
237,θαλίῃσιν,θαλία,,,,,,,,,,,,,,,,,,,,n-p---fd-,,,,,,,
238,μεταβολὴ,μεταβολή,,,,,,,,,,,,,,,,,,,,n-s---fn-,,,,,,,
239,Κροτωνιᾶται,Κροτωνιάτης,,,,,,,,,,,,,,,,,,,,n-p---mn-,,,,,,,
240,συμπαρῆσαν,συμπάρειμι,,,,,,,,,,,,,,,,,,,,v3piia---,,,,,,,
241,αὐληταὶ,αὐλητής,,,,,,,,,,,,,,,,,,,,n-p---mn-,,,,,,,
242,Καρδιανῶν,,Καρδιανός,,,,,,,,,,,,,,,,,,,n-p---mg-,,,,,,,
243,Λαμψακηνὸς,,Λαμψακηνός,,,,,,,,,,,,,,,,,,,n-s---mn-,,,,,,,
244,Ὥρων,ὧρος,,,,,,,,,,,,,,,,,,,,n-p---mg-,,,,,,,
245,Καρδιηνῷ,,Καρδιηνός,,,,,,,,,,,,,,,,,,,n-s---md-,,,,,,,
246,κορσωτεὺς,κορσωτεύς,,,,,,,,,,,,,,,,,,,,n-s---mn-,,,,,,,
247,Καρδιηνοῖς,,Καρδιηνός,,,,,,,,,,,,,,,,,,,n-p---md-,,,,,,,
248,Καρδιηνοὺς,Καρδιηνός,,,,,,,,,,,,,,,,,,,,n-p---ma-,,,,,,,
249,Καρδιηνοὶ,Καρδιηνός,,,,,,,,,,,,,,,,,,,,n-p---mn-,,,,,,,
250,αὐλητρὶς,αὐλητρίς,,,,,,,,,,,,,,,,,,,,n-s---fn-,,,,,,,
251,Καρδιηνῶν,,Καρδιηνός,,,,,,,,,,,,,,,,,,,n-p---mg-,,,,,,,
252,Κρότωνά,Κρότων,,,,,,,,,,,,,,,,,,,,n-s---fa-,,,,,,,
253,ἐναυλώσατο,ναυλόω,,,,,,,,,,,,,,,,,,,,v3saim---,,,,,,,
254,ὑποστορέσαι,ὑποστόρνυμι,,,,,,,,,,,,,,,,,,,,v--ana---,,,,,,,
255,προδιεστειλάμην,προδιαστέλλω,,,,,,,,,,,,,,,,,,,,v1saim---,,,,,,,
256,χερσίν,χείρ,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Λυδός,Λυδός,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,--, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
