Forma,Lemma Corretto
ἐλέγχων,['ἔλεγχος']
ἐλέχθη,['λέγω']
ἐλέχθησαν,"['λέγω', 'λέγω']"
ἐλήλαται,['ἐλαύνω']
ἐλήλυθας,['ἔρχομαι']
ἐλήλυθεν,['ἔρχομαι']
ἐλίμωττεν,"['  ', 'λιμώσσω']"
ἐλίπετο,['λείπω']
ἐλαία,['ἐλαία']
ἐλαίαις,['ἐλαία']
ἐλαίῳ,"['ἔλαιος', 'ἔλαιος']"
ἐλαιουργίων,['ἐλαιούργιον']
ἐλαιοφόρου,['ἐλαιοφόρος']
ἐλατίνῳ,"['ἐλάτινος', 'ἐλάτινος']"
ἐλαττουμένων,['ἐλασσόω']
ἐλαττούμενοι,['ἐλασσόω']
ἐλαττούμενον,['ἐλασσόω']
ἐλαττούμενος,['ἐλασσόω']
ἐλαττούμενόν,['ἐλασσόω']
ἐλαττοῦμαι,['ἐλασσόω']
ἐλαττοῦντες,['ἐλασσόω']
ἐλαττοῦσθαι,['ἐλασσόω']
ἐλαττωθήσεται,['ἐλασσόω']
ἐλαττωθὲν,['ἐλασσόω']
ἐλαττῶσαι,['ἐλασσόω']
ἐλαυνομένων,['ἐλαύνω']
ἐλαφηβολιῶνος,['ἐλαφηβολιών']
ἐλαφρίζουσα,['ἐλαφρίζω']
ἐλαφρῶς,['ἐλαφρός']
ἐλαφρῷ,['ἐλαφρός']
ἐλαχίστη,['ἐλαχύς']
ἐλαχίστην,['ἐλαχύς']
ἐλαχίστου,['ἐλαχύς']
ἐλαχίστους,['ἐλαχύς']
ἐλαχίστων,['ἐλαχύς']
ἐλαύνοντα,['ἐλαύνω']
ἐλαύνοντες,"['  ', 'ἐλαύνω']"
ἐλαύνουσα,['ἐλαύνω']
ἐλαύνων,"['  ', 'ἐλαύνω']"
ἐλαύνῃ,['ἐλαύνω']
ἐλεήσαντας,['ἐλεέω']
ἐλεήσας,['ἐλεέω']
ἐλεήσασα,['ἐλεέω']
ἐλεήσειεν,['ἐλεέω']
ἐλείποντο,['λείπω']
ἐλεγείαις,['ἐλεγεία']
ἐλεγεῖα,['ἐλεγεῖον']
ἐλεγκτήρ,['ἐλεγκτήρ']
ἐλεγκτὴρ,['ἐλεγκτήρ']
ἐλεγχθήσεται,['ἐλέγχω']
ἐλεγχομένους,['ἐλέγχω']
ἐλεγχόμενος,['ἐλέγχω']
ἐλεεῖ,['ἐλεέω']
ἐλεεῖν,['ἐλεέω']
ἐλεεῖς,['ἐλεέω']
ἐλεεῖσθαί,['ἐλεέω']
ἐλεεῖσθαι,['ἐλεέω']
ἐλεηθείη,"['ἐλεέω', 'v3saop---']"
ἐλεηθῆναι,['ἐλεέω']
ἐλεηλάτει,['λεηλατέω']
ἐλεινὰ,['ἐλεινός']
ἐλειτούργει,['λειτουργέω']
ἐλεοῦντα,['ἐλεέω']
ἐλευθέραις,['ἐλεύθερος']
ἐλευθέρας,['ἐλεύθερος']
ἐλευθέρια,['ἐλευθέρια']
ἐλευθέριον,['ἐλευθέριος']
ἐλευθέριος,['ἐλευθέριος']
ἐλευθέρους,['ἐλεύθερος']
ἐλευθερίας,['ἐλευθερία']
ἐλευθερίου,['ἐλευθέριος']
ἐλευθερίων,['ἐλευθέριος']
ἐλευθερίως,['ἐλευθέριος']
ἐλευθεροῦντο,['ἐλευθερόω']
ἐλευθερωθεῖεν,['ἐλευθερόω']
ἐλευθερωτέρη,['ἐλεύθερος']
ἐλευκοῦντο,['λευκόω']
ἐλεύθεροι,['ἐλεύθερος']
ἐλεῆσαι,['ἐλεέω']
ἐλεῶν,['ἐλεέω']
ἐληίζετο,['ληίζομαι']
ἐληλαμένας,"['  ', 'ἐλαύνω']"
ἐληλυθώς,"['ἔρχομαι', 'ἔρχομαι']"
ἐλθεῖν,['ἔρχομαι']
ἐλθοῦσι,['ἔρχομαι']
ἐλθοῦσ᾽,['ἔρχομαι']
ἐλθόντα,['ἔρχομαι']
ἐλθόντας,['ἔρχομαι']
ἐλθόντες,['ἔρχομαι']
ἐλθὸν,['ἔρχομαι']
ἐλθὼν,"['  ', 'ἔρχομαι']"
ἐλινύας,['ἐλινύς']
ἐλλάμψεσθαι,['ἐλλάμπω']
ἐλλέβορον,['ἐλλέβορος']
ἐλλείπειν,['ἐλλείπω']
ἐλλείποντας,['ἐλλείπω']
ἐλλογιμωτάτας,['ἐλλόγιμος']
ἐλογοποίει,['λογοποιέω']
ἐλοιδορεῖτο,['λοιδορέω']
ἐλπίδα,"['  ', 'ἐλπίς']"
ἐλπίδας,['ἐλπίς']
ἐλπίδες,['ἐλπίς']
ἐλπίδων,"['ἐλπίς', 'ἐλπίς']"
ἐλπίζειν,['ἐλπίζω']
ἐλπίζοντας,['ἐλπίζω']
ἐλπίζων,['ἐλπίζω']
ἐλπίς,['ἐλπίς']
ἐλπίσαι,['ἐλπίζω']
ἐλπίσαντα,['ἐλπίζω']
ἐλπίσας,['ἐλπίζω']
ἐλπίσιν,"['  ', 'ἐλπίς']"
ἐλυσάμην,['λύω']
ἐλυσιτέλει,['λυσιτελέω']
ἐλόχα,['λοχάω']
ἐλόχισε,['λοχίζω']
ἐλύθη,['λύω']
ἐλύπει,['λυπέω']
ἐλύσαντο,['λύω']
ἐλύσατο,['λύω']
ἐλᾳδίου,['ἐλᾴδιον']
ἐλᾷς,['ἐλαύνω']
ἐλῃτούργει,['λειτουργέω']
ἐλῃτούργησε,['λειτουργέω']
ἐλῄζετο,['ληίζομαι']
ἐλῶσι,['ἐλαύνω']
ἐμάχοντο,['μάχομαι']
ἐμέ,['ἐγώ']
ἐμέμικτο,['μίγνυμι']
ἐμέμψατο,['μέμφομαι']
ἐμέο,['ἐγώ']
ἐμέσαι,['ἐμέω']
ἐμήν,['ἐμός']
ἐμήσατο,"['μήδομαι', 'μήδομαι']"
ἐμίσγετο,['μίγνυμι']
ἐμίσγετό,['μίγνυμι']
ἐμακάριζον,['μακαρίζω']
ἐμαραίνετο,['μαραίνω']
ἐμαυτοῦ,['ἐμαυτοῦ']
ἐμαυτόν,['ἐμαυτοῦ']
ἐμαυτὸν,['ἐμαυτοῦ']
ἐμαυτῷ,['ἐμαυτοῦ']
ἐμβάλλοντες,"['ἐμβάλλω', 'ἐμβάλλω']"
ἐμβάλλουσι,['ἐμβάλλω']
ἐμβάλλουσιν,['ἐμβάλλω']
ἐμβάντες,['ἐμβαίνω']
ἐμβάσι,"['  ', 'ἐμβάς']"
ἐμβαδὸν,['ἐμβαδόν']
ἐμβαλέσθαι,['ἐμβάλλω']
ἐμβαλεῖς,"['ἐμβάλλω', 'ἐμβάλλω']"
ἐμβαλόντα,['ἐμβάλλω']
ἐμβαλόντες,['ἐμβάλλω']
ἐμβαλόντι,['ἐμβάλλω']
ἐμβαλὼν,"['  ', 'ἐμβάλλω']"
ἐμβολίμου,['ἐμβόλιμος']
ἐμβολαῖς,['ἐμβολή']
ἐμβολὰς,"['ἐμβολάς', 'ἐμβολή']"
ἐμβολῆς,['ἐμβολή']
ἐμβολῶν,['ἐμβολή']
ἐμβρόντητε,['ἐμβρόντητος']
ἐμβόλιμοι,['ἐμβόλιμος']
ἐμβόλοις,['ἔμβολον']
ἐμεθύσθη,['μεθύσκω']
ἐμειοῦτο,['μειόω']
ἐμεμελήκει,['μέλω']
ἐμεσολαβήθη,['μεσολαβέω']
ἐμετίετο,['μεθίημι']
ἐμεωυτοῦ,['ἐμαυτοῦ']
ἐμεωυτόν,['ἐμαυτοῦ']
ἐμεῦ,['ἐγώ']
ἐμηχανήσατο,['μηχανάομαι']
ἐμηχανᾶτο,['μηχανάομαι']
ἐμιμήσαντο,['μιμέομαι']
ἐμισθοῦτο,['μισθόω']
ἐμμέμικται,['ἐμμίγνυμι']
ἐμμένητε,['ἐμμένω']
ἐμμένοιέν,['ἐμμένω']
ἐμμελέστατος,['ἐμμελής']
ἐμμελῶς,"['ἐμμελής', 'ἐμμελής']"
ἐμνήσθη,['μιμνῄσκω']
ἐμνήσθημεν,['μιμνῄσκω']
ἐμνήσθην,['μιμνῄσκω']
ἐμνημόνευσαν,"['μνημονεύω', 'μνημονεύω']"
ἐμνᾶτο,['μνάομαι']
ἐμοί,['ἐγώ']
ἐμοίχευεν,['μοιχεύω']
ἐμοὶ,['ἐγώ']
ἐμοὺς,['ἐμός']
ἐμοῦ,"['ἐγώ', 'ἐμός']"
ἐμπέπτωκεν,['ἐμπίπτω']
ἐμπέπτωκ᾽,['ἐμπίπτω ']
ἐμπέσοι,['ἐμπίπτω ']
ἐμπέσω,['ἐμπίπτω']
ἐμπέσῃ,['ἐμπίπτω']
ἐμπίπλησι,['ἐμπίμπλημι']
ἐμπίπρησιν,['ἐμπίμπρημι']
ἐμπίπτει,['ἐμπίπτω']
ἐμπίπτειν,['ἐμπίπτω']
ἐμπίπτοντες,['ἐμπίπτω']
ἐμπίπτουσαι,['ἐμπίπτω']
ἐμπίπτουσιν,['ἐμπίπτω']
ἐμπίπτων,['ἐμπίπτω']
ἐμπίπτωσι,['ἐμπίπτω']
ἐμπείρως,['ἔμπειρος']
ἐμπείρῳ,['ἔμπειρος']
ἐμπεδῶς,['ἔμπεδος']
ἐμπειρίαν,['ἐμπειρία']
ἐμπειρίας,['ἐμπειρία']
ἐμπειροτέρως,['ἔμπειρος']
ἐμπειρότατα,['ἔμπειρος']
ἐμπειρότατον,['ἔμπειρος']
ἐμπεπαισμένῳ,"['ἐμπαίζω', 'ἐμπαίω', 'ἐμπαίζω', 'ἐμπαίω']"
ἐμπεπηγέναι,['ἐμπήγνυμι']
ἐμπεπτωκέναι,['ἐμπίπτω']
ἐμπεριέχεσθαι,['ἐμπεριέχω']
ἐμπεριέχεται,['ἐμπεριέχω']
ἐμπεσεῖν,['ἐμπίπτω']
ἐμπεσούσης,"['ἐμπίπτω', 'ἐμπίπτω']"
ἐμπεσόντα,"['ἐμπίπτω', 'ἐμπίπτω']"
ἐμπεσόντες,['ἐμπίπτω']
ἐμπεσόντος,['ἐμπίπτω']
ἐμπεσών,"['ἐμπίπτω', 'ἐμπίπτω']"
ἐμπεσὼν,['ἐμπίπτω']
ἐμπεφυκὼς,['ἐμφύω']
ἐμπιμπλὰς,['ἐμπίμπλημι']
ἐμπιπλάμενοι,['ἐμπίμπλημι']
ἐμπιπλάντες,"['ἐμπίμπλημι', 'ἐμπίπλημι']"
ἐμπιπραμένου,['ἐμπίμπρημι']
ἐμπιπτούσης,['ἐμπίπτω']
ἐμπλανωμένην,['ἐμπλανάομαι']
ἐμπλεκομένους,['ἐμπλέκω']
ἐμπλῆσαι,['ἐμπίμπλημι']
ἐμποδίζουσα,['ἐμποδίζω']
ἐμποδὼν,['ἐμποδών']
ἐμποδῶν,['ἐμποδέω']
ἐμποιεῖ,['ἐμποιέω']
ἐμποιῶν,['ἐμποιέω']
ἐμπολισθεῖσιν,['ἐμπολίζω']
ἐμπορικὸς,['ἐμπορικός']
ἐμπρήσαντα,"['ἐμπίμπρημι', 'ἐμπρήθω', 'ἐμπίμπρημι', 'ἐμπρήθω']"
ἐμπρήσας,"['ἐμπίμπρημι', 'ἐμπρήθω']"
ἐμπρήσειν,"['ἐμπίμπρημι', 'ἐμπρήθω']"
ἐμπρησθέντων,['ἐμπίμπρημι']
ἐμπρησθὲν,['ἐμπίμπρημι']
ἐμπτύουσι,['ἐμπτύω']
ἐμπόδια,['ἐμπόδιος']
ἐμπόδιον,['ἐμπόδιος']
ἐμφάγοιέν,['ἐνεσθίω']
ἐμφάσεως,['ἔμφασις']
ἐμφήνας,['ἐμφαίνω']
ἐμφαίνεται,['ἐμφαίνω']
ἐμφαίνουσι,['ἐμφαίνω']
ἐμφαγεῖν,['ἐνεσθίω']
ἐμφανέα,"['  ', 'ἐμφανής']"
ἐμφανέος,['ἐμφανής']
ἐμφανέως,['ἐμφανής']
ἐμφανίζεσθαι,"['ἐμφανίζω', 'ἐμφανίζω']"
ἐμφανῶς,"['ἐμφανής', 'ἐμφανής']"
ἐμφρούρους,['ἔμφρουρος']
ἐμφρούρων,['ἔμφρουρος']
ἐμφρόνως,['ἔμφρων']
ἐμφυλίους,['ἐμφύλιος']
ἐμφύλιον,['ἐμφύλιος']
ἐμφῦσαι,['ἐμφύω']
ἐμόν,['ἐμός']
ἐμός,['ἐμός']
ἐμὰ,['ἐμός']
ἐμὲ,['ἐγώ']
ἐμὴ,['ἐμός']
ἐμὴν,['ἐμός']
ἐμὸν,['ἐμός']
ἐμὸς,['ἐμός']
ἐμῆς,"['  ', 'ἐμός']"
ἐμῇ,['ἐμός']
ἐμῶν,['ἐμός']
ἐμῷ,['ἐμός']
ἐν,['ἐν']
ἐνάλμους,['ἔναλμος']
ἐνάτη,['ἔνατος']
ἐνάτῃ,['ἔνατος']
ἐνάψασθαι,['ἐνάπτω']
ἐνέβαινε,['ἐμβαίνω']
ἐνέβαινον,['ἐμβαίνω']
ἐνέβαλε,['ἐμβάλλω']
ἐνέβαλεν,['ἐμβάλλω']
ἐνέβαλλε,['ἐμβάλλω']
ἐνέβαλλεν,['ἐμβάλλω']
ἐνέβαλλον,['ἐμβάλλω']
ἐνέβαλον,['ἐμβάλλω']
ἐνέβησε,['ἐμβαίνω']
ἐνέγκαντες,['φέρω']
ἐνέγραφον,['ἐγγράφω']
ἐνέδρας,['ἐνέδρα']
ἐνέδρᾳ,['ἐνέδρα']
ἐνέκειντο,['ἔγκειμαι']
ἐνέκειτο,['ἔγκειμαι']
ἐνέλειπε,"[' ', 'ἐλλείπω']"
ἐνέλιπε,['ἐλλείπω']
ἐνέμειναν,['ἐμμένω']
ἐνένωτο,['νοέω']
ἐνέπεσε,['ἐμπίπτω']
ἐνέπεσεν,['ἐμπίπτω']
ἐνέπεσον,['ἐμπίπτω']
ἐνέπιπτέ,['ἐμπίπτω']
ἐνέπιπτε,['ἐμπίπτω']
ἐνέπιπτεν,['ἐμπίπτω']
ἐνέπιπτον,['ἐμπίπτω']
ἐνέπλησαν,['ἐμπίμπλημι']
ἐνέπλησε,"['ἐμπίμπλημι', 'ἐμπίμπλημι']"
ἐνέπρησαν,"['ἐμπίμπρημι', 'ἐμπρήθω']"
ἐνέπρησε,"['ἐμπίμπρημι', 'ἐμπρήθω']"
ἐνέσεισε,['ἐνσείω']
ἐνέσκηψε,['ἐνσκήπτω']
ἐνέσται,['ἔνειμι']
ἐνέχει,['ἐνέχω']
ἐνέχεσθαι,['ἐνέχω']
ἐνέχυρα,['ἐνέχυρον']
ἐνέχυρόν,['ἐνέχυρον']
ἐνήθληκας,['ἐναθλέω']
ἐνήρχετο,"['ἐνάρχω', 'ἐνέρχομαι']"
ἐνήχετο,['νήχω']
ἐνίαις,['ἔνιοι']
ἐνίας,['ἔνιοι']
ἐνίδρυσας,['ἐνιδρύω']
ἐνίκα,['νικάω']
ἐνίκησαν,['νικάω']
ἐνίκων,['νικάω']
ἐνίοις,['ἔνιοι']
ἐνίους,['ἔνιοι']
ἐνίστασθαι,['ἐνίστημι']
ἐνίστατο,['ἐνίστημι']
ἐνίων,['ἔνιοι']
ἐναγίζουσί,['ἐναγίζω']
ἐναγκαλιζομένου,['ἐναγκαλίζομαι']
ἐναγωνίου,['ἐναγώνιος']
ἐνακισχιλίους,['ἐνακισχίλιοι']
ἐνακισχιλίων,['ἐνακισχίλιοι']
ἐναλλομένους,['ἐνάλλομαι']
ἐναντίην,['ἐναντίος']
ἐναντίον,['ἐναντίος']
ἐναντίος,['ἐναντίος']
ἐναντίους,"['ἐναντίος', 'ἐναντίος']"
ἐναντίων,['ἐναντίος']
ἐναντίως,['ἐναντίος']
ἐναντιουμένων,['ἐναντιόομαι']
ἐναντιούμενος,['ἐναντιόομαι']
ἐναντιοῦσθαι,['ἐναντιόομαι']
ἐναπέθανεν,['ἐναποθνῄσκω']
ἐναπεδείκνυτο,['ἐναποδείκνυμι']
ἐναπετίμησεν,['ἐναποτιμάω']
ἐναποδείξηται,['ἐναποδείκνυμι']
ἐναποθνήσκοντας,['ἐναποθνῄσκω']
ἐναπολείποντας,['ἐναπολείπω']
ἐναπονίζονται,['ἐναπονίζω']
ἐναπόλοιντο,['ἐναπόλλυμι']
ἐναπῆκε,['ἐναφίημι']
ἐναργῶς,['ἐναργής']
ἐναυλίζεται,['ἐναυλίζω']
ἐναυλισάμενος,['ἐναυλίζω']
ἐναυλόχει,['ναυλοχέω']
ἐναυλώσατο,"['ναυλόω', 'ναυλόω']"
ἐναυτίλλοντο,"['  ', 'ναυτίλλομαι']"
ἐναύειν,['ἐναύω']
ἐνδέδειχθ᾽,['ἐνδείκνυμι']
ἐνδέειν,"['  ', 'ἐνδέω']"
ἐνδεές,['ἐνδεής']
ἐνδείας,['ἔνδεια']
ἐνδεδέσθαι,['ἐνδέω']
ἐνδεδειγμένοις,['ἐνδείκνυμι']
ἐνδεδεμένοι,['ἐνδέω']
ἐνδεδυκυίας,['ἐνδύω']
ἐνδεδυκὼς,"['ἐνδύω', 'ἐνδύω']"
ἐνδεικνύμενον,['ἐνδείκνυμι']
ἐνδεικνύμενος,['ἐνδείκνυμι']
ἐνδεικνύναι,['ἐνδείκνυμι']
ἐνδεξαμένου,['ἐνδέχομαι']
ἐνδεούσης,['ἐνδέω']
ἐνδεχομένην,['ἐνδέχομαι']
ἐνδεχομένους,"['ἐνδέχομαι', '—']"
ἐνδεῖ,['ἐνδέω']
ἐνδεῖσθαι,['ἐνδέω']
ἐνδεῶς,['ἐνδεής']
ἐνδιδέντες,['ἐνδίδημι']
ἐνδιδούσης,['ἐνδίδωμι']
ἐνδοξοτάτη,"['ἔνδοξος', 'ἔνδοξος']"
ἐνδοξοτάτην,['ἔνδοξος']
ἐνδοξοτάτης,['ἔνδοξος']
ἐνδοξοτέραν,['ἔνδοξος']
ἐνδοξοτέρους,"['ἔνδοξος', 'ἔνδοξος']"
ἐνδοξόταθ᾽,['ἔνδοξος']
ἐνδοὺς,['ἐνδίδωμι']
ἐνδοῦναι,['ἐνδίδωμι']
ἐνδόξως,['ἔνδοξος']
ἐνδύντα,['ἐνδύω']
ἐνδύντες,['ἐνδύω']
ἐνείκῃ,['φέρω']
ἐνείχετο,['ἐνέχω']
ἐνεβόησε,['ἐμβοάω']
ἐνεγγύησα,['ἐνεγγυάω']
ἐνεγκεῖν,['φέρω']
ἐνεδέδυτο,"['ἐνδύω', 'ἐνδύω']"
ἐνεδέησεν,['ἐνδέω']
ἐνεδήσατο,['ἐνδέω']
ἐνεδείκνυτο,['ἐνδείκνυμι']
ἐνεδειξάμην,['ἐνδείκνυμι']
ἐνεδρεύεσθαι,['ἐνεδρεύω']
ἐνεθουσία,"['ἐνεθουσιάω', 'ἐνθουσιάζω']"
χαλκεύς,['χαλκεύς']
χαλκεὺς,['χαλκεύς']
χαλκοῦ,['χαλκός']
χαλκοῦν,['χάλκεος']
χαλκόν,['χαλκός']
χαλκόπυλον,['χαλκόπυλος']
χαλκὸν,['χαλκός']
χαλκᾶ,['χάλκεος']
χαλκῆ,['χάλκεος']
χαλκῆν,['χάλκεος']
χαλκῆς,['χάλκεος']
χαλκῷ,"['  ', 'χαλκός']"
χαμαιτύπης,"['χαμαιτύπη', 'χαμαιτύπη']"
χανοῦσ᾽,"['χάσκω', 'χάσκω']"
χαρίζεσθαι,"['χαρίζω', 'χαρίζω']"
χαρίζηται,['χαρίζω']
χαρίζοισθε,['χαρίζω']
χαρίζοιτο,['χαρίζω']
χαρίζῃ,['χαρίζω']
χαρίσαιτο,['χαρίζω']
χαρίσασθαι,['χαρίζω']
χαρίτων,"['χάρις', 'χάρις']"
χαραχθῆναι,"['  ', 'χαράσσω']"
χαριέντως,"['χαρίεις', 'χαρίεις']"
χαριεῖσθαί,['χαρίζω']
χαριεῖσθαι,['χαρίζω']
χαριζομένη,['χαρίζω']
χαριζόμενοι,['χαρίζω']
χαριζόμενον,['χαρίζω']
χαριζόμενος,['χαρίζω']
χαρισθὲν,['χαρίζω']
χαριστήρια,"['χαριστήριος', 'χαριστήριος']"
χαριστήριον,['χαριστήριος']
χαριστηρίους,['χαριστήριος']
χαριστικὸν,['χαριστικός']
χαρὰν,['χαρά']
χαρᾶς,['χαρά']
χείριστον,['κακός']
χείρονες,['κακός']
χείρονος,['κακός']
χείρους,['κακός']
χείρω,['κακός']
χείρων,['κακός']
χειμάρρου,['χείμαρρος']
χειμαδίῳ,['χειμάδιον']
χειμερίους,['χειμέριος']
χειμερινήν,['χειμερινός']
χειμερινόν,['χειμερινός']
χειμεριοῦντας,['χειμερίζω']
χειμεριοῦσαν,['χειμερίζω']
χειμὼν,['χειμών']
χειμῶνʼ,['χειμών']
χειμῶνες,['χειμών']
χειμῶνος,['χειμών']
χειρί,['χείρ']
χειρίζεσθαι,['χειρίζω']
χειρίζοντας,['χειρίζω']
χειρίς,['χειρίς']
χειροποίητον,"['  ', 'χειροποίητος']"
χειροτονηθέντας,['χειροτονέω']
χειροτονητήν,"['χειροτονητής', 'χειροτονητός']"
χειροτονῶν,['χειροτονέω']
χειρουμένων,['χειρόω']
χειρωθείσης,['χειρόω']
χειρωσάμενοι,['χειρόω']
χειρωσάμενος,['χειρόω']
χειρώνακτες,['χειρῶναξ']
χειρὶ,"['χείρ', 'χείρ']"
χειρὸς,['χείρ']
χειρῖδας,"['χειρίς', 'χειρῖς']"
χειρῶν,['χειρόω']
χελιδονείους,['χελιδόνειος']
χελωνίδος,"['χελωνίς', 'χελωνίς']"
χερμαδίοισιν,['χερμάδιον']
χερρονησίζον,['χερσονησίζω']
χερρόνησον,['χερσόνησος']
χερρόνησος,['χερσόνησος']
χερσί,['χείρ']
χερσίν,"['χείρ', 'χείρ']"
χερσὶ,['χείρ']
χερσὶν,"['χείρ', 'χείρ']"
χεῖρα,['χείρ']
χεῖρας,['χείρ']
χεῖρε,['χείρ']
χεῖρες,['χείρ']
χεῖρον,['κακός']
χεῖρόν,['κακός']
χθιζῷ,['χθιζός']
χθὲς,['χθές']
χιλίας,['χίλιοι']
χιλίοις,['χίλιοι']
χιλίους,['χίλιοι']
χιλίων,['χίλιοι']
χιλιάδες,"['χίλιοι', 'χιλιάς']"
χιλιοστὺν,['χιλιοστύς']
χιονέοισι,"['χιόνεος', 'χιόνεος']"
χιτωνίσκον,"['χιτωνίσκος', 'χιτωνίσκος']"
χιόνων,['χιών']
χλανίδιον,"['  ', 'χλανίδιον']"
χλανίδος,['χλανίς']
χλιδαναὶ,"['χλιδανός', 'χλιδανός']"
χλιδῶν,"['χλίδος', 'χλίδος']"
χλιδῶνας,"['χλίδων', 'χλίδων']"
χλιδῶνες,"['χλίδων', 'χλίδων']"
χοίνιξι,['χοῖνιξ']
χολλάδας,"['χολλάς', 'χολλάς']"
χολωθείς,['χολόω']
χορείας,['χορεία']
χορευούσης,['χορεύω']
χορεύειν,['χορεύω']
χορεῖαι,['χορεία']
χορηγήσαντας,"['  ', 'χορηγέω']"
χορηγίαι,['χορηγία']
χορηγίαν,['χορηγία']
χορηγίας,['χορηγία']
χορηγίων,['χορήγιον']
χορηγῶν,['χορηγέω']
χορῶν,"['χορός', 'χορός']"
χοῦν,['χοῦς']
χρέα,['χρέος']
χρέο,['χράω']
χρέωνται,['χράω']
χρέως,['χρέος']
χρέῃ,['χράω']
χρήμασι,['χρῆμα']
χρήμασιν,"['  ', 'χρῆμα']"
χρήματʼ,['χρῆμα']
χρήσαιντο,['χράω']
χρήσαιο,['χράω']
χρήσαντος,['χράω']
χρήσας,['χράω']
χρήσασθαί,['χράω']
χρήσασθαι,['χράω']
χρήσασθε,['χράω']
χρήσει,['χρῆσις']
χρήσειν,['χράω']
χρήσεις,['χρῆσις']
χρήσεσθαι,"['  ', 'χράω']"
χρήσεται,['χράω']
χρήσηται,['χράω']
χρήσιμον,"['.', 'χρήσιμος']"
χρήσοιτο,['χράω']
χρήσομαι,['χράω']
χρήσονται,['χράω']
χρήσωνται,['χράω']
χρήσῃ,['χράω']
χρήσῃς,['χράω']
χρεία,['χρεία']
χρείαις,['χρεία']
χρείαν,['χρεία']
χρείας,['χρεία']
χρεμετίσας,['χρεμετίζω']
χρεωλυτεῖν,['χρεωλυτέω']
χρεωμένους,['χράω']
χρεωμένῳ,['χράω']
χρεόν,['χρεών']
χρεώμενοι,['χράω']
χρεώμενος,['χράω']
χρεὼν,['χρεὼν']
χρεῶν,['χρέος']
χρηίζω,['χρῄζω']
χρηίζων,['χρῄζω']
χρημάτων,['χρῆμα']
χρηματίζεσθαι,['χρηματίζω']
χρηματικὰ,['χρηματικός']
χρηματισμοὺς,"['χρηματισμός', 'χρηματισμός']"
χρηματιστική,['χρηματιστικός']
χρηματιστικήν,['χρηματιστικός']
χρηματιστικὴν,['χρηματιστικός']
χρηματιστικῆς,['χρηματιστικός']
χρησάμενοι,['χράω']
χρησάμενον,['χράω']
χρησάμενος,"['χράω', 'χράω']"
χρησάσης,['χράω']
χρησίμως,['χρήσιμος']
χρησαίμην,['χράω']
χρησαμένη,['χράω']
χρησαμένου,['χράω']
χρησαμένους,['χράω']
χρησαμένων,['χράω']
χρησαμένῳ,['χράω']
χρησθὲν,['χράω']
χρησιμωτάτην,"['  ', 'χρήσιμος']"
χρησιμώτατος,['χρήσιμος']
χρησιμώτερα,['χρήσιμος']
χρησμοὺς,['χρησμός']
χρησμῷ,['χρησμός']
χρησοίμην,['χράω']
χρησομένη,['χράω']
χρησομένους,"['χράω', 'χράω']"
χρηστέον,['χρηστέος']
χρηστήριον,['χρηστήριον']
χρηστηρίοισι,['χρηστήριον']
χρηστηρίου,['χρηστήριον']
χρηστηριάζεσθαι,['χρηστηριάζω']
χρηστηριαζομένῳ,['χρηστηριάζω']
