form,lemmi_originari,lemmi_dizionario,match_ratio
νόμων,['νόμος'],['νόμος'],104/104
ἀκηκόατε,['ἀκούω'],['ἀκούω'],20/20
οἶδ᾽,['οἶδα'],['οἶδα'],16/16
δοκοῦσιν,"['δοκέω', 'δοκόω']",['δοκέω'],36/37
καλῶς,['καλός'],['καλός'],189/189
δὴ,['δή'],['δή'],959/959
ἄνισον,['ἄνισος'],['ἄνισος'],3/3
πολιτευομένοις,['πολιτεύω'],['πολιτεύω'],3/3
χειρῶν,"['χείρ', 'χειρόω']",['χειρόω'],2/29
νόμῳ,['νόμος'],['νόμος'],53/53
πολιτείας,['πολιτεία'],['πολιτεία'],142/142
λέγοντας,"['λέγω3', 'λέγω']",['λέγω'],1/11
μέντοι,['μέντοι'],['μέντοι'],253/253
ἀχρήστους,['ἄχρηστος'],['ἄχρηστος'],3/3
καλοὶ,['καλός'],['καλός'],10/10
ἀφιῆτε,['ἀφίζω'],['ἀφίημι'],0/3
οὐκέτι,['οὐκέτι'],['οὐκέτι'],105/105
βούλομαι,['βούλομαι'],['βούλομαι'],71/71
ὥσπερ,['ὥσπερ'],['ὥσπερ'],546/546
ἐπειδὴ,"['ἐπεί', 'ἐπειδή', 'ἐπειδὴ']",['ἐπειδή'],79/391
εἴρηκα,"['ἐρῶ', 'λέγω']",['λέγω'],1/10
πάλιν,['πάλιν'],['πάλιν'],390/390
τοῦτο,['οὗτος'],['οὗτος'],1044/1044
εἰδῆτε,['οἶδα'],['οἶδα'],35/35
διαφέρουσι,['διαφέρω'],['διαφέρω'],4/4
δέομαι,"['δέομαι', 'δέω', 'δέω2']",['δέω'],6/39
συγγνώμην,['συγγνώμη'],['συγγνώμη'],31/31
φύσει,['φύσις'],['φύσις'],85/85
καλῶν,"['καλός', 'καλέω', 'κάλη', 'καλος', 'κήλη']","['καλέω', 'καλός']",32/37
τούτῳ,['οὗτος'],['οὗτος'],357/357
πεπραγμένων,['πράσσω'],['πράσσω'],36/36
εἰπεῖν,"['εἶπον', 'λέγω']",['λέγω'],12/255
ὅ,"['ὁ', 'ὅς', 'ὁς']","['ὁ', 'ὅς']",312/313
ὅμοιον,"['ὅμοιος', 'ὁμοῖος']",[],0/12
δικαίως,['δίκαιος'],['δίκαιος'],116/116
ἐμοὶ,['ἐγώ'],['ἐγώ'],234/234
εἴ,"['εἰ', 'εἴ']",['εἰ'],440/444
σαφῶς,['σαφής'],['σαφής'],92/92
εἴποιμι,['εἶπον'],['λέγω'],0/3
πολὺ,['πολύς'],['πολύς'],309/309
μᾶλλον,"['μᾶλλον', 'μάλα']",['μάλα'],34/530
τυγχάνει,['τυγχάνω'],['τυγχάνω'],42/42
πεπραγμένα,['πράσσω'],['πράσσω'],23/23
διεξιόντα,['διέξειμι'],['διέξειμι'],2/2
ἀδύνατον,['ἀδύνατος'],['ἀδύνατος'],35/35
βούλεται,['βούλομαι'],['βούλομαι'],52/52
μή,"['μή', 'μήτε']",['μή'],503/505
τοιούτων,['τοιοῦτος'],['τοιοῦτος'],99/99
αὐτὸ,['αὐτός'],['αὐτός'],159/159
ποιεῖν,['ποιέω'],['ποιέω'],252/252
δύνωμαι,['δύναμαι'],['δύναμαι'],12/12
μάλιστα,"['μάλιστα', 'μάλα']",['μάλα'],19/475
σκέψασθε,['σκέπτομαι'],['σκέπτομαι'],32/32
μετρίως,['μέτριος'],['μέτριος'],25/25
μέλλω,['μέλλω'],['μέλλω'],16/16
προσφέρεσθαι,['προσφέρω'],['προσφέρω'],8/8
γάρ,['γάρ'],['γάρ'],347/347
παῖς,['παῖς'],['παῖς'],91/91
τριάκοντα,['τριάκοντα'],['τριάκοντα'],175/175
πρὸ,['πρό'],['πρό'],251/251
ἄλλη,['ἄλλος'],['ἄλλος'],31/31
τοιαύτη,['τοιοῦτος'],['τοιοῦτος'],30/30
ἐγένετο,['γίγνομαι'],['γίγνομαι'],304/304
ἃ,"['ὅς', 'ὁ', 'ὁς']",['ὅς'],434/444
μειράκιον,['μειράκιον'],['μειράκιον'],21/21
ἐπιστάμενος,"['ἐφίστημι', 'ἐπίσταμαι', 'ἐπιστάζω']","['ἐπίσταμαι', 'ἐφίστημι']",9/10
διαπέπρακται,['διαπράσσω'],['διαπράσσω'],2/2
ἐγώ,['ἐγώ'],['ἐγώ'],102/102
ποιήσομαι,['ποιέω'],['ποιέω'],10/10
ἐπ᾽,['ἐπί'],['ἐπί'],236/236
ἀξιῶ,"['ἀξιόω', 'ἀξιάω']",['ἀξιόω'],23/25
πάντων,['πᾶς'],['πᾶς'],375/375
πρῶτον,"['πρῶτος', 'πρότερος']",['πρῶτος'],516/549
ἀπηλλάγη,['ἀπαλλαξείω'],['ἀπαλλάσσω'],0/5
ἐκ,['ἐκ'],['ἐκ'],2088/2088
παίδων,['παῖς'],['παῖς'],95/95
ἐκάθητο,"['κατά-κάθημαι', 'κάθημαι']",['κάθημαι'],1/4
Πειραιεῖ,['Πειραιεύς'],['Πειραιεύς'],43/43
πωλεῖν,['πωλέω'],['πωλέω'],8/8
αὑτὸν,['ἑαυτοῦ'],['ἑαυτοῦ'],115/115
τ-,"['ὁ', 'τε', 'τέ', 'τά']","['τε', 'ὁ']",436/438
οὖργον,['ἔργον'],['ἔργον'],3/3
εὐνομῆσθε,['εὐνομέομαι'],['εὐνομέομαι'],1/1
ἄλλων,['ἄλλος'],['ἄλλος'],412/412
ξένων,"['ξένος1', 'ξένη', 'ξένος2']",['ξένος'],0/21
κατ᾽,['κατά'],['κατά'],183/183
ἐκείνους,"['ἐκεῖνος', 'ἐκείνος']",['ἐκεῖνος'],85/86
ἐχρήσαντο,['χράω2'],[],0/16
ἑκὼν,['ἑκών'],['ἑκών'],29/29
εἴπῃ,['εἶπον'],['λέγω'],0/5
ἄρα,['ἄρα'],['ἄρα'],104/104
λίαν,['λίαν'],['λίαν'],50/50
ἀκριβολογοῦμαι,['ἀκριβολογέομαι'],['ἀκριβολογέομαι'],2/2
ἅπαντα,['ἅπας'],['ἅπας'],98/98
γέγονε,['γίγνομαι'],['γίγνομαι'],30/30
νόμος,['νόμος'],['νόμος'],86/86
πράττειν,['πράσσω'],['πράσσω'],93/93
μη,"['μηδέ', 'μη', 'μή']",['μή'],0/209
λόγους,"['λόγος', 'λογός']",['λόγος'],130/131
ἀνὴρ,['ἀνήρ'],['ἀνήρ'],124/124
ἄλλα,"['ἄλλος', 'ἄλλα']",['ἄλλος'],231/232
καλὸς,['καλός'],['καλός'],18/18
οὐδαμῇ,['οὐδαμῇ'],['οὐδαμός'],0/7
ἄν,"['ἐάν', 'ἄν1', 'ἄν', 'ἄν2', 'ἀν']","['ἄν', 'ἐάν']",90/335
δαιμονίως,['δαιμόνιος'],['δαιμόνιος'],3/3
ἀεί,['ἀεί'],['ἀεί'],36/36
τινας,['τις'],['τις'],138/138
εἰωθὼς,['ἔθω'],['ἔθω'],1/1
ταυτὶ,['οὗτος'],['οὗτος'],15/15
λέγω,"['λέγω3', 'λέγω2', 'λέγω']",['λέγω'],3/180
ἐστίν,['εἰμί'],['εἰμί'],103/103
αἰσθόμενος,['αἰσθάνομαι'],['αἰσθάνομαι'],21/21
διατριβὰς,['διατριβή'],['διατριβή'],9/9
ἐποιεῖτο,['ποιέω'],['ποιέω'],51/51
ἀνέστησεν,['ἀνίστημι'],['ἀνίστημι'],6/6
παρ᾽,"['παρά', 'παρὰ']",['παρά'],290/291
ἑαυτῷ,['ἑαυτοῦ'],['ἑαυτοῦ'],82/82
νέον,['νέος'],['νέος'],14/14
ἐκεῖνος,['ἐκεῖνος'],['ἐκεῖνος'],121/121
πάσχειν,['πάσχω'],['πάσχω'],29/29
οὑτοσί,['οὗτος'],['οὗτος'],25/25
οὐδενὸς,['οὐδείς'],['οὐδείς'],110/110
πολλὴν,['πολύς'],['πολύς'],114/114
κατέλιπεν,"['καταλιμπάνω', 'καταλείπω']",['καταλείπω'],11/25
πατὴρ,['πατήρ'],['πατήρ'],79/79
ἣν,['ὅς'],['ὅς'],321/321
κατεδήδοκεν,['κατεσθίω'],['κατεσθίω'],3/3
ἡδοναῖς,"['ἡδονά', 'ἡδονή']",['ἡδονή'],6/10
δείπνων,"['δεῖπνον', 'δεῖπνος']",['δεῖπνον'],2/3
ἄλλοις,['ἄλλος'],['ἄλλος'],209/209
ὑφ᾽,"['ὑπό', 'ὑφή']",['ὑπό'],71/77
χρὴ,['χρή'],['χράω'],0/169
ᾐσχύνθη,['αἰσχύνω'],['αἰσχύνω'],2/2
ἐκλιπὼν,['ἐκλείπω'],['ἐκλείπω'],3/3
διαιτώμενος,['διαιτάω'],['διαιτάω'],4/4
-θ᾽,"['τε', 'οὔτε', '-τε']",['τε'],46/48
πρεσβυτέρῳ,['πρέσβυς'],['πρέσβυς'],6/6
ὤν,"['εἰμί', 'οὖν']",['εἰμί'],75/76
πολλὰ,['πολύς'],['πολύς'],399/399
πέπρακται,['πράσσω'],['πράσσω'],12/12
διηγήσασθαι,['διηγέομαι'],['διηγέομαι'],20/20
τοῦθ᾽,['οὗτος'],['οὗτος'],18/18
σκοπεῖν,"['σκοπέω', 'σκοπάω']",['σκοπέω'],28/38
ὅπως,['ὅπως'],['ὅπως'],320/320
πείθεσθαι,['πείθω'],['πείθω'],42/42
πειθομένους,['πείθω'],['πείθω'],10/10
κολάζειν,['κολάζω'],['κολάζω'],15/15
δεῖ,"['δεῖ', 'δέω2', 'δέω', 'δέω1', 'δέομαι']",['δέω'],17/434
ἦν,"['εἰμί', 'είμί', 'ἠμί']",['εἰμί'],1686/1707
Διονυσίων,"['Διονύσια', 'Διονύσιον']",['Διονύσια'],1/4
ἐπόμπευον,['πομπεύω'],['πομπεύω'],2/2
Καλλίου,"['Καλλίης', 'Καλλίας']",['Καλλίας'],7/9
τουτουί,['οὗτος'],['οὗτος'],9/9
ἄλλην,['ἄλλος'],['ἄλλος'],73/73
παρασκευὴν,['παρασκευή'],['παρασκευή'],31/31
ἐπανῆκε,['ἐπανήκω'],['ἐπανήκω'],1/1
Φαίδρου,"['Φαῖδρας', 'Φαῖδρος']",['Φαῖδρος'],1/4
εὑρίσκουσι,['εὑρίσκω'],['εὑρίσκω'],6/6
τινῶν,"['τις', 'τινῶν']",['τις'],33/34
ξένοις,"['ξένος1', 'ξένος2']",['ξένος'],0/9
κελευόντων,['κελεύω'],['κελεύω'],11/11
ἀκολουθεῖν,['ἀκολουθέω'],['ἀκολουθέω'],15/15
διέφθειραν,['διαφθείρω'],['διαφθείρω'],21/21
φοβηθέντες,['φοβέω'],['φοβέω'],13/13
ξένοι,"['ξένος1', 'ξένος2']",['ξένος'],0/13
καταλιπόντες,['καταλιμπάνω'],['καταλείπω'],0/13
ταῦθ᾽,['οὗτος'],['οὗτος'],35/35
ἀληθῆ,['ἀληθής'],['ἀληθής'],185/185
πάντες,['πᾶς'],['πᾶς'],281/281
ᾗ,"['ὅς', 'ᾗ', 'ὁς']",['ὅς'],155/192
χαίρω,['χαίρω'],['χαίρω'],4/4
μοι,['ἐγώ'],['ἐγώ'],692/692
γέγονεν,['γίγνομαι'],['γίγνομαι'],62/62
ἀπ᾽,['ἀπό'],['ἀπό'],106/106
ἄλλου,"['ἄλλος', 'ἀλλός']",['ἄλλος'],51/52
οὐδενός,['οὐδείς'],['οὐδείς'],18/18
οὗ,"['ὅς', 'οὗ', 'ὁς']",['ὅς'],204/254
ψῆφον,['ψῆφος'],['ψῆφος'],42/42
φέρειν,['φέρω'],['φέρω'],68/68
προσήκει,['προσήκω'],['προσήκω'],47/47
ποιεῖσθαι,['ποιέω'],['ποιέω'],115/115
κατήγορον,['κατήγορος'],['κατήγορος'],6/6
μέγα,['μέγας'],['μέγας'],120/120
κατηγορεῖν,['κατηγορέω'],['κατηγορέω'],24/24
ἀναμνῆσαι,['ἀναμιμνήσκω'],['ἀναμιμνῄσκω'],0/6
ἀκούοντας,['ἀκούω'],['ἀκούω'],14/14
καίπερ,['καίπερ'],['καίπερ'],61/61
πράγματος,['πρᾶγμα'],['πρᾶγμα'],62/62
γέγραφα,['γράφω'],['γράφω'],9/9
ὥς,"['ὡς', 'ὥς']",['ὡς'],126/136
γ᾽,['γε'],['γε'],85/85
οὔνομα,['ὄνομα'],['ὄνομα'],69/69
ἄλλο,['ἄλλος'],['ἄλλος'],174/174
πρόνοιαν,['πρόνοια'],['πρόνοια'],33/33
σωφροσύνης,['σωφροσύνη'],['σωφροσύνη'],27/27
Σόλων,"['Σόλων', 'Σόλοι']",['Σόλων'],24/28
νομοθέτης,['νομοθέτης'],['νομοθέτης'],32/32
ἀκοῦσαι,"['ἀκούω', 'ἀκέω']",['ἀκούω'],16/19
ἀκίνδυνά,['ἀκίνδυνος'],['ἀκίνδυνος'],1/1
παρελθὼν,['παρέρχομαι'],['παρέρχομαι'],36/36
μαρτυρεῖν,['μαρτυρέω'],['μαρτυρέω'],28/28
ποιήσει,"['ποιέω', 'ποίησις']","['ποίησις', 'ποιέω']",16/16
προαιρῆται,['προαιρέω'],['προαιρέω'],3/3
ὅλον,"['ὅλος', 'ὅλοξ']",['ὅλος'],38/47
συνίδετε,['σύν-εἶδον'],['συνοράω'],0/1
